parameter,correlation_with_beta_res_V,absolute_correlation
b_V,0.8014014914047602,0.8014014914047602
beta_res_C[2],-0.7127897757134284,0.7127897757134284
beta_res_C[4],-0.6726002643028662,0.6726002643028662
beta_res_C[9],-0.5740010957885153,0.5740010957885153
a_V,-0.5082127032344785,0.5082127032344785
beta_res_C[7],-0.36998122288029206,0.36998122288029206
beta_res_C[6],-0.36069463600017826,0.36069463600017826
beta_res_C[8],0.3360663770399099,0.3360663770399099
beta_res_C[3],-0.24909131267895818,0.24909131267895818
gamma_Cr_V[5],0.21781350970321203,0.21781350970321203
beta_res_C[5],-0.19132662366377126,0.19132662366377126
gamma_Cr_V[1],-0.17942428462632865,0.17942428462632865
res_base,-0.16252252361382924,0.16252252361382924
b_res_stir,-0.1395649104897357,0.1395649104897357
sigma_PCr_res,-0.11243102406966198,0.11243102406966198
gamma_Cr_V[4],-0.09969925578084346,0.09969925578084346
beta_res_C[1],-0.09065241676242738,0.09065241676242738
beta_res_C[10],-0.06611217442837147,0.06611217442837147
gamma_Cr_V[3],-0.05377745131729814,0.05377745131729814
beta_vol,0.04850852652635539,0.04850852652635539
beta_vin,0.04024857318797356,0.04024857318797356
sigma_V,-0.022915027060418664,0.022915027060418664
gamma_Cr_V[2],0.010527107107496504,0.010527107107496504
