Year,CT_obs_volume_kL_mean,MT_obs_volume_kL_mean,ST_obs_volume_kL_mean,CT_obs_volume_kL_low,MT_obs_volume_kL_low,ST_obs_volume_kL_low,CT_obs_volume_kL_high,MT_obs_volume_kL_high,ST_obs_volume_kL_high
2011,95.65738,NA,145.38437,NA,NA,NA,NA,NA,NA
2012,68.231,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,132.37093,65.599245,57.59408499999999,102.98230000000001,44.15104,42.70540999999999,161.75956,87.04745,72.48276
2016,76.612945,10.32075,39.09981,63.901019999999995,7.7622800000000005,27.13164,89.32486999999999,12.87922,51.06798
2017,297.5275,96.214715,77.34838500000001,198.11447,94.28058,32.8614,396.94053,98.14885000000001,121.83537000000001
2018,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,NA,189.802435,207.69725,NA,NA,NA,NA,NA,NA
2025,NA,395.832345,380.05584500000003,NA,NA,NA,NA,NA,NA
