_wq_idx,Date,Year,Irrigation,Rep,Treatment,InflowOutflow,SampleID,FF,Composite,Duplicate,Flag,NoRunoff,Volume,SampleMethod,MeasureMethod,IrrMethod,FlumeMethod,TSSMethod,Lab,Notes,Analyte,Result_mg_L,Inflow_Result_mg_L,Inflow_Flag,Inflow_Volume,Has_Inflow,MDL_Provided,RL_Provided,RLMDL_Provided_Units,RLMDL_Method,MDL_mg_L,RL_mg_L,RLMDL_Source,RLMDL_Assumed,PlantDate,HarvestDate,SeasonYear,Crop,PreviousHarvestDate,previous_crop,CumAll_STIR_toDate,Season_STIR_toDate,Season_STIR_StartDate,Season_STIR_LeftCensored,Season_STIR_BoundaryDayCarryover,PlantCalendarYear,ResidueAssignmentEligible,ResidueMeasurementDate,ResidueModelDate,ResidueModelDateSource,Residue_STIR_toMeasurement,Residue_STIR_LeftCensored,Residue_STIR_StartDate,Residue_STIR_BoundaryDayCarryover,ResidueYear,Residue_PercentCover,Residue_DryMass_kg_m2,Residue_n,Result_is_nd,Result_mg_L_cens,Result_lod_mg_L,Inflow_is_nd,Inflow_Result_mg_L_cens,Inflow_lod_mg_L,analyte_abbr,cout_z,cin_z,stir_season_z,stir_cumall_z,volume_z,IRR_z,inflow_volume_z,residue_prop,residue_obs,PhysicalEventID,ConcentrationObservationID,EventDate,ObservationDate,orig_row,mod_row,A,B,S,Fu,irr_num,cin_std,vin_std,dup,Y,Cr,PrevCr,drymass_kg_m2,drymass_log,irr_z,drymass_log_z,RES_input,physical_event_index,FurrowTireCompaction,event_analyte_index,residue_unit_id,coalesced_lod_mg_L,model_treatment
9129,2015-08-16,2015,5,1,CT,OUT,CT1-05-OT,FALSE,AC,0,NA,FALSE,23364.81,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT1 I 5 bottles 2, 4, 6, 8, 10",Ammonium(NH4),0,0,NA,102988.51,TRUE,NA,NA,NA,NA,NA,NA,CSU_assumed_from_ALS_pre2023,TRUE,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,1097.33,218.39999999999984,2014-12-02,FALSE,30.7125,2015,TRUE,NA,2015-04-30,PlantDate proxy,203.77499999999984,FALSE,2014-12-02,30.7125,2015,4,0.0528947365,2,1,NA,NA,1,NA,NA,NH4,-1.0506508741646172,-1.4050916271877167,1.4613075158247448,-0.09495782874804495,-0.4228533296095117,0.6685495838321084,-0.03924710999716636,0.04,1,PE_1994b95c4c5d89d54441,CO_f5cfce137144b1443253,2015-08-16,2015-08-16,1165,835,1,1,5,3,5,-1.4050916271877167,-0.03924710999716636,0,5,3,3,0.0528947365,-2.9394514441230633,0.5497724582353768,-0.10044438414530468,0.04,59,0,581,25,NA,missing concentration; latent state predicted without observation likelihood
9130,2015-08-16,2015,5,1,CT,OUT,CT1-05-OT,FALSE,TRUE,0,NA,FALSE,23364.81,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",NA,Ammonium(NH4),0,0,NA,102988.51,TRUE,NA,NA,NA,NA,NA,NA,CSU_assumed_from_ALS_pre2023,TRUE,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,1097.33,218.39999999999984,2014-12-02,FALSE,30.7125,2015,TRUE,NA,2015-04-30,PlantDate proxy,203.77499999999984,FALSE,2014-12-02,30.7125,2015,4,0.0528947365,2,1,NA,NA,1,NA,NA,NH4,-1.0506508741646172,-1.4050916271877167,1.4613075158247448,-0.09495782874804495,-0.4228533296095117,0.6685495838321084,-0.03924710999716636,0.04,1,PE_1994b95c4c5d89d54441,CO_44359e96d0690bf80893,2015-08-16,2015-08-16,1166,836,1,1,5,3,5,-1.4050916271877167,-0.03924710999716636,0,5,3,3,0.0528947365,-2.9394514441230633,0.5497724582353768,-0.10044438414530468,0.04,59,0,581,25,NA,missing concentration; latent state predicted without observation likelihood
9135,2015-08-17,2015,5,2,CT,OUT,CT2-05-OT,FALSE,AC,0,NA,FALSE,28705.44,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT2 I 5 bottles 2, 4, 6, 8, 10",Ammonium(NH4),0,0,NA,91914.89,TRUE,NA,NA,NA,NA,NA,NA,CSU_assumed_from_ALS_pre2023,TRUE,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,1097.33,218.39999999999984,2014-12-02,FALSE,30.7125,2015,TRUE,NA,2015-04-30,PlantDate proxy,203.77499999999984,FALSE,2014-12-02,30.7125,2015,3,0.035526316,2,1,NA,NA,1,NA,NA,NH4,-1.0506508741646172,-1.4050916271877167,1.4613075158247448,-0.09495782874804495,-0.18189232734346863,0.6685495838321084,-0.35970727725233187,0.03,1,PE_01dfb8394999c3a08b1b,CO_22b80a6318e435fc52cc,2015-08-17,2015-08-17,1193,855,1,2,5,3,5,-1.4050916271877167,-0.35970727725233187,0,5,3,3,0.035526316,-3.337481561350122,0.5497724582353768,-0.33274792836766914,0.03,5,0,41,26,NA,missing concentration; latent state predicted without observation likelihood
9136,2015-08-17,2015,5,2,CT,OUT,CT2-05-OT,FALSE,TRUE,0,NA,FALSE,28705.44,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)",NA,Ammonium(NH4),0,0,NA,91914.89,TRUE,NA,NA,NA,NA,NA,NA,CSU_assumed_from_ALS_pre2023,TRUE,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,1097.33,218.39999999999984,2014-12-02,FALSE,30.7125,2015,TRUE,NA,2015-04-30,PlantDate proxy,203.77499999999984,FALSE,2014-12-02,30.7125,2015,3,0.035526316,2,1,NA,NA,1,NA,NA,NH4,-1.0506508741646172,-1.4050916271877167,1.4613075158247448,-0.09495782874804495,-0.18189232734346863,0.6685495838321084,-0.35970727725233187,0.03,1,PE_01dfb8394999c3a08b1b,CO_733f3fda0606d37a0e3b,2015-08-17,2015-08-17,1194,856,1,2,5,3,5,-1.4050916271877167,-0.35970727725233187,0,5,3,3,0.035526316,-3.337481561350122,0.5497724582353768,-0.33274792836766914,0.03,5,0,41,26,NA,missing concentration; latent state predicted without observation likelihood
9141,2015-08-31,2015,6,1,CT,OUT,CT1-06-OT,FALSE,AC,0,NA,FALSE,21438.24,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)","NO3-NH4 (ARS), Ortho-P (Jacob, in-house) Total-N (ECOCORE), Totals (J Self - CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT1 I 6 bottles 1, 2, 3, 4, 5. Original NH4 values, 0.02,0,0,0,0",Ammonium(NH4),0,0.01,NA,110769.23,TRUE,NA,NA,NA,NA,NA,NA,CSU_assumed_from_ALS_pre2023,TRUE,2015-04-30,2015-11-16,2015,grain corn,2014-12-02,grain corn,1097.33,218.39999999999984,2014-12-02,FALSE,30.7125,2015,TRUE,NA,2015-04-30,PlantDate proxy,203.77499999999984,FALSE,2014-12-02,30.7125,2015,4,0.0528947365,2,1,NA,NA,0,0.01,NA,NH4,-1.0506508741646172,-1.2375338522249566,1.4613075158247448,-0.09495782874804495,-0.509777201537672,1.1644739229751015,0.185919622522607,0.04,1,PE_1ad2a48558b8c9cdf0bb,CO_7843013a79f1f88c96e1,2015-08-31,2015-08-31,1221,875,1,1,5,3,6,-1.2375338522249566,0.185919622522607,0,5,3,3,0.0528947365,-2.9394514441230633,0.9989802750364911,-0.10044438414530468,0.04,63,0,621,25,NA,missing concentration; latent state predicted without observation likelihood
9153,2016-06-07,2016,1,1,CT,OUT,CT1-01-OT,FALSE,AC,0,NA,FALSE,57325.34,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT1 I1 Time 1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 7-D. TP, TKN, TSP average of CT I1 T1, 5, 10, 7-D. Original ammonium values, 0.77,0,0.01,0.01,0,0.06,0.05,0.11,0.05,0.03,0.04",Ammonium(NH4),0,0.048,NA,259697.49,TRUE,NA,NA,NA,NA,NA,NA,CSU_assumed_from_ALS_pre2023,TRUE,2016-03-03,2016-07-25,2016,barley,2015-11-16,grain corn,1349.80625,245.97625000000016,2015-11-16,FALSE,0,2016,TRUE,NA,2016-03-03,PlantDate proxy,245.97625000000016,FALSE,2015-11-16,0,2016,26,0.005672515,2,1,NA,NA,0,0.048,NA,NH4,-1.0506508741646172,-0.6008143073664682,1.8516480547107488,0.2128208113212736,1.1093934926354343,-1.3151477727398646,4.495763658043131,0.26,1,PE_cf4508303fbec7c40fe5,CO_ba733a2bc3efb152c8d4,2016-06-07,2016-06-07,1277,915,1,1,5,3,1,-0.6008143073664682,4.495763658043131,0,6,1,3,0.005672515,-5.172122696977062,-1.2470588089690804,-1.403505189530289,0.26,427,0,4261,31,NA,missing concentration; latent state predicted without observation likelihood
3604,2016-06-08,2016,1,2,CT,OUT,CT2-01-OT,FALSE,AC,0,NA,FALSE,27468.5,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)","NPOC/TN (Manny, ECOCORE), Ortho-P (Manny, in-house), Total P, Total N, TSP (CSU Soil, Water and Plant Testing Laboratory), TSS (in-house)","Analytical composite. Average of CT2 I1 Time 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 6-D. TP, TKN, TSP average of CT I1 T1, 2, 6, 10, 6-D. Original TKN values, 0.127,0.118,0.048,0.073,0",TKN,0,0.014,NA,249743.63,TRUE,NA,NA,NA,NA,NA,NA,CSU_assumed_from_ALS_pre2023,TRUE,2016-03-03,2016-07-25,2016,barley,2015-11-16,grain corn,1349.80625,245.97625000000016,2015-11-16,FALSE,0,2016,TRUE,NA,2016-03-03,PlantDate proxy,245.97625000000016,FALSE,2015-11-16,0,2016,25,0.01584795333333333,2,1,NA,NA,0,0.014,NA,TKN,-0.5167431970808276,-0.3675535560502206,1.8516480547107488,0.2128208113212736,-0.2377011555421941,-1.3151477727398646,4.207708293994655,0.25,1,PE_571c968894d925b12ac7,CO_df6443e4bc9ed49587f8,2016-06-08,2016-06-08,1295,927,7,2,5,3,1,-0.3675535560502206,4.207708293994655,0,6,1,3,0.01584795333333333,-4.144714914230977,-1.2470588089690804,-0.8038760183602953,0.25,188,0,1877,32,NA,missing concentration; latent state predicted without observation likelihood
3637,2017-07-09,2017,2,1,CT,OUT,CT1-02-OT,FALSE,TRUE,0,H,FALSE,53141.4,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)",ALS Fort Collins,"H flag, Ortho P. ISCO data says flow starts on 7/10, lab reports 7/14, we suspect this to be out of hold time",TKN,0,0,H,NA,TRUE,NA,NA,NA,NA,NA,NA,ALS_pre2023,FALSE,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,1532.94375,176.63749999999982,2016-07-25,FALSE,0,2017,TRUE,NA,2017-04-19,PlantDate proxy,162.01249999999982,FALSE,2016-07-25,0,2017,3,NA,2,1,NA,NA,1,NA,NA,TKN,-0.5167431970808276,-0.38123819194325936,0.8701612665984524,0.4360727437137055,0.9206205621345408,-0.8192234335968713,NA,0.03,1,PE_a86f0dd73b63a18791b9,CO_831e6bd92db10f33cc72,2017-07-09,2017-07-09,1453,1040,7,1,5,3,2,-0.38123819194325936,NA,0,7,4,1,NA,NA,-0.7978509921679662,NA,0.03,351,0,3507,37,NA,missing concentration; latent state predicted without observation likelihood
3651,2017-07-20,2017,3,1,CT,OUT,CT1-03-OT,FALSE,TRUE,0,H,FALSE,36426.84,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)",ALS Fort Collins,"H flag, Ortho P. ISCO data says flow starts on 7/21, lab reports 7/27, we suspect this to be out of hold time",TKN,0,0,H,NA,TRUE,NA,NA,NA,NA,NA,NA,ALS_pre2023,FALSE,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,1532.94375,176.63749999999982,2016-07-25,FALSE,0,2017,TRUE,NA,2017-04-19,PlantDate proxy,162.01249999999982,FALSE,2016-07-25,0,2017,3,NA,2,1,NA,NA,1,NA,NA,TKN,-0.5167431970808276,-0.38123819194325936,0.8701612665984524,0.4360727437137055,0.16648535148787247,-0.3232990944538781,NA,0.03,1,PE_0db94b33091790ae448c,CO_0ab77c56eece2d243991,2017-07-20,2017-07-20,1523,1090,7,1,5,3,3,-0.38123819194325936,NA,0,7,4,1,NA,NA,-0.34864317536685185,NA,0.03,34,0,337,37,NA,missing concentration; latent state predicted without observation likelihood
3652,2017-07-20,2017,3,1,CT,OUT,CT1-03-OT-D,FALSE,TRUE,1,H,FALSE,36426.84,ISC,Bubbler,Siphon,7 V,"EPA Method 160.2 (Gravimetric, Dried at 103-105EC)",ALS Fort Collins,"H flag, Ortho P. ISCO data says flow starts on 7/21, lab reports 7/27, we suspect this to be out of hold time",TKN,0,0,H,NA,TRUE,NA,NA,NA,NA,NA,NA,ALS_pre2023,FALSE,2017-04-19,2017-10-13,2017,silage corn,2016-07-25,barley,1532.94375,176.63749999999982,2016-07-25,FALSE,0,2017,TRUE,NA,2017-04-19,PlantDate proxy,162.01249999999982,FALSE,2016-07-25,0,2017,3,NA,2,1,NA,NA,1,NA,NA,TKN,-0.5167431970808276,-0.38123819194325936,0.8701612665984524,0.4360727437137055,0.16648535148787247,-0.3232990944538781,NA,0.03,1,PE_0db94b33091790ae448c,CO_3fd388b5f0aea188259f,2017-07-20,2017-07-20,1524,1091,7,1,5,3,3,-0.38123819194325936,NA,1,7,4,1,NA,NA,-0.34864317536685185,NA,0.03,34,0,337,37,NA,missing concentration; latent state predicted without observation likelihood
