analyte,CT,MT,ST,MT reduction from CT,ST reduction from CT
NH4,"0.17
(0.08, 0.31)","0.12
(0.05, 0.23)","0.12
(0.05, 0.22)","29.4%
(-1.8%, 55.3%)","31.2%
(2.2%, 55.4%)"
NO2,"0.61
(0.14, 1.59)","0.39
(0.07, 1.09)","0.38
(0.07, 1.06)","36.4%
(-3.7%, 69.7%)","37.5%
(-1.2%, 69.4%)"
NO3,"11.50
(9.60, 13.67)","8.63
(6.89, 10.49)","8.32
(6.72, 10.06)","24.7%
(9.3%, 38.7%)","27.5%
(12.5%, 39.9%)"
OP,"0.19
(0.11, 0.30)","0.16
(0.09, 0.25)","0.15
(0.08, 0.23)","17.0%
(-19.1%, 43.7%)","23.0%
(-8.4%, 46.6%)"
Se,"0.01
(0.01, 0.01)","0.01
(0.00, 0.01)","0.01
(0.00, 0.01)","33.4%
(18.1%, 47.1%)","35.6%
(20.9%, 48.4%)"
TDS,"1227.81
(816.85, 1670.32)","939.42
(632.06, 1273.22)","913.34
(612.80, 1218.16)","22.9%
(4.5%, 38.5%)","25.1%
(7.8%, 39.6%)"
TKN,"4.95
(3.21, 7.24)","3.32
(2.03, 5.02)","3.09
(1.82, 4.77)","32.3%
(5.1%, 53.8%)","37.2%
(13.3%, 56.3%)"
TN,"8.33
(4.81, 13.04)","5.62
(2.98, 8.94)","5.41
(2.93, 8.53)","32.6%
(14.5%, 48.5%)","35.0%
(17.9%, 49.6%)"
TP,"0.80
(0.14, 1.78)","0.54
(0.07, 1.27)","0.49
(0.06, 1.17)","30.6%
(-24.7%, 72.8%)","37.4%
(-13.1%, 77.0%)"
TSS,"1138.02
(404.38, 2278.47)","505.52
(111.49, 1184.87)","454.04
(95.92, 1055.95)","56.6%
(27.4%, 81.3%)","61.4%
(36.3%, 84.2%)"
