variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,probability_positive,parameter_family,parameter_index,analyte,rhat_threshold,rhat_status
beta_res_V,-0.35664022367345,-0.416315,0.3889494981179381,0.4172399637,-0.89550695,0.3509685499999996,1.0057666709791246,265.32904404468854,870.7861452836089,0.199,beta_res_V,NA,NA,1.04,at_or_below_1.04
beta_tire_comp_V,1.01018467475,1.00976,0.1211645180440944,0.12422112359999996,0.80950055,1.2107879999999998,1.000932710715638,2028.1374375081232,2712.3326467793586,1,beta_tire_comp_V,NA,NA,1.04,at_or_below_1.04
beta_res_C[1],0.27057824987605,0.2763745,0.6672023822188929,0.6325690812,-0.8093044,1.3486679999999989,1.0013657251729897,1337.1277136733918,2238.8503297265515,0.66675,beta_res_C,1,NH4,1.04,at_or_below_1.04
beta_res_C[2],0.01751907094745,0.016083,0.10280552007484753,0.09828548289000001,-0.1479716,0.18950554999999997,1.0041693148010864,1072.1469165138046,1947.7094828735121,0.563,beta_res_C,2,NO3,1.04,at_or_below_1.04
beta_res_C[3],-0.373218506598,-0.35838749999999997,0.6670900935216139,0.6726932780399999,-1.5123404999999999,0.7020917999999987,1.0013170781591327,1126.4357204709659,1608.941156533512,0.29475,beta_res_C,3,NO2,1.04,at_or_below_1.04
beta_res_C[4],0.3518964852225,0.3439645,0.32603733753395847,0.32711196839999995,-0.1655744,0.8948089499999995,1.0041640601082575,800.9916722995622,1377.348704297505,0.86375,beta_res_C,4,OP,1.04,at_or_below_1.04
beta_res_C[5],-0.31949721960975,-0.330647,0.41586372962477025,0.41241521265,-0.9891407499999999,0.36839399999999994,1.0017714712436605,1120.8166386892588,1928.7553237487766,0.216,beta_res_C,5,Se,1.04,at_or_below_1.04
beta_res_C[6],0.03072113159775,0.03736945,0.2838434783094377,0.25243044119999997,-0.45429085,0.4717064499999997,1.0012226391251509,1128.6346792721074,1668.7127961415524,0.56325,beta_res_C,6,TDS,1.04,at_or_below_1.04
beta_res_C[7],-0.08066857244915,-0.0813285,0.2584033342959953,0.2603749533,-0.4979379,0.3462770499999998,0.999855405051072,1807.354666035813,2662.44778126846,0.37675,beta_res_C,7,TKN,1.04,at_or_below_1.04
beta_res_C[8],-7.212117119749999e-4,-0.014527,0.4332275387989645,0.4218990342,-0.6758352,0.7258101999999997,1.0037517057625018,963.4544076475556,1414.8993186260277,0.48725,beta_res_C,8,TN,1.04,at_or_below_1.04
beta_res_C[9],0.24042498225585,0.23833700000000002,0.1950894778686694,0.1946097825,-0.07564411999999994,0.5591933499999999,1.0015848490591184,1291.8513536910973,2185.5357208010314,0.88675,beta_res_C,9,TP,1.04,at_or_below_1.04
beta_res_C[10],0.437225129565,0.4367355,0.24395262279691715,0.24651560849999998,0.04501107500000001,0.8293912999999999,1.003442161042221,687.935452099527,2178.7666534643545,0.966,beta_res_C,10,TSS,1.04,at_or_below_1.04
res_base,0.209706543775,0.203167,0.08597125406772173,0.0886216737,0.082658535,0.36468865,1.0013639523237319,1537.4826642406802,1627.287515680242,1,res_base,NA,NA,1.04,at_or_below_1.04
b_res_stir,-1.1098847611925,-1.12092,0.3908908779327215,0.39191048399999984,-1.752091,-0.44525470000000017,1.0038950598948784,539.843139283239,1618.600185748262,0.002,b_res_stir,NA,NA,1.04,at_or_below_1.04
gamma_PCr_res[1],1.64014488166675,1.55341,1.0770501846797094,1.109147886,0.009017936000000034,3.498959,1.0030569858898841,1038.914258148397,1137.9193692482095,0.954,gamma_PCr_res,1,NA,1.04,at_or_below_1.04
