analyte,CT,MT,ST,MT reduction from CT,ST reduction from CT
NH4,"0.29 (0.15, 0.51)","0.28 (0.12, 0.51)","0.29 (0.13, 0.52)","5.1% (-30.2%, 35.9%)","1.4% (-34.6%, 32.2%)"
NO2,"0.98 (0.43, 2.00)","0.80 (0.38, 1.55)","0.83 (0.39, 1.60)","15.6% (-17.8%, 42.0%)","13.0% (-22.3%, 41.0%)"
NO3,"17.67 (14.90, 20.65)","16.85 (14.22, 19.67)","17.11 (14.50, 19.91)","4.4% (-11.4%, 18.0%)","2.9% (-12.4%, 16.1%)"
OP,"0.39 (0.25, 0.55)","0.44 (0.30, 0.59)","0.45 (0.30, 0.61)","-12.8% (-43.9%, 11.1%)","-15.5% (-45.1%, 7.7%)"
Se,"0.02 (0.01, 0.02)","0.01 (0.01, 0.02)","0.02 (0.01, 0.02)","11.2% (-4.7%, 25.5%)","7.9% (-7.9%, 21.8%)"
TDS,"2132.79 (1524.82, 2808.51)","2166.15 (1571.01, 2768.70)","2218.42 (1612.71, 2830.00)","-2.2% (-20.4%, 13.1%)","-4.7% (-22.2%, 11.4%)"
TKN,"8.54 (6.05, 11.63)","7.99 (5.66, 10.88)","8.50 (5.98, 11.47)","5.7% (-20.5%, 26.2%)","-0.3% (-27.2%, 21.9%)"
TN,"14.84 (8.33, 23.63)","13.91 (6.76, 22.65)","14.28 (7.01, 23.30)","6.6% (-17.8%, 29.0%)","4.1% (-20.3%, 26.3%)"
TP,"1.58 (0.37, 3.35)","2.03 (0.77, 3.92)","1.90 (0.53, 3.81)","-41.1% (-156.0%, 11.8%)","-25.3% (-97.2%, 19.7%)"
TSS,"2058.25 (821.58, 4007.05)","1886.73 (777.92, 3586.58)","1857.91 (674.84, 3685.68)","6.4% (-34.6%, 36.8%)","9.2% (-27.5%, 39.9%)"
