Year,Treatment,physical_events,compacted_events,events_with_genuine_volume,compacted_events_with_genuine_volume,first_event_date,last_event_date
2011,CT,12,0,10,0,2011-06-30,2011-08-29
2011,MT,12,0,6,0,2011-06-30,2011-08-29
2011,ST,12,0,11,0,2011-06-30,2011-08-29
2012,CT,20,0,18,0,2012-05-15,2012-08-31
2012,MT,20,0,15,0,2012-05-15,2012-08-31
2012,ST,20,0,16,0,2012-05-15,2012-08-31
2013,CT,14,0,11,0,2013-06-19,2013-08-29
2013,MT,14,0,9,0,2013-06-19,2013-08-29
2013,ST,14,0,12,0,2013-06-19,2013-08-29
2014,CT,10,0,8,0,2014-07-01,2014-09-10
2014,MT,10,0,6,0,2014-07-01,2014-09-10
2014,ST,10,0,8,0,2014-07-01,2014-09-10
2015,CT,12,0,12,0,2015-07-06,2015-09-01
2015,MT,12,0,12,0,2015-07-06,2015-09-01
2015,ST,12,0,12,0,2015-07-06,2015-09-01
2016,CT,4,0,4,0,2016-06-07,2016-06-20
2016,MT,4,0,4,0,2016-06-07,2016-06-20
2016,ST,4,0,4,0,2016-06-07,2016-06-20
2017,CT,12,0,12,0,2017-06-26,2017-09-07
2017,MT,12,0,12,0,2017-06-26,2017-09-07
2017,ST,12,0,12,0,2017-06-26,2017-09-07
2018,CT,10,0,0,0,2018-06-28,2018-09-23
2018,MT,10,0,0,0,2018-06-28,2018-09-23
2018,ST,10,0,0,0,2018-06-28,2018-09-23
2019,CT,2,0,0,0,2019-06-27,2019-06-27
2019,MT,2,0,0,0,2019-06-27,2019-06-27
2019,ST,2,0,0,0,2019-06-27,2019-06-27
2020,CT,14,0,2,0,2020-06-22,2020-08-27
2020,MT,14,0,0,0,2020-06-22,2020-08-27
2020,ST,14,0,7,0,2020-06-22,2020-08-27
2021,CT,12,0,5,0,2021-06-23,2021-09-10
2021,MT,12,0,6,0,2021-06-23,2021-09-10
2021,ST,12,12,7,7,2021-06-23,2021-09-10
2022,CT,16,0,0,0,2022-06-17,2022-09-07
2022,MT,16,16,0,0,2022-06-17,2022-09-07
2022,ST,16,16,0,0,2022-06-17,2022-09-07
2023,CT,14,0,10,0,2023-07-17,2023-09-26
2023,MT,14,14,10,10,2023-07-17,2023-09-26
2023,ST,14,14,10,10,2023-07-17,2023-09-26
2024,CT,8,0,5,0,2024-05-15,2024-06-20
2024,MT,8,8,6,6,2024-05-15,2024-06-20
2024,ST,8,8,7,7,2024-05-15,2024-06-20
2025,CT,16,0,14,0,2025-06-30,2025-09-23
2025,MT,16,16,15,15,2025-06-30,2025-09-23
2025,ST,16,16,15,15,2025-06-30,2025-09-23
