analyte,CT,MT,ST,MT reduction from CT,ST reduction from CT
NH4,"0.12
(0.04, 0.24)","0.16
(0.05, 0.31)","0.17
(0.06, 0.33)","-33.1%
(-97.9%, 20.5%)","-46.2%
(-123.7%, 10.7%)"
NO2,"0.36
(0.19, 0.60)","0.41
(0.23, 0.66)","0.45
(0.23, 0.73)","-15.6%
(-64.6%, 20.7%)","-23.8%
(-69.6%, 13.7%)"
NO3,"6.17
(4.73, 8.00)","8.22
(6.42, 10.45)","8.79
(6.94, 10.99)","-34.1%
(-61.9%, -10.9%)","-43.5%
(-74.6%, -17.4%)"
OP,"0.20
(0.12, 0.29)","0.28
(0.18, 0.39)","0.30
(0.20, 0.42)","-42.6%
(-82.1%, -10.6%)","-53.8%
(-98.5%, -21.7%)"
Se,"0.01
(0.01, 0.01)","0.01
(0.01, 0.01)","0.01
(0.01, 0.01)","-18.6%
(-44.5%, 4.8%)","-29.3%
(-57.2%, -5.4%)"
TDS,"904.98
(622.26, 1209.51)","1226.73
(881.83, 1573.24)","1305.08
(927.79, 1680.36)","-36.7%
(-63.3%, -12.5%)","-45.3%
(-76.4%, -20.0%)"
TKN,"3.59
(2.23, 5.23)","4.67
(3.07, 6.68)","5.41
(3.68, 7.55)","-32.1%
(-77.6%, 1.9%)","-53.6%
(-108.5%, -11.3%)"
TN,"6.51
(2.27, 12.10)","8.29
(2.46, 15.12)","8.87
(2.96, 15.99)","-28.1%
(-65.9%, 6.4%)","-37.4%
(-78.0%, -3.9%)"
TP,"0.78
(0.16, 1.81)","1.48
(0.63, 2.79)","1.40
(0.41, 2.88)","-124.3%
(-387.5%, -30.0%)","-95.7%
(-234.0%, -30.3%)"
TSS,"920.24
(304.43, 1894.57)","1381.21
(614.28, 2622.42)","1403.87
(517.70, 2783.09)","-60.6%
(-160.0%, -6.8%)","-59.0%
(-144.2%, -8.6%)"
