Method,Scenario,Year,Analyte,Treatment,PointTotal_kg,n_physical_events
ML,full_record_model_only,2011,NH4,CT,0.0486024227257338,12
ML,full_record_model_only,2011,NH4,MT,0.0595000584116231,12
ML,full_record_model_only,2011,NH4,ST,0.0586673758299601,12
ML,full_record_model_only,2011,NO2,CT,0.07102591599809491,12
ML,full_record_model_only,2011,NO2,MT,0.0993542476241501,12
ML,full_record_model_only,2011,NO2,ST,0.0826239487764685,12
ML,full_record_model_only,2011,NO3,CT,0.9895459614901376,12
ML,full_record_model_only,2011,NO3,MT,1.312160066427995,12
ML,full_record_model_only,2011,NO3,ST,1.4806163409520101,12
ML,full_record_model_only,2011,OP,CT,0.0352871822081274,12
ML,full_record_model_only,2011,OP,MT,0.048962047035546,12
ML,full_record_model_only,2011,OP,ST,0.0390676630609699,12
ML,full_record_model_only,2011,Se,CT,0.040462074144554404,12
ML,full_record_model_only,2011,Se,MT,0.0633295885138876,12
ML,full_record_model_only,2011,Se,ST,0.0537992245170874,12
ML,full_record_model_only,2011,TDS,CT,1.5409755770997167,12
ML,full_record_model_only,2011,TDS,MT,1.6623787380566553,12
ML,full_record_model_only,2011,TDS,ST,1.681507413425607,12
ML,full_record_model_only,2011,TKN,CT,0.6909679426073039,12
ML,full_record_model_only,2011,TKN,MT,0.8026526658563705,12
ML,full_record_model_only,2011,TKN,ST,0.8656734115753184,12
ML,full_record_model_only,2011,TN,CT,0.6133304385979469,12
ML,full_record_model_only,2011,TN,MT,0.7358222803766902,12
ML,full_record_model_only,2011,TN,ST,0.7921104196240358,12
ML,full_record_model_only,2011,TP,CT,0.2583604106299934,12
ML,full_record_model_only,2011,TP,MT,0.2976169461632036,12
ML,full_record_model_only,2011,TP,ST,0.3150660995409384,12
ML,full_record_model_only,2011,TSS,CT,194.95983531066946,12
ML,full_record_model_only,2011,TSS,MT,177.47056569537344,12
ML,full_record_model_only,2011,TSS,ST,173.09436969224677,12
ML,full_record_model_only,2012,NH4,CT,0.03442940224138851,16
ML,full_record_model_only,2012,NH4,MT,0.03930852219172806,18
ML,full_record_model_only,2012,NH4,ST,0.0327523488773331,16
ML,full_record_model_only,2012,NO2,CT,0.06083971392735851,16
ML,full_record_model_only,2012,NO2,MT,0.08856128457516521,18
ML,full_record_model_only,2012,NO2,ST,0.06922369647225379,16
ML,full_record_model_only,2012,NO3,CT,0.9443332937179275,20
ML,full_record_model_only,2012,NO3,MT,1.3452773217408052,18
ML,full_record_model_only,2012,NO3,ST,1.0924525660079554,17
ML,full_record_model_only,2012,OP,CT,0.04063012647984533,16
ML,full_record_model_only,2012,OP,MT,0.06810383850996224,18
ML,full_record_model_only,2012,OP,ST,0.054829481054054,16
ML,full_record_model_only,2012,Se,CT,0.03156356373590934,16
ML,full_record_model_only,2012,Se,MT,0.04480328973041148,18
ML,full_record_model_only,2012,Se,ST,0.0361755359058398,16
ML,full_record_model_only,2012,TDS,CT,1.4106002266749889,16
ML,full_record_model_only,2012,TDS,MT,1.7019158748140002,18
ML,full_record_model_only,2012,TDS,ST,1.3982818197267124,16
ML,full_record_model_only,2012,TKN,CT,0.547278535858095,16
ML,full_record_model_only,2012,TKN,MT,0.6577830516375741,18
ML,full_record_model_only,2012,TKN,ST,0.5362141049595373,16
ML,full_record_model_only,2012,TN,CT,0.3557691402940383,18
ML,full_record_model_only,2012,TN,MT,0.386753798480856,18
ML,full_record_model_only,2012,TN,ST,0.3212994900584993,16
ML,full_record_model_only,2012,TP,CT,0.2282355396647365,18
ML,full_record_model_only,2012,TP,MT,0.31813715475236465,18
ML,full_record_model_only,2012,TP,ST,0.2488128721865019,16
ML,full_record_model_only,2012,TSS,CT,164.10284857171607,20
ML,full_record_model_only,2012,TSS,MT,176.3801100097652,20
ML,full_record_model_only,2012,TSS,ST,142.1925678975908,20
ML,full_record_model_only,2013,NH4,CT,0.0451263941194258,14
ML,full_record_model_only,2013,NH4,MT,0.0652096998468288,14
ML,full_record_model_only,2013,NH4,ST,0.0465594456553977,14
ML,full_record_model_only,2013,NO2,CT,0.0630772996311716,14
ML,full_record_model_only,2013,NO2,MT,0.0813111035212938,14
ML,full_record_model_only,2013,NO2,ST,0.0530140871093024,14
ML,full_record_model_only,2013,NO3,CT,1.4035761334708028,14
ML,full_record_model_only,2013,NO3,MT,1.916252065382517,14
ML,full_record_model_only,2013,NO3,ST,1.4228520035258316,14
ML,full_record_model_only,2013,OP,CT,0.055561711940016,14
ML,full_record_model_only,2013,OP,MT,0.0753583454331564,14
ML,full_record_model_only,2013,OP,ST,0.0474806459573715,14
ML,full_record_model_only,2013,Se,CT,0.032523615828503,14
ML,full_record_model_only,2013,Se,MT,0.0464856448605844,14
ML,full_record_model_only,2013,Se,ST,0.0299336829014147,14
ML,full_record_model_only,2013,TDS,CT,1.6936161017474374,14
ML,full_record_model_only,2013,TDS,MT,2.5372453969824544,14
ML,full_record_model_only,2013,TDS,ST,1.6750904094495307,14
ML,full_record_model_only,2013,TKN,CT,0.9622972427471158,14
ML,full_record_model_only,2013,TKN,MT,1.2801010566922426,14
ML,full_record_model_only,2013,TKN,ST,0.9314982291314033,14
ML,full_record_model_only,2013,TN,CT,0.544618870173668,14
ML,full_record_model_only,2013,TN,MT,0.8079189237883998,14
ML,full_record_model_only,2013,TN,ST,0.5740247655103459,14
ML,full_record_model_only,2013,TP,CT,0.1475895461651345,14
ML,full_record_model_only,2013,TP,MT,0.19682658122661761,14
ML,full_record_model_only,2013,TP,ST,0.1310432952176648,14
ML,full_record_model_only,2013,TSS,CT,129.73147310887973,14
ML,full_record_model_only,2013,TSS,MT,208.63096405498035,14
ML,full_record_model_only,2013,TSS,ST,111.51688915824882,14
ML,full_record_model_only,2014,NH4,CT,0.0436587151781337,10
ML,full_record_model_only,2014,NH4,MT,0.0552375746210683,8
ML,full_record_model_only,2014,NH4,ST,0.0421443132273038,10
ML,full_record_model_only,2014,NO2,CT,0.0453407243604438,10
ML,full_record_model_only,2014,NO2,MT,0.0462012123900883,8
ML,full_record_model_only,2014,NO2,ST,0.042631584649655205,10
ML,full_record_model_only,2014,NO3,CT,1.1388063327786626,10
ML,full_record_model_only,2014,NO3,MT,0.8333540178548772,8
ML,full_record_model_only,2014,NO3,ST,0.973521239908199,10
ML,full_record_model_only,2014,OP,CT,0.023840023474905138,10
ML,full_record_model_only,2014,OP,MT,0.03724530220997875,10
ML,full_record_model_only,2014,OP,ST,0.0251009285027076,10
ML,full_record_model_only,2014,Se,CT,0.0181790893853321,10
ML,full_record_model_only,2014,Se,MT,0.0322536396047662,8
ML,full_record_model_only,2014,Se,ST,0.0244229943436097,10
ML,full_record_model_only,2014,TDS,CT,1.7144184994964644,10
ML,full_record_model_only,2014,TDS,MT,1.0977594424527437,8
ML,full_record_model_only,2014,TDS,ST,1.1900837765304884,10
ML,full_record_model_only,2014,TKN,CT,0.6505479729359025,10
ML,full_record_model_only,2014,TKN,MT,0.48508101153459143,8
ML,full_record_model_only,2014,TKN,ST,0.5062372028326105,10
ML,full_record_model_only,2014,TN,CT,0.6908294692543568,10
ML,full_record_model_only,2014,TN,MT,0.4791301907527458,10
ML,full_record_model_only,2014,TN,ST,0.5305487507229035,10
ML,full_record_model_only,2014,TP,CT,0.1316269266068738,10
ML,full_record_model_only,2014,TP,MT,0.09842646826014101,10
ML,full_record_model_only,2014,TP,ST,0.1087536697446396,10
ML,full_record_model_only,2014,TSS,CT,134.8639097120002,10
ML,full_record_model_only,2014,TSS,MT,75.38535577858309,10
ML,full_record_model_only,2014,TSS,ST,84.00035486684091,10
ML,full_record_model_only,2015,NH4,CT,0.0310606457904262,12
ML,full_record_model_only,2015,NH4,MT,0.013183664362148587,12
ML,full_record_model_only,2015,NH4,ST,0.009503401018246227,12
ML,full_record_model_only,2015,NO2,CT,0.0779305384295772,12
ML,full_record_model_only,2015,NO2,MT,0.0215813977278374,12
ML,full_record_model_only,2015,NO2,ST,0.0209454320640865,12
ML,full_record_model_only,2015,NO3,CT,2.011767586077654,12
ML,full_record_model_only,2015,NO3,MT,0.7791129641526582,12
ML,full_record_model_only,2015,NO3,ST,0.8921851234327969,12
ML,full_record_model_only,2015,OP,CT,0.0418956231981941,12
ML,full_record_model_only,2015,OP,MT,0.0096351335020694,12
ML,full_record_model_only,2015,OP,ST,0.006360417124065787,12
ML,full_record_model_only,2015,Se,CT,0.0451463254544813,12
ML,full_record_model_only,2015,Se,MT,0.0117999049960775,12
ML,full_record_model_only,2015,Se,ST,0.0089576610602559,12
ML,full_record_model_only,2015,TDS,CT,1.8988475950936612,12
ML,full_record_model_only,2015,TDS,MT,0.4646164596616803,12
ML,full_record_model_only,2015,TDS,ST,0.4723837538057727,12
ML,full_record_model_only,2015,TKN,CT,0.3367432888877201,12
ML,full_record_model_only,2015,TKN,MT,0.0537040754404352,12
ML,full_record_model_only,2015,TKN,ST,0.0541871682836713,12
