Method,Scenario,Year,Treatment,center_kL,lower_95_kL,upper_95_kL,central_estimate_type,interval_type
Bayes,model_only,2011,CT,352.79085618430724,270.3631764248838,440.6265736922422,posterior_mean,95% posterior credible interval
Bayes,model_only,2012,CT,504.34519084634985,387.60406091360966,629.5364271999217,posterior_mean,95% posterior credible interval
Bayes,model_only,2013,CT,493.3535121820952,368.5531107758552,601.0757613793212,posterior_mean,95% posterior credible interval
Bayes,model_only,2014,CT,321.9269012133817,256.3041736098114,383.9464919307831,posterior_mean,95% posterior credible interval
Bayes,model_only,2015,CT,351.7401724858319,277.0912979952551,431.950632166791,posterior_mean,95% posterior credible interval
Bayes,model_only,2016,CT,110.9495202143741,52.67848994500354,161.04566324834886,posterior_mean,95% posterior credible interval
Bayes,model_only,2017,CT,391.1982861895797,303.6114390643582,484.8464948981677,posterior_mean,95% posterior credible interval
Bayes,model_only,2018,CT,360.3776678150171,231.99191652738543,531.2621731826976,posterior_mean,95% posterior credible interval
Bayes,model_only,2019,CT,91.86292289303154,71.35013437859767,111.99796674557108,posterior_mean,95% posterior credible interval
Bayes,model_only,2020,CT,532.5494528822959,410.0650373092636,644.5129328715595,posterior_mean,95% posterior credible interval
Bayes,model_only,2021,CT,348.8749491231202,267.5098773954284,435.3312882658038,posterior_mean,95% posterior credible interval
Bayes,model_only,2022,CT,535.088586159077,439.27033756962686,626.4968490440016,posterior_mean,95% posterior credible interval
Bayes,model_only,2023,CT,512.4123755678575,433.17135715348974,586.2725068842077,posterior_mean,95% posterior credible interval
Bayes,model_only,2024,CT,367.8397941578604,285.137214058203,449.3979705504523,posterior_mean,95% posterior credible interval
Bayes,model_only,2025,CT,511.9019710124941,413.3036998607099,605.541220829104,posterior_mean,95% posterior credible interval
Bayes,model_only,2011,MT,397.6045578198605,308.3023846450701,479.5108477080484,posterior_mean,95% posterior credible interval
Bayes,model_only,2012,MT,593.4269858669577,451.3805271170325,720.8006532334908,posterior_mean,95% posterior credible interval
Bayes,model_only,2013,MT,496.6449638072392,368.38442952981416,603.9168231497042,posterior_mean,95% posterior credible interval
Bayes,model_only,2014,MT,291.06369717630724,224.69482686666663,351.8187253007278,posterior_mean,95% posterior credible interval
Bayes,model_only,2015,MT,339.79823205062945,292.29053174445846,389.5673638673195,posterior_mean,95% posterior credible interval
Bayes,model_only,2016,MT,98.66025433557476,43.82404439324969,147.41303087654885,posterior_mean,95% posterior credible interval
Bayes,model_only,2017,MT,339.7928288908003,283.00365553178,399.2017705671095,posterior_mean,95% posterior credible interval
Bayes,model_only,2018,MT,363.8841737112433,238.77070353412597,517.1548489956804,posterior_mean,95% posterior credible interval
Bayes,model_only,2019,MT,91.86292289303154,71.35013437859767,111.99796674557108,posterior_mean,95% posterior credible interval
Bayes,model_only,2020,MT,396.26826116921,343.00841271780416,451.43683841041263,posterior_mean,95% posterior credible interval
Bayes,model_only,2021,MT,270.36040381314217,216.66257220296788,338.1757084691778,posterior_mean,95% posterior credible interval
Bayes,model_only,2022,MT,480.94178524082537,423.9617655586016,538.298194430004,posterior_mean,95% posterior credible interval
Bayes,model_only,2023,MT,490.6912232756754,430.2629192494732,553.5799033245764,posterior_mean,95% posterior credible interval
Bayes,model_only,2024,MT,367.8397941578604,285.137214058203,449.3979705504523,posterior_mean,95% posterior credible interval
Bayes,model_only,2025,MT,413.4630382760616,365.8028379902241,459.4832405444207,posterior_mean,95% posterior credible interval
Bayes,model_only,2011,ST,400.2494743043511,307.8289594363703,484.494755645348,posterior_mean,95% posterior credible interval
Bayes,model_only,2012,ST,540.6405402944214,426.3471284832641,643.272591350686,posterior_mean,95% posterior credible interval
Bayes,model_only,2013,ST,496.6449638072392,368.38442952981416,603.9168231497042,posterior_mean,95% posterior credible interval
Bayes,model_only,2014,ST,330.46777736121606,254.51980203807227,399.8773838084785,posterior_mean,95% posterior credible interval
