Method,Target,Year,n,IntervalCoverage
Bayes,Result_mg_L,2011,108,0.7962962962962963
Bayes,Result_mg_L,2012,163,0.8895705521472392
Bayes,Result_mg_L,2013,72,0.9305555555555556
Bayes,Result_mg_L,2014,224,0.8705357142857143
Bayes,Result_mg_L,2015,372,0.9489247311827957
Bayes,Result_mg_L,2016,168,0.9523809523809523
Bayes,Result_mg_L,2017,324,0.8549382716049383
Bayes,Result_mg_L,2018,0,
Bayes,Result_mg_L,2019,0,
Bayes,Result_mg_L,2020,246,0.9227642276422764
Bayes,Result_mg_L,2021,539,0.7421150278293135
Bayes,Result_mg_L,2022,574,0.8240418118466899
Bayes,Result_mg_L,2023,879,0.8100113765642776
Bayes,Result_mg_L,2024,646,0.7801857585139319
Bayes,Result_mg_L,2025,1001,0.6793206793206793
Bayes,Volume_L,2011,27,0.7407407407407407
Bayes,Volume_L,2012,49,0.5510204081632653
Bayes,Volume_L,2013,32,0.65625
Bayes,Volume_L,2014,23,0.34782608695652173
Bayes,Volume_L,2015,36,0.3333333333333333
Bayes,Volume_L,2016,12,0.5833333333333334
Bayes,Volume_L,2017,36,0.4166666666666667
Bayes,Volume_L,2018,0,
Bayes,Volume_L,2019,0,
Bayes,Volume_L,2020,9,0.5555555555555556
Bayes,Volume_L,2021,18,0.3333333333333333
Bayes,Volume_L,2022,0,
Bayes,Volume_L,2023,30,0.4666666666666667
Bayes,Volume_L,2024,27,0.48148148148148145
Bayes,Volume_L,2025,71,0.29577464788732394
