Method,Scenario,Analyte,ComparisonTreatment,PointPercentDifference
ML,full_record_model_only,NH4,MT,10.124473516979181
ML,full_record_model_only,NO2,MT,12.554698694981706
ML,full_record_model_only,NO3,MT,14.83457813441826
ML,full_record_model_only,OP,MT,-14.023733975876329
ML,full_record_model_only,Se,MT,-2.90511571680075
ML,full_record_model_only,TDS,MT,-26.551736540995275
ML,full_record_model_only,TKN,MT,17.46390059168538
ML,full_record_model_only,TN,MT,29.259921957532647
ML,full_record_model_only,TP,MT,-10.330453569724755
ML,full_record_model_only,TSS,MT,35.57285853358229
ML,observed_plus_imputed_sensitivity,NH4,MT,18.40334606128733
ML,observed_plus_imputed_sensitivity,NO2,MT,13.068353277460556
ML,observed_plus_imputed_sensitivity,NO3,MT,20.289792136981884
ML,observed_plus_imputed_sensitivity,OP,MT,-21.683005251082406
ML,observed_plus_imputed_sensitivity,Se,MT,5.415297344899699
ML,observed_plus_imputed_sensitivity,TDS,MT,-24.001215834780457
ML,observed_plus_imputed_sensitivity,TKN,MT,30.07024529950177
ML,observed_plus_imputed_sensitivity,TN,MT,36.331057852901075
ML,observed_plus_imputed_sensitivity,TP,MT,-22.663946363979864
ML,observed_plus_imputed_sensitivity,TSS,MT,39.32856771546507
ML,full_record_model_only,NH4,ST,16.514568786636723
ML,full_record_model_only,NO2,ST,15.898459101451346
ML,full_record_model_only,NO3,ST,14.886512021275134
ML,full_record_model_only,OP,ST,-7.163922572758143
ML,full_record_model_only,Se,ST,5.609680176866163
ML,full_record_model_only,TDS,ST,-20.36086423217756
ML,full_record_model_only,TKN,ST,22.660769444522682
ML,full_record_model_only,TN,ST,28.220182489366497
ML,full_record_model_only,TP,ST,-11.59221064350833
ML,full_record_model_only,TSS,ST,25.80557480473515
ML,observed_plus_imputed_sensitivity,NH4,ST,24.613989571961298
ML,observed_plus_imputed_sensitivity,NO2,ST,20.85820462625665
ML,observed_plus_imputed_sensitivity,NO3,ST,23.753836553158926
ML,observed_plus_imputed_sensitivity,OP,ST,0.7331463083153749
ML,observed_plus_imputed_sensitivity,Se,ST,13.244573968188686
ML,observed_plus_imputed_sensitivity,TDS,ST,-16.645278772304643
ML,observed_plus_imputed_sensitivity,TKN,ST,33.95689202784746
ML,observed_plus_imputed_sensitivity,TN,ST,38.59575878816272
ML,observed_plus_imputed_sensitivity,TP,ST,1.4621797811621704
ML,observed_plus_imputed_sensitivity,TSS,ST,45.38881973968403
