Method,Scenario,Analyte,Treatment,PointCumulativeLoad_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
Bayes,model_only,NH4,CT,,posterior_median,True,"0.4875 (0.1053, 0.8342)"
Bayes,model_only,NH4,MT,,posterior_median,True,"0.4423 (0.08495, 0.781)"
Bayes,model_only,NH4,ST,,posterior_median,True,"0.472 (0.1204, 0.7984)"
Bayes,model_only,NO2,CT,,posterior_median,True,"0.1281 (-2.746, 3.492)"
Bayes,model_only,NO2,MT,,posterior_median,True,"0.02032 (-2.68, 3.201)"
Bayes,model_only,NO2,ST,,posterior_median,True,"0.05645 (-2.596, 3.281)"
Bayes,model_only,NO3,CT,,posterior_median,True,"40.91 (34.25, 47.92)"
Bayes,model_only,NO3,MT,,posterior_median,True,"38.72 (34.43, 43.33)"
Bayes,model_only,NO3,ST,,posterior_median,True,"38.51 (34.39, 43.19)"
Bayes,model_only,OP,CT,,posterior_median,True,"0.5905 (0.2924, 0.9305)"
Bayes,model_only,OP,MT,,posterior_median,True,"0.5935 (0.3273, 0.8967)"
Bayes,model_only,OP,ST,,posterior_median,True,"0.568 (0.3177, 0.8401)"
Bayes,model_only,Se,CT,,posterior_median,True,"0.03817 (0.02939, 0.04624)"
Bayes,model_only,Se,MT,,posterior_median,True,"0.0335 (0.02625, 0.04008)"
Bayes,model_only,Se,ST,,posterior_median,True,"0.0337 (0.02654, 0.04024)"
Bayes,model_only,TDS,CT,,posterior_median,True,"5205 (4048, 6352)"
Bayes,model_only,TDS,MT,,posterior_median,True,"5020 (4006, 5995)"
Bayes,model_only,TDS,ST,,posterior_median,True,"5004 (4009, 6013)"
Bayes,model_only,TKN,CT,,posterior_median,True,"12.02 (7.728, 17.1)"
Bayes,model_only,TKN,MT,,posterior_median,True,"8.327 (4.427, 12.89)"
Bayes,model_only,TKN,ST,,posterior_median,True,"8.427 (4.75, 12.99)"
Bayes,model_only,TN,CT,,posterior_median,True,"32.46 (14.97, 49.29)"
Bayes,model_only,TN,MT,,posterior_median,True,"28.54 (13.69, 43.82)"
Bayes,model_only,TN,ST,,posterior_median,True,"28.4 (13.54, 43.79)"
Bayes,model_only,TP,CT,,posterior_median,True,"3.439 (1.091, 6.225)"
Bayes,model_only,TP,MT,,posterior_median,True,"2.279 (-0.05245, 4.762)"
Bayes,model_only,TP,ST,,posterior_median,True,"2.092 (-0.02857, 4.333)"
Bayes,model_only,TSS,CT,,posterior_median,True,"6521 (4330, 9440)"
Bayes,model_only,TSS,MT,,posterior_median,True,"3399 (1114, 5623)"
Bayes,model_only,TSS,ST,,posterior_median,True,"3862 (1769, 6000)"
ML,full_record_model_only,NH4,CT,1.620907834960954,physical_event_point_total,False,"1.621 (3.483, 22.29)"
ML,full_record_model_only,NH4,MT,1.4567994504756916,physical_event_point_total,False,"1.457 (2.627, 21.99)"
ML,full_record_model_only,NH4,ST,1.3532218955883433,physical_event_point_total,False,"1.353 (2.748, 20.63)"
ML,full_record_model_only,NO2,CT,1.178350709904768,physical_event_point_total,False,"1.178 (2.49, 19.06)"
ML,full_record_model_only,NO2,MT,1.0304123287060465,physical_event_point_total,False,"1.03 (2.003, 17.53)"
ML,full_record_model_only,NO2,ST,0.9910111042188969,physical_event_point_total,False,"0.991 (1.944, 16.6)"
ML,full_record_model_only,NO3,CT,20.933737954286922,physical_event_point_total,False,"20.93 (44.25, 228.1)"
ML,full_record_model_only,NO3,MT,17.828306241003858,physical_event_point_total,False,"17.83 (35.66, 213.2)"
ML,full_record_model_only,NO3,ST,17.817434537219764,physical_event_point_total,False,"17.82 (36.78, 194)"
ML,full_record_model_only,OP,CT,0.5326287979587626,physical_event_point_total,False,"0.5326 (1.412, 11.28)"
ML,full_record_model_only,OP,MT,0.6073232436634073,physical_event_point_total,False,"0.6073 (1.347, 12.76)"
ML,full_record_model_only,OP,ST,0.5707859126447408,physical_event_point_total,False,"0.5708 (1.429, 12.39)"
ML,full_record_model_only,Se,CT,0.6922751992628817,physical_event_point_total,False,"0.6923 (1.701, 12.54)"
ML,full_record_model_only,Se,MT,0.7123865948801814,physical_event_point_total,False,"0.7124 (1.461, 14.2)"
ML,full_record_model_only,Se,ST,0.6534407746404711,physical_event_point_total,False,"0.6534 (1.501, 12.77)"
ML,full_record_model_only,TDS,CT,1054.2482852439045,physical_event_point_total,False,"1054 (1211, 1.458e+04)"
ML,full_record_model_only,TDS,MT,1334.1695124298265,physical_event_point_total,False,"1334 (1406, 2.064e+04)"
ML,full_record_model_only,TDS,ST,1268.902347272476,physical_event_point_total,False,"1269 (1396, 1.777e+04)"
ML,full_record_model_only,TKN,CT,9.224824814937076,physical_event_point_total,False,"9.225 (18.31, 109.1)"
ML,full_record_model_only,TKN,MT,7.61381057949934,physical_event_point_total,False,"7.614 (13.51, 104.3)"
ML,full_record_model_only,TKN,ST,7.134408531963069,physical_event_point_total,False,"7.134 (13.62, 99.1)"
ML,full_record_model_only,TN,CT,11.096526382361144,physical_event_point_total,False,"11.1 (24.22, 126.1)"
ML,full_record_model_only,TN,MT,7.849691422885253,physical_event_point_total,False,"7.85 (16.34, 88.91)"
ML,full_record_model_only,TN,ST,7.9650663872781315,physical_event_point_total,False,"7.965 (18.18, 85.82)"
ML,full_record_model_only,TP,CT,3.0526757114488934,physical_event_point_total,False,"3.053 (6.353, 39.11)"
ML,full_record_model_only,TP,MT,3.368030958454386,physical_event_point_total,False,"3.368 (5.636, 57.59)"
ML,full_record_model_only,TP,ST,3.4065483101832656,physical_event_point_total,False,"3.407 (6.082, 55.42)"
ML,full_record_model_only,TSS,CT,4349.44732773728,physical_event_point_total,False,"4349 (8460, 4.947e+04)"
ML,full_record_model_only,TSS,MT,2802.224582848622,physical_event_point_total,False,"2802 (4639, 4.329e+04)"
ML,full_record_model_only,TSS,ST,3227.047443985482,physical_event_point_total,False,"3227 (5287, 4.833e+04)"
ML,observed_plus_imputed_sensitivity,NH4,CT,1.9433127802503398,physical_event_point_total,False,"1.943 (2.311, 10.54)"
ML,observed_plus_imputed_sensitivity,NH4,MT,1.5856782042476456,physical_event_point_total,False,"1.586 (1.882, 8.705)"
ML,observed_plus_imputed_sensitivity,NH4,ST,1.46498597516893,physical_event_point_total,False,"1.465 (1.688, 7.298)"
ML,observed_plus_imputed_sensitivity,NO2,CT,1.349957648899686,physical_event_point_total,False,"1.35 (1.613, 8.103)"
ML,observed_plus_imputed_sensitivity,NO2,MT,1.1735404142453745,physical_event_point_total,False,"1.174 (1.389, 7.179)"
ML,observed_plus_imputed_sensitivity,NO2,ST,1.0683807201243862,physical_event_point_total,False,"1.068 (1.232, 6.188)"
ML,observed_plus_imputed_sensitivity,NO3,CT,24.83375426588707,physical_event_point_total,False,"24.83 (26.17, 97.39)"
ML,observed_plus_imputed_sensitivity,NO3,MT,19.79503714552971,physical_event_point_total,False,"19.8 (21.07, 84.5)"
ML,observed_plus_imputed_sensitivity,NO3,ST,18.934784867555123,physical_event_point_total,False,"18.93 (19.53, 69.66)"
ML,observed_plus_imputed_sensitivity,OP,CT,0.5770242062191211,physical_event_point_total,False,"0.577 (0.657, 4.472)"
ML,observed_plus_imputed_sensitivity,OP,MT,0.7021403951536297,physical_event_point_total,False,"0.7021 (0.7845, 4.716)"
ML,observed_plus_imputed_sensitivity,OP,ST,0.5727937745531395,physical_event_point_total,False,"0.5728 (0.6341, 3.744)"
ML,observed_plus_imputed_sensitivity,Se,CT,0.8177246349021707,physical_event_point_total,False,"0.8177 (1.052, 4.775)"
ML,observed_plus_imputed_sensitivity,Se,MT,0.7734424144597227,physical_event_point_total,False,"0.7734 (0.9551, 5.555)"
ML,observed_plus_imputed_sensitivity,Se,ST,0.7094204907764519,physical_event_point_total,False,"0.7094 (0.861, 3.713)"
ML,observed_plus_imputed_sensitivity,TDS,CT,1151.295788659731,physical_event_point_total,True,"1151 (1134, 5116)"
ML,observed_plus_imputed_sensitivity,TDS,MT,1427.620775792691,physical_event_point_total,True,"1428 (1404, 5358)"
ML,observed_plus_imputed_sensitivity,TDS,ST,1342.9321821759465,physical_event_point_total,True,"1343 (1327, 3714)"
ML,observed_plus_imputed_sensitivity,TKN,CT,11.93499043628993,physical_event_point_total,False,"11.93 (12.67, 71.62)"
ML,observed_plus_imputed_sensitivity,TKN,MT,8.346109535625471,physical_event_point_total,False,"8.346 (8.931, 69.73)"
ML,observed_plus_imputed_sensitivity,TKN,ST,7.882238620305038,physical_event_point_total,False,"7.882 (8.066, 76.36)"
ML,observed_plus_imputed_sensitivity,TN,CT,13.956099189467205,physical_event_point_total,False,"13.96 (15.04, 46.79)"
ML,observed_plus_imputed_sensitivity,TN,MT,8.885700718933617,physical_event_point_total,False,"8.886 (9.732, 35.91)"
ML,observed_plus_imputed_sensitivity,TN,ST,8.56963681006371,physical_event_point_total,False,"8.57 (9.155, 28.31)"
ML,observed_plus_imputed_sensitivity,TP,CT,3.6599010897909894,physical_event_point_total,False,"3.66 (3.825, 11.52)"
ML,observed_plus_imputed_sensitivity,TP,MT,4.489379109755934,physical_event_point_total,False,"4.489 (4.639, 12.87)"
ML,observed_plus_imputed_sensitivity,TP,ST,3.6063867560455316,physical_event_point_total,False,"3.606 (3.685, 8.947)"
