Method,Scenario,Analyte,Treatment,PointCumulativeLoad_kg
ML,full_record_model_only,NH4,CT,1.620907834960954
ML,full_record_model_only,NH4,MT,1.4567994504756916
ML,full_record_model_only,NH4,ST,1.3532218955883433
ML,full_record_model_only,NO2,CT,1.178350709904768
ML,full_record_model_only,NO2,MT,1.0304123287060465
ML,full_record_model_only,NO2,ST,0.9910111042188969
ML,full_record_model_only,NO3,CT,20.933737954286922
ML,full_record_model_only,NO3,MT,17.828306241003858
ML,full_record_model_only,NO3,ST,17.817434537219764
ML,full_record_model_only,OP,CT,0.5326287979587626
ML,full_record_model_only,OP,MT,0.6073232436634073
ML,full_record_model_only,OP,ST,0.5707859126447408
ML,full_record_model_only,Se,CT,0.6922751992628817
ML,full_record_model_only,Se,MT,0.7123865948801814
ML,full_record_model_only,Se,ST,0.6534407746404711
ML,full_record_model_only,TDS,CT,1054.2482852439045
ML,full_record_model_only,TDS,MT,1334.1695124298265
ML,full_record_model_only,TDS,ST,1268.902347272476
ML,full_record_model_only,TKN,CT,9.224824814937076
ML,full_record_model_only,TKN,MT,7.61381057949934
ML,full_record_model_only,TKN,ST,7.134408531963069
ML,full_record_model_only,TN,CT,11.096526382361144
ML,full_record_model_only,TN,MT,7.849691422885253
ML,full_record_model_only,TN,ST,7.9650663872781315
ML,full_record_model_only,TP,CT,3.0526757114488934
ML,full_record_model_only,TP,MT,3.368030958454386
ML,full_record_model_only,TP,ST,3.4065483101832656
ML,full_record_model_only,TSS,CT,4349.44732773728
ML,full_record_model_only,TSS,MT,2802.224582848622
ML,full_record_model_only,TSS,ST,3227.047443985482
ML,observed_plus_imputed_sensitivity,NH4,CT,1.9433127802503398
ML,observed_plus_imputed_sensitivity,NH4,MT,1.5856782042476456
ML,observed_plus_imputed_sensitivity,NH4,ST,1.46498597516893
ML,observed_plus_imputed_sensitivity,NO2,CT,1.349957648899686
ML,observed_plus_imputed_sensitivity,NO2,MT,1.1735404142453745
ML,observed_plus_imputed_sensitivity,NO2,ST,1.0683807201243862
ML,observed_plus_imputed_sensitivity,NO3,CT,24.83375426588707
ML,observed_plus_imputed_sensitivity,NO3,MT,19.79503714552971
ML,observed_plus_imputed_sensitivity,NO3,ST,18.934784867555123
ML,observed_plus_imputed_sensitivity,OP,CT,0.5770242062191211
ML,observed_plus_imputed_sensitivity,OP,MT,0.7021403951536297
ML,observed_plus_imputed_sensitivity,OP,ST,0.5727937745531395
ML,observed_plus_imputed_sensitivity,Se,CT,0.8177246349021707
ML,observed_plus_imputed_sensitivity,Se,MT,0.7734424144597227
ML,observed_plus_imputed_sensitivity,Se,ST,0.7094204907764519
ML,observed_plus_imputed_sensitivity,TDS,CT,1151.295788659731
ML,observed_plus_imputed_sensitivity,TDS,MT,1427.620775792691
ML,observed_plus_imputed_sensitivity,TDS,ST,1342.9321821759465
ML,observed_plus_imputed_sensitivity,TKN,CT,11.93499043628993
ML,observed_plus_imputed_sensitivity,TKN,MT,8.346109535625471
ML,observed_plus_imputed_sensitivity,TKN,ST,7.882238620305038
ML,observed_plus_imputed_sensitivity,TN,CT,13.956099189467205
ML,observed_plus_imputed_sensitivity,TN,MT,8.885700718933617
ML,observed_plus_imputed_sensitivity,TN,ST,8.56963681006371
ML,observed_plus_imputed_sensitivity,TP,CT,3.6599010897909894
ML,observed_plus_imputed_sensitivity,TP,MT,4.489379109755934
ML,observed_plus_imputed_sensitivity,TP,ST,3.6063867560455316
ML,observed_plus_imputed_sensitivity,TSS,CT,6289.797518359873
ML,observed_plus_imputed_sensitivity,TSS,MT,3816.1102421860687
ML,observed_plus_imputed_sensitivity,TSS,ST,3434.9326607603907
