Target,feature,Importance_mean_sd,interpretation
Concentration,Analyte,58.9 (6.66),Descriptive CatBoost importance; noncausal.
Concentration,Inflow_Result_mg_L,11.6 (4.28),Descriptive CatBoost importance; noncausal.
Concentration,MDL_mg_L,4.72 (3.14),Descriptive CatBoost importance; noncausal.
Concentration,Result_lod_mg_L,4.06 (2.43),Descriptive CatBoost importance; noncausal.
Concentration,RL_mg_L,3.44 (2.76),Descriptive CatBoost importance; noncausal.
Concentration,residue_prop,1.67 (0.28),Descriptive CatBoost importance; noncausal.
Concentration,DaysUntilHarvest,1.08 (0.225),Descriptive CatBoost importance; noncausal.
Concentration,Volume,1.04 (0.249),Descriptive CatBoost importance; noncausal.
Concentration,DaysSincePlant,0.98 (0.262),Descriptive CatBoost importance; noncausal.
Concentration,RLMDL_Method,0.898 (0.621),Descriptive CatBoost importance; noncausal.
Concentration,SeasonYear,0.897 (0.945),Descriptive CatBoost importance; noncausal.
Concentration,Season_STIR_toDate,0.883 (0.223),Descriptive CatBoost importance; noncausal.
Concentration,MeasureMethod,0.846 (0.311),Descriptive CatBoost importance; noncausal.
Concentration,Residue_DryMass_kg_m2,0.762 (0.191),Descriptive CatBoost importance; noncausal.
Concentration,IrrMethod,0.722 (0.598),Descriptive CatBoost importance; noncausal.
Concentration,CumAll_STIR_toDate,0.677 (0.234),Descriptive CatBoost importance; noncausal.
Concentration,SampleMethod,0.667 (0.17),Descriptive CatBoost importance; noncausal.
Concentration,Inflow_Volume,0.654 (0.208),Descriptive CatBoost importance; noncausal.
Concentration,DayOfYear,0.638 (0.114),Descriptive CatBoost importance; noncausal.
Concentration,Year,0.61 (0.291),Descriptive CatBoost importance; noncausal.
Concentration,Irrigation,0.481 (0.121),Descriptive CatBoost importance; noncausal.
Concentration,Rep,0.433 (0.0648),Descriptive CatBoost importance; noncausal.
Concentration,previous_crop,0.402 (0.18),Descriptive CatBoost importance; noncausal.
Concentration,RLMDL_Source,0.395 (0.428),Descriptive CatBoost importance; noncausal.
Concentration,Crop,0.392 (0.131),Descriptive CatBoost importance; noncausal.
Concentration,Treatment,0.319 (0.14),Descriptive CatBoost importance; noncausal.
Concentration,FF,0.273 (0.0979),Descriptive CatBoost importance; noncausal.
Concentration,Lab,0.236 (0.0735),Descriptive CatBoost importance; noncausal.
Concentration,RLMDL_Assumed,0.228 (0.245),Descriptive CatBoost importance; noncausal.
Concentration,Inflow_Flag,0.222 (0.0994),Descriptive CatBoost importance; noncausal.
Concentration,TSSMethod,0.212 (0.166),Descriptive CatBoost importance; noncausal.
Concentration,Composite,0.185 (0.128),Descriptive CatBoost importance; noncausal.
Concentration,Duplicate,0.18 (0.0653),Descriptive CatBoost importance; noncausal.
Concentration,FlumeMethod,0.149 (0.0552),Descriptive CatBoost importance; noncausal.
Concentration,Flag,0.084 (0.0234),Descriptive CatBoost importance; noncausal.
Volume,DaysUntilHarvest,18.5 (9.37),Descriptive CatBoost importance; noncausal.
Volume,DaysSincePlant,10.5 (4.91),Descriptive CatBoost importance; noncausal.
Volume,MeasureMethod,9.93 (2.46),Descriptive CatBoost importance; noncausal.
Volume,DayOfYear,9.93 (6.79),Descriptive CatBoost importance; noncausal.
Volume,FlumeMethod,8.17 (3.37),Descriptive CatBoost importance; noncausal.
Volume,Inflow_Volume,6.67 (2.67),Descriptive CatBoost importance; noncausal.
Volume,CumAll_STIR_toDate,6.52 (2.69),Descriptive CatBoost importance; noncausal.
Volume,Season_STIR_toDate,4.34 (2.92),Descriptive CatBoost importance; noncausal.
Volume,previous_crop,4.08 (2.37),Descriptive CatBoost importance; noncausal.
Volume,Irrigation,4.02 (1.36),Descriptive CatBoost importance; noncausal.
Volume,Treatment,3.95 (1.26),Descriptive CatBoost importance; noncausal.
Volume,Crop,3 (0.895),Descriptive CatBoost importance; noncausal.
Volume,IrrMethod,2.8 (2.16),Descriptive CatBoost importance; noncausal.
Volume,residue_prop,2.02 (0.74),Descriptive CatBoost importance; noncausal.
Volume,Year,1.68 (0.85),Descriptive CatBoost importance; noncausal.
Volume,Residue_DryMass_kg_m2,1.59 (0.372),Descriptive CatBoost importance; noncausal.
Volume,SeasonYear,1.3 (0.589),Descriptive CatBoost importance; noncausal.
Volume,Rep,1 (0.32),Descriptive CatBoost importance; noncausal.
