feature,importance_mean,importance_sd,Target,interpretation
Analyte,58.93410601707004,6.6598097434292285,Concentration,Descriptive CatBoost importance; noncausal.
Inflow_Result_mg_L,11.63156355227273,4.282977351672694,Concentration,Descriptive CatBoost importance; noncausal.
MDL_mg_L,4.721319211770614,3.140073638305958,Concentration,Descriptive CatBoost importance; noncausal.
Result_lod_mg_L,4.058266849685956,2.426337129452039,Concentration,Descriptive CatBoost importance; noncausal.
RL_mg_L,3.4415136535691904,2.7649783765030573,Concentration,Descriptive CatBoost importance; noncausal.
residue_prop,1.669851280128822,0.2799366196554183,Concentration,Descriptive CatBoost importance; noncausal.
DaysUntilHarvest,1.0778828227774493,0.2251809244554835,Concentration,Descriptive CatBoost importance; noncausal.
Volume,1.0401862074742574,0.2488637445543803,Concentration,Descriptive CatBoost importance; noncausal.
DaysSincePlant,0.9796508621394844,0.2617338483961527,Concentration,Descriptive CatBoost importance; noncausal.
RLMDL_Method,0.8981932804439429,0.6209930387688982,Concentration,Descriptive CatBoost importance; noncausal.
SeasonYear,0.897009190559998,0.9450804496795184,Concentration,Descriptive CatBoost importance; noncausal.
Season_STIR_toDate,0.8827322053539217,0.2229600555426593,Concentration,Descriptive CatBoost importance; noncausal.
MeasureMethod,0.8459845105911602,0.3113216781459025,Concentration,Descriptive CatBoost importance; noncausal.
Residue_DryMass_kg_m2,0.7624139220906602,0.1911932743323941,Concentration,Descriptive CatBoost importance; noncausal.
IrrMethod,0.7217189289658784,0.5981935880223372,Concentration,Descriptive CatBoost importance; noncausal.
CumAll_STIR_toDate,0.6770747714434753,0.2335759963076775,Concentration,Descriptive CatBoost importance; noncausal.
SampleMethod,0.666917832006403,0.17018878280305,Concentration,Descriptive CatBoost importance; noncausal.
Inflow_Volume,0.6544094498773616,0.2079800938414029,Concentration,Descriptive CatBoost importance; noncausal.
DayOfYear,0.638352541789145,0.1135194959230425,Concentration,Descriptive CatBoost importance; noncausal.
Year,0.6096221722209556,0.291050413932939,Concentration,Descriptive CatBoost importance; noncausal.
Irrigation,0.4807865474841888,0.1210571164983654,Concentration,Descriptive CatBoost importance; noncausal.
Rep,0.4333538938357851,0.0647781501124311,Concentration,Descriptive CatBoost importance; noncausal.
previous_crop,0.4015074094960751,0.1799938267466235,Concentration,Descriptive CatBoost importance; noncausal.
RLMDL_Source,0.3951492590366672,0.4280360489959309,Concentration,Descriptive CatBoost importance; noncausal.
Crop,0.3919349184482582,0.1307570598169272,Concentration,Descriptive CatBoost importance; noncausal.
Treatment,0.3187253314793035,0.1402576854267804,Concentration,Descriptive CatBoost importance; noncausal.
FF,0.2727836127300902,0.0979143862751824,Concentration,Descriptive CatBoost importance; noncausal.
Lab,0.2362593554859062,0.0734805845695912,Concentration,Descriptive CatBoost importance; noncausal.
RLMDL_Assumed,0.2284814834552666,0.2445938342567751,Concentration,Descriptive CatBoost importance; noncausal.
Inflow_Flag,0.2221338470165637,0.0994266672220486,Concentration,Descriptive CatBoost importance; noncausal.
TSSMethod,0.2120241534399299,0.1662126808446792,Concentration,Descriptive CatBoost importance; noncausal.
Composite,0.184915615821057,0.1282570704808781,Concentration,Descriptive CatBoost importance; noncausal.
Duplicate,0.1803550292578696,0.0653451842132672,Concentration,Descriptive CatBoost importance; noncausal.
FlumeMethod,0.1488597863391912,0.0552261946111145,Concentration,Descriptive CatBoost importance; noncausal.
Flag,0.0839604944424129,0.0233709248891224,Concentration,Descriptive CatBoost importance; noncausal.
DaysUntilHarvest,18.479020422032654,9.370706853321463,Volume,Descriptive CatBoost importance; noncausal.
DaysSincePlant,10.537217577514133,4.911600708014377,Volume,Descriptive CatBoost importance; noncausal.
MeasureMethod,9.92714068176795,2.4609440265254325,Volume,Descriptive CatBoost importance; noncausal.
DayOfYear,9.926965708509927,6.789573286824448,Volume,Descriptive CatBoost importance; noncausal.
FlumeMethod,8.170914876206677,3.371479323822649,Volume,Descriptive CatBoost importance; noncausal.
Inflow_Volume,6.667301020136836,2.672836250924232,Volume,Descriptive CatBoost importance; noncausal.
CumAll_STIR_toDate,6.521729168783728,2.6859270833416926,Volume,Descriptive CatBoost importance; noncausal.
Season_STIR_toDate,4.336367190364122,2.920880214289117,Volume,Descriptive CatBoost importance; noncausal.
previous_crop,4.077323443367672,2.3675690380741563,Volume,Descriptive CatBoost importance; noncausal.
Irrigation,4.021752591947587,1.358227760460852,Volume,Descriptive CatBoost importance; noncausal.
Treatment,3.948684182672127,1.2567117595252113,Volume,Descriptive CatBoost importance; noncausal.
Crop,2.995193567827531,0.8954502582776042,Volume,Descriptive CatBoost importance; noncausal.
IrrMethod,2.7981292555757764,2.156216255411248,Volume,Descriptive CatBoost importance; noncausal.
residue_prop,2.0231361395579834,0.7400712430476103,Volume,Descriptive CatBoost importance; noncausal.
Year,1.6765624579998295,0.8497276868696314,Volume,Descriptive CatBoost importance; noncausal.
Residue_DryMass_kg_m2,1.591379603135545,0.3722720410995969,Volume,Descriptive CatBoost importance; noncausal.
SeasonYear,1.3008089497806294,0.5889036333387871,Volume,Descriptive CatBoost importance; noncausal.
Rep,1.0003731628192425,0.3198432679906428,Volume,Descriptive CatBoost importance; noncausal.
