DisplayTarget,Evaluation,n,RMSE,RMSE_units,NRMSE_percent,Coverage
NH4,full_record_physical_event_reconstruction,42,0.06842,mg/L,62.9%,NA
NH4,outer_loyo_physical_event_validation,42,0.2817,mg/L,259.2%,100.0%
NO3,full_record_physical_event_reconstruction,357,1.009,mg/L,14.4%,NA
NO3,outer_loyo_physical_event_validation,357,2.301,mg/L,32.8%,88.5%
NO2,full_record_physical_event_reconstruction,129,0.1582,mg/L,56.9%,NA
NO2,outer_loyo_physical_event_validation,129,0.3397,mg/L,122.2%,100.0%
OP,full_record_physical_event_reconstruction,336,0.09513,mg/L,78.8%,NA
OP,outer_loyo_physical_event_validation,336,0.2243,mg/L,185.7%,100.0%
Se,full_record_physical_event_reconstruction,102,0.03085,mg/L,466.0%,NA
Se,outer_loyo_physical_event_validation,102,0.1368,mg/L,2066.2%,100.0%
TDS,full_record_physical_event_reconstruction,97,147.5,mg/L,16.7%,NA
TDS,outer_loyo_physical_event_validation,97,594.2,mg/L,67.1%,41.2%
TKN,full_record_physical_event_reconstruction,314,1.407,mg/L,55.5%,NA
TKN,outer_loyo_physical_event_validation,314,5.133,mg/L,202.4%,79.0%
TN,full_record_physical_event_reconstruction,104,1.147,mg/L,20.2%,NA
TN,outer_loyo_physical_event_validation,104,3.411,mg/L,60.1%,83.7%
TP,full_record_physical_event_reconstruction,362,0.6667,mg/L,77.5%,NA
TP,outer_loyo_physical_event_validation,362,1.205,mg/L,140.1%,95.3%
TSS,full_record_physical_event_reconstruction,401,598.5,mg/L,61.3%,NA
TSS,outer_loyo_physical_event_validation,401,1157,mg/L,118.4%,58.1%
Volume,full_record_physical_event_reconstruction,333,1.202e+04,L,44.9%,NA
Volume,outer_loyo_physical_event_validation,333,2.548e+04,L,95.2%,88.3%
