DisplayTarget,Method,Evaluation,n,NRMSE_percent,IntervalCoverage,diagnostic_basis
NH4,Bayes,posterior_predictive_fit,82,64.4%,89.0%,Bayesian posterior-predictive diagnostics
NH4,ML,full_record_physical_event_reconstruction,42,62.9%,NA,Full-record physical-event reconstruction points
NO3,Bayes,posterior_predictive_fit,824,9.9%,96.6%,Bayesian posterior-predictive diagnostics
NO3,ML,full_record_physical_event_reconstruction,357,14.4%,NA,Full-record physical-event reconstruction points
NO2,Bayes,posterior_predictive_fit,433,80.0%,96.5%,Bayesian posterior-predictive diagnostics
NO2,ML,full_record_physical_event_reconstruction,129,56.9%,NA,Full-record physical-event reconstruction points
OP,Bayes,posterior_predictive_fit,804,110.7%,61.4%,Bayesian posterior-predictive diagnostics
OP,ML,full_record_physical_event_reconstruction,336,78.8%,NA,Full-record physical-event reconstruction points
Se,Bayes,posterior_predictive_fit,215,22.6%,72.6%,Bayesian posterior-predictive diagnostics
Se,ML,full_record_physical_event_reconstruction,102,466.0%,NA,Full-record physical-event reconstruction points
TDS,Bayes,posterior_predictive_fit,361,10.5%,92.2%,Bayesian posterior-predictive diagnostics
TDS,ML,full_record_physical_event_reconstruction,97,16.7%,NA,Full-record physical-event reconstruction points
TKN,Bayes,posterior_predictive_fit,732,103.9%,77.3%,Bayesian posterior-predictive diagnostics
TKN,ML,full_record_physical_event_reconstruction,314,55.5%,NA,Full-record physical-event reconstruction points
TN,Bayes,posterior_predictive_fit,172,36.0%,84.9%,Bayesian posterior-predictive diagnostics
TN,ML,full_record_physical_event_reconstruction,104,20.2%,NA,Full-record physical-event reconstruction points
TP,Bayes,posterior_predictive_fit,808,189.1%,77.7%,Bayesian posterior-predictive diagnostics
TP,ML,full_record_physical_event_reconstruction,362,77.5%,NA,Full-record physical-event reconstruction points
TSS,Bayes,posterior_predictive_fit,885,150.6%,75.6%,Bayesian posterior-predictive diagnostics
TSS,ML,full_record_physical_event_reconstruction,401,61.3%,NA,Full-record physical-event reconstruction points
Volume,Bayes,posterior_predictive_fit,370,65.2%,45.7%,Bayesian posterior-predictive diagnostics
Volume,ML,full_record_physical_event_reconstruction,333,44.9%,NA,Full-record physical-event reconstruction points
