Year,Treatment,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,ObservedSubtotal_kL,ObservedSubtotalLower95_kL,ObservedSubtotalUpper95_kL,ObservedAnnualVolume_kL,ObservedAnnualVolumeLower95_kL,ObservedAnnualVolumeUpper95_kL
2011,CT,12,10,0.8333333333333334,False,96.87930333333334,60.33735195833334,139.71091191666667,,,
2011,MT,12,6,0.5,False,101.62622333333331,74.98022166666667,125.34195908333336,,,
2011,ST,12,11,0.9166666666666666,False,149.45602,76.34611270833332,224.0441792916666,,,
2012,CT,20,18,0.9,False,105.28233333333333,65.86413333333333,146.23775833333332,,,
2012,MT,20,15,0.75,False,152.82133333333334,111.16562500000002,202.0887958333333,,,
2012,ST,20,16,0.8,False,101.4395,62.75496250000001,139.64178333333334,,,
2013,CT,14,11,0.7857142857142857,False,84.14,48.661955,122.375,,,
2013,MT,14,9,0.6428571428571429,False,100.647,91.0744,111.8592,,,
2013,ST,14,12,0.8571428571428571,False,109.085,63.016275,160.74173,,,
2014,CT,10,8,0.8,False,255.79143,163.26326110714288,353.3053404285714,,,
2014,MT,10,6,0.6,False,6.58817,2.823501428571429,14.117507142857145,,,
2014,ST,10,8,0.8,False,108.69461,57.74765092857143,160.78325385714282,,,
2015,CT,12,12,1.0,True,229.2092225,179.02138315625,273.724334875,229.2092225,179.02138315625,273.724334875
2015,MT,12,12,1.0,True,105.33368875,67.00306693750001,149.32624118749996,105.33368875,67.00306693750001,149.32624118749996
2015,ST,12,12,1.0,True,90.3864775,59.64446621875,124.4441696875,90.3864775,59.64446621875,124.4441696875
2016,CT,4,4,1.0,True,153.22589,117.8529111111111,204.96065888888887,153.22589,117.8529111111111,204.96065888888887
2016,MT,4,4,1.0,True,20.6415,11.12841888888889,33.34319555555555,20.6415,11.12841888888889,33.34319555555555
2016,ST,4,4,1.0,True,78.19962,34.939962500000014,121.16322874999996,78.19962,34.939962500000014,121.16322874999996
2017,CT,12,12,1.0,True,595.055,408.46116445,813.2927442999999,595.055,408.46116445,813.2927442999999
2017,MT,12,12,1.0,True,192.42943,103.65603490000002,289.58048734999994,192.42943,103.65603490000002,289.58048734999994
2017,ST,12,12,1.0,True,149.21987,87.62328005000002,223.67525825,149.21987,87.62328005000002,223.67525825
2018,CT,10,0,0.0,False,,,,,,
2018,MT,10,0,0.0,False,,,,,,
2018,ST,10,0,0.0,False,,,,,,
2019,CT,2,0,0.0,False,,,,,,
2019,MT,2,0,0.0,False,,,,,,
2019,ST,2,0,0.0,False,,,,,,
2020,CT,16,2,0.125,False,41.50876,41.50876,41.50876,,,
2020,MT,15,0,0.0,False,,,,,,
2020,ST,15,7,0.4666666666666667,False,160.77781666666664,75.67772195833335,259.0256300416666,,,
2021,CT,12,5,0.4166666666666667,False,70.70313,49.012800000000006,93.47979275,,,
2021,MT,12,6,0.5,False,62.78479,30.29868316666667,105.02602408333333,,,
2021,ST,12,7,0.5833333333333334,False,92.60923,29.980608958333345,167.86516054166668,,,
2022,CT,17,0,0.0,False,,,,,,
2022,MT,17,0,0.0,False,,,,,,
2022,ST,17,0,0.0,False,,,,,,
2023,CT,14,10,0.7142857142857143,False,412.13534,296.8113547857143,533.6016741428571,,,
2023,MT,14,10,0.7142857142857143,False,461.21205,362.2496393214286,558.1908288214285,,,
2023,ST,14,10,0.7142857142857143,False,370.5715,288.8366549285714,454.5656921071428,,,
2024,CT,8,5,0.625,False,225.719725,161.293475625,278.7369459821428,,,
2024,MT,8,6,0.75,False,394.081515,259.2035630178572,551.8368384642857,,,
2024,ST,8,7,0.875,False,383.07076,322.5429992857143,443.0729496785714,,,
2025,CT,16,14,0.875,False,551.085505,496.38078125,610.6587143749999,,,
2025,MT,16,15,0.9375,False,672.65724,601.8485378214285,740.8097249464286,,,
2025,ST,16,15,0.9375,False,667.135665,583.9758612678572,755.3078718035715,,,
