Year,Treatment,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,ObservedAnnualVolume_kL,ObservedAnnualVolumeLower95_kL,ObservedAnnualVolumeUpper95_kL
2011,CT,12,10,0.8333333333333334,Incomplete,-,-,-
2011,MT,12,6,0.5,Incomplete,-,-,-
2011,ST,12,11,0.9166666666666666,Incomplete,-,-,-
2012,CT,20,18,0.9,Incomplete,-,-,-
2012,MT,20,15,0.75,Incomplete,-,-,-
2012,ST,20,16,0.8,Incomplete,-,-,-
2013,CT,14,11,0.7857142857142857,Incomplete,-,-,-
2013,MT,14,9,0.6428571428571429,Incomplete,-,-,-
2013,ST,14,12,0.8571428571428571,Incomplete,-,-,-
2014,CT,10,8,0.8,Incomplete,-,-,-
2014,MT,10,6,0.6,Incomplete,-,-,-
2014,ST,10,8,0.8,Incomplete,-,-,-
2015,CT,12,12,1.0,Complete,229.2,179,273.7
2015,MT,12,12,1.0,Complete,105.3,67,149.3
2015,ST,12,12,1.0,Complete,90.39,59.64,124.4
2016,CT,4,4,1.0,Complete,153.2,117.9,205
2016,MT,4,4,1.0,Complete,20.64,11.13,33.34
2016,ST,4,4,1.0,Complete,78.2,34.94,121.2
2017,CT,12,12,1.0,Complete,595.1,408.5,813.3
2017,MT,12,12,1.0,Complete,192.4,103.7,289.6
2017,ST,12,12,1.0,Complete,149.2,87.62,223.7
2018,CT,10,0,0.0,Incomplete,-,-,-
2018,MT,10,0,0.0,Incomplete,-,-,-
2018,ST,10,0,0.0,Incomplete,-,-,-
2019,CT,2,0,0.0,Incomplete,-,-,-
2019,MT,2,0,0.0,Incomplete,-,-,-
2019,ST,2,0,0.0,Incomplete,-,-,-
2020,CT,16,2,0.125,Incomplete,-,-,-
2020,MT,15,0,0.0,Incomplete,-,-,-
2020,ST,15,7,0.4666666666666667,Incomplete,-,-,-
2021,CT,12,5,0.4166666666666667,Incomplete,-,-,-
2021,MT,12,6,0.5,Incomplete,-,-,-
2021,ST,12,7,0.5833333333333334,Incomplete,-,-,-
2022,CT,17,0,0.0,Incomplete,-,-,-
2022,MT,17,0,0.0,Incomplete,-,-,-
2022,ST,17,0,0.0,Incomplete,-,-,-
2023,CT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,MT,14,10,0.7142857142857143,Incomplete,-,-,-
2023,ST,14,10,0.7142857142857143,Incomplete,-,-,-
2024,CT,8,5,0.625,Incomplete,-,-,-
2024,MT,8,6,0.75,Incomplete,-,-,-
2024,ST,8,7,0.875,Incomplete,-,-,-
2025,CT,16,14,0.875,Incomplete,-,-,-
2025,MT,16,15,0.9375,Incomplete,-,-,-
2025,ST,16,15,0.9375,Incomplete,-,-,-
