Analyte,Treatment,ObservedSubtotal_kg,n_observed_events
NH4,CT,0.04212,14
NH4,MT,0.01129,14
NH4,ST,0.0124,14
NO2,CT,0.4524,27
NO2,MT,0.5645,28
NO2,ST,0.5617,29
NO3,CT,17.36,89
NO3,MT,11.86,75
NO3,ST,13.22,91
OP,CT,0.3736,80
OP,MT,0.412,73
OP,ST,0.3856,84
Se,CT,0.0008218,7
Se,MT,0.0003987,6
Se,ST,0.00164,14
TDS,CT,1047,27
TDS,MT,1335,28
TDS,ST,1287,29
TKN,CT,6.707,73
TKN,MT,2.948,67
TKN,ST,3.339,82
TN,CT,5.005,36
TN,MT,2.001,27
TN,ST,2.305,30
TP,CT,2.912,89
TP,MT,3.654,79
TP,ST,2.992,92
TSS,CT,5219,97
TSS,MT,3152,88
TSS,ST,2995,106
