Analyte,Treatment,ObservedSubtotal_kg,n_observed_events
NH4,CT,0.0421199162999998,14
NH4,MT,0.011290614955,14
NH4,ST,0.0123977939249998,14
NO2,CT,0.4523519541299998,27
NO2,MT,0.5644799633674997,28
NO2,ST,0.5616655178924997,29
NO3,CT,17.364855059095,89
NO3,MT,11.855216752174998,75
NO3,ST,13.224137786722498,91
OP,CT,0.3736256834074981,80
OP,MT,0.4119952269549987,73
OP,ST,0.3855680914799992,84
Se,CT,0.0008217839535,7
Se,MT,0.000398721627,6
Se,ST,0.0016403071735,14
TDS,CT,1047.4710811875,27
TDS,MT,1335.42563056,28
TDS,ST,1287.319770925,29
TKN,CT,6.706995724489999,73
TKN,MT,2.947910566084999,67
TKN,ST,3.3393343182749984,82
TN,CT,5.004638694684999,36
TN,MT,2.0007101719149993,27
TN,ST,2.3046680929799988,30
TP,CT,2.911887742677498,89
TP,MT,3.6538154348924983,79
TP,ST,2.9922929861699985,92
TSS,CT,5219.384420228663,97
TSS,MT,3152.1560844545074,88
TSS,ST,2995.071086522965,106
