Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,ComparisonSeries
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.06631491640327786,0.6439103783385179,0.8902439024390244,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,433,0.2409936905919619,0.7999560583105485,0.9653579676674365,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,824,0.6300555753048317,0.09860768139323701,0.9660194174757282,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,804,0.16180231885149657,1.106566500426189,0.6144278606965174,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.0014796527922432733,0.22589637737687376,0.7255813953488373,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,361,98.87651788971395,0.1050967304751195,0.9224376731301939,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,732,1.8919711756854811,1.039238815068055,0.773224043715847,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.3073852485684134,0.3603983137959325,0.8488372093023255,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,808,2.190097793181353,1.8905245277858254,0.7772277227722773,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,885,1960.781495393487,1.5063864046666562,0.7559322033898305,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,CT,28,0.0976460854952675,0.8412585827284584,0.8571428571428571,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,MT,28,0.02403139909458477,0.26979918791033425,0.9642857142857143,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,ST,26,0.05458420979806604,0.5254311198629088,0.8461538461538461,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,CT,138,0.2671239419264659,0.8601018219242701,0.9565217391304348,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,MT,150,0.25312833785808064,0.8565329846987775,0.98,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,ST,145,0.19808819428272897,0.6640032404234159,0.9586206896551724,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,CT,278,0.5391265364364056,0.08442909418365689,0.9784172661870504,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,MT,267,0.6272570733152668,0.09884039634399648,0.9700374531835206,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,ST,279,0.7115257125010702,0.11057188375540343,0.9498207885304659,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,CT,267,0.1608005287658984,1.167883716350984,0.5692883895131086,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,MT,265,0.15994063506275746,1.0376855990116471,0.6339622641509434,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,ST,272,0.16456244567440023,1.1203129905250253,0.6397058823529411,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,CT,68,0.002296882659470008,0.3215200725512795,0.6029411764705882,Bayes posterior-predictive fit
