Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean,mean_abs_obs
ICP,CT,ML,3,21540.14621021377,24059.286028586175,1.6551130382940185,1.4712983748694644,0.0,311.79149085398177,,18175.36991024545,1.2503401671405203,14536.3401
ICP,MT,ML,3,33459.80686683728,34218.16474234591,1.2180434323835692,0.7599054669169093,0.0,756.6797487011136,,11030.770486747977,0.3926557033868774,28092.729563333338
ICP,ST,ML,3,22774.0910316095,28213.721052758337,1.5714707947045443,2.0144833066097854,0.0,291.57693070909045,,11279.224776240777,0.6282394402930904,17953.70372
NH4,CT,Bayes,2,30388.09836244816,30872.850719157246,0.7329751203507793,2.069360305881021,0.0,29250.507577997952,0.95,25066.252468490635,0.5951163884077005,42119.9163
NH4,CT,ML,2,2622.7946875201706,3709.1918184111187,0.08806265881423699,0.24862149549266307,0.5,0.0,,301591.436706556,7.1603047489093905,42119.9163
NH4,MT,Bayes,2,29697.719310849105,32473.33860329223,2.8761355101310535,2.093380842521688,0.0,21813.35397971714,0.95,27133.487242118616,2.403189494129606,11290.614955000001
NH4,MT,ML,2,1752.22597036564,2478.021731633445,0.21947624124194084,0.15974468420773827,0.5,0.0,,44871.2903027683,3.9742113677251245,11290.614955000001
NH4,ST,Bayes,2,29305.666407557474,35598.369015638746,3.134443400125072,245.72811448002727,0.0,22459.03112685292,0.95,28957.92397618489,2.5497509070879456,11357.158025
NH4,ST,ML,2,1539.1048759411442,2176.6229894705234,0.19165208273753181,15.024774390689174,0.5,0.0,,54956.151077694674,4.8388999216813025,11357.158025
NO2,CT,Bayes,3,74338.83219565221,98496.61429911014,0.18027681059920933,0.0604639676593458,0.6666666666666666,217640.78757515992,0.95,123109.31331182808,0.22532504814346355,546363.19542
NO2,CT,ML,3,125231.54439183832,180678.4414330322,0.3306929217553557,0.11091280159511593,0.0,3184.1252429684027,,617220.0305460762,1.1296881556445382,546363.19542
NO2,MT,Bayes,3,122532.03069429383,186667.69786193775,0.3705791234768766,0.1235263744922922,0.6666666666666666,189172.82292386374,0.95,80804.90492905542,0.1604166718946156,503718.87145333336
NO2,MT,ML,3,292865.23389907344,465792.6368024949,0.9247075366832824,0.3082358455610942,0.0,5584.502373518558,,670125.0813901824,1.3303553219213975,503718.87145333336
NO2,ST,Bayes,3,246412.036839826,395665.4116730572,0.6032511053288854,0.20329943481413423,0.6666666666666666,189656.23905605613,0.95,213211.50622696627,0.32507283428285655,655888.4155833333
NO2,ST,ML,3,122412.59729157394,197935.53892379874,0.3017823370881753,0.10170255474868313,0.0,3105.332250992053,,810560.8968374431,1.2358213342075075,655888.4155833333
