Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ICP,ALL,ML,9,25924.681369553517,29130.43138588067,1.4815424217940438,1.4152290494653863,3.193061026624213,0.0,453.3493900880619,,13495.1217244114,0.7570784369401626
NH4,ALL,Bayes,6,27966.48538074081,30572.895414905433,2.0867560866031276,78.05177564168027,156.10355128336053,0.0,28001.847012836122,0.95,24085.359674162115,1.6287710847420556
NH4,ALL,ML,6,1971.3751779423183,2865.681029383603,0.1663969942645699,5.1443801901298585,10.288760380259717,0.5,0.0,,133806.29269567298,5.324472012771939
NO2,ALL,Bayes,9,1179945.7845327212,1360075.6932421473,2.4251306555888643,0.8125330094752323,1.7254111006014812,0.1111111111111111,709894.8903725019,0.95,1085647.6891042034,1.9271878938061273
NO2,ALL,ML,9,180169.79186082855,310261.1573428344,0.5190609318422711,0.17361706730163107,0.3685396389028657,0.0,3957.9866224930042,,699302.0029245673,1.2319549372578145
NO3,ALL,Bayes,35,2912287.7103697215,3453674.4534175913,1.1784193467063002,0.29031314711890904,0.945529813655868,0.08571428571428572,755157.3543334443,0.95,2806662.212872012,0.9634358591254953
NO3,ALL,ML,35,1213798.4829512648,1918470.3920435007,0.6053934633952348,0.14740089110522758,0.47786046680578714,0.05714285714285714,534157.2283203157,,1920597.3234435609,0.6465568085146539
NPOC,ALL,ML,3,2.9103830456733704e-10,3.377382175051842e-10,2.7868249228847397e-16,,,0.6666666666666666,0.0,,234677.5442604172,0.42226280028423796
OP,ALL,Bayes,32,72185.04209641009,99916.48467716505,0.9049785055493117,0.2351508887888058,0.6515082368377996,0.59375,132686.59533786034,0.95,58537.1781563392,0.5335927586208254
OP,ALL,ML,32,62311.121221751426,122201.94277256727,1.0637976864015477,0.2814426006288733,0.7676771881247051,0.0625,1392.1304139436138,,72299.58119576576,0.6488548885774468
Se,ALL,Bayes,5,4057.018203386925,4328.052946360157,5.258248685394875,15.563325062878294,31.126650125756587,0.0,849.9080569796254,0.95,3934.42875036365,4.997372032239179
Se,ALL,ML,5,12485.254019254991,20043.08522695421,22.07896558110383,47.46743828988251,94.93487657976502,0.0,407.4766991544362,,20688.5998260243,22.702537632755497
TDS,ALL,Bayes,9,373860742.0968771,500790177.2072206,0.34371314997048286,0.5908356616902316,1.4285859034829695,0.2222222222222222,139584998.42372254,0.95,355767512.43310803,0.24898529681292836
TDS,ALL,ML,9,359009507.8895523,515176098.4577018,0.34117057750777385,0.5338682715288765,1.2869455681906574,0.0,38878437.58505501,,1178169561.6606038,0.8073295819858768
TKN,ALL,Bayes,29,1200495.9264292764,1553295.4082156417,1.339271484894628,0.30022653230501023,0.9977059758253721,0.3103448275862069,1053977.920614638,0.95,1056654.5865874689,0.9142854295545955
TKN,ALL,ML,29,741416.3247750769,1066073.4749170651,0.8955736388510532,0.19640688055747527,0.651615549991929,0.10344827586206896,322127.72178582475,,599181.3585519007,0.5087973213745092
TN,ALL,Bayes,15,1706511.0829580692,2169249.451917805,2.3702264908887383,1.0412191113935085,2.8941912919199333,0.3333333333333333,2346404.1239121477,0.95,1423635.954081578,1.5642081231168674
TN,ALL,ML,15,355407.5402769357,425119.8128376271,0.4329020250211251,0.18077618327319217,0.502965764974831,0.13333333333333333,362856.47523479426,,2269385.18601539,1.5054014972152432
TP,ALL,Bayes,35,348669.009604906,569677.7269164803,0.82524021037613,0.1442227399653919,0.5050703920953854,0.8571428571428571,1140796.1302198882,0.95,264476.8329053113,0.38417881422689604
TP,ALL,ML,35,463215.03303968685,1447576.2585193256,1.8607308847397084,0.32259930132654957,1.1081757486998327,0.02857142857142857,42794.93558613375,,443889.89324630017,0.5946928344626025
TSP,ALL,ML,9,29134.194229665613,48072.24335218677,4.9437087287767865,2.3550399032444904,5.532020642470469,0.2222222222222222,228.70541988119416,,44846.94423049203,4.478686973520183
TSS,ALL,Bayes,35,549098173.8593006,856745173.8824607,0.8534936572555952,0.19678733729981687,0.6222836748907798,0.5428571428571428,931253816.4037181,0.95,454407330.6958813,0.4590789819961285
TSS,ALL,ML,35,357061650.4297945,1004784632.5478736,1.0362875330256043,0.22150086426924687,0.6924510798222097,0.05714285714285714,43797121.84963702,,815784126.6441071,0.813976988630646
