method,summary_file,draw_file,metric,saved_definition,recomputed_definition,n_groups,max_absolute_difference_source_units,median_absolute_relative_difference,p95_absolute_relative_difference,relative_difference_denominator,exact_reconciliation,explanation
Bayes,annual_load_summary_bayes_v2p1.csv,annual_load_draws_bayes_v2p1.csv,mean,Full-posterior mean and 2.5/97.5 percentiles with nonnegative clamping in the saved summary,Mean or 2.5/97.5 percentile from the saved 400-draw subsample; raw values are not clamped,450,401818.6229132836,0.012710241398343303,1.0841733750667744,"max(abs(saved), abs(recomputed), 1e-12)",False,"The saved annual draw file is a 400-draw posterior subsample, whereas the saved annual summary used the fuller posterior calculation; negative saved-summary bounds were clamped upstream."
Bayes,annual_load_summary_bayes_v2p1.csv,annual_load_draws_bayes_v2p1.csv,lower,Full-posterior mean and 2.5/97.5 percentiles with nonnegative clamping in the saved summary,Mean or 2.5/97.5 percentile from the saved 400-draw subsample; raw values are not clamped,450,1009389.5729076329,0.11470209785615887,1.356821897344017,"max(abs(saved), abs(recomputed), 1e-12)",False,"The saved annual draw file is a 400-draw posterior subsample, whereas the saved annual summary used the fuller posterior calculation; negative saved-summary bounds were clamped upstream."
Bayes,annual_load_summary_bayes_v2p1.csv,annual_load_draws_bayes_v2p1.csv,upper,Full-posterior mean and 2.5/97.5 percentiles with nonnegative clamping in the saved summary,Mean or 2.5/97.5 percentile from the saved 400-draw subsample; raw values are not clamped,450,332715.2732546504,0.018997889000716167,0.14063667470817573,"max(abs(saved), abs(recomputed), 1e-12)",False,"The saved annual draw file is a 400-draw posterior subsample, whereas the saved annual summary used the fuller posterior calculation; negative saved-summary bounds were clamped upstream."
ML,annual_load_summary.csv,annual_load_draws.csv,mean,"Mean, median, and 2.5/97.5 percentiles from saved LOYO annual draws","Same calculation from the saved 2,000-draw LOYO annual file",231,1.4901161193847656e-08,0.0,0.0,"max(abs(saved), abs(recomputed), 1e-12)",True,Floating-point CSV precision only.
ML,annual_load_summary.csv,annual_load_draws.csv,median,"Mean, median, and 2.5/97.5 percentiles from saved LOYO annual draws","Same calculation from the saved 2,000-draw LOYO annual file",231,2.384185791015625e-07,0.0,0.0,"max(abs(saved), abs(recomputed), 1e-12)",True,Floating-point CSV precision only.
ML,annual_load_summary.csv,annual_load_draws.csv,low,"Mean, median, and 2.5/97.5 percentiles from saved LOYO annual draws","Same calculation from the saved 2,000-draw LOYO annual file",231,1.1920928955078125e-07,0.0,0.0,"max(abs(saved), abs(recomputed), 1e-12)",True,Floating-point CSV precision only.
ML,annual_load_summary.csv,annual_load_draws.csv,high,"Mean, median, and 2.5/97.5 percentiles from saved LOYO annual draws","Same calculation from the saved 2,000-draw LOYO annual file",231,4.76837158203125e-07,0.0,0.0,"max(abs(saved), abs(recomputed), 1e-12)",True,Floating-point CSV precision only.
ML,annual_load_summary.csv,annual_load_draws.csv,n_draws,"Mean, median, and 2.5/97.5 percentiles from saved LOYO annual draws","Same calculation from the saved 2,000-draw LOYO annual file",231,0.0,0.0,0.0,"max(abs(saved), abs(recomputed), 1e-12)",True,Floating-point CSV precision only.
ML full-record imputation,annual_load_summary_imputed.csv,imputed_row_draws.csv plus wq_cleaned_ml_imputed.csv,mean,Full-record annual summary from upstream seed+80001 imputation draws,Same aggregation from deposited seed+70001 row-level imputation draws,450,47287391.59973335,0.003613207869777326,0.021640476784369676,"max(abs(saved), abs(recomputed), 1e-12)",False,Expected Monte Carlo difference: upstream saved row draws and annual summaries use different documented RNG streams; no new draws were generated here.
ML full-record imputation,annual_load_summary_imputed.csv,imputed_row_draws.csv plus wq_cleaned_ml_imputed.csv,median,Full-record annual summary from upstream seed+80001 imputation draws,Same aggregation from deposited seed+70001 row-level imputation draws,450,39456610.53333855,0.004684034229839712,0.03286054297372923,"max(abs(saved), abs(recomputed), 1e-12)",False,Expected Monte Carlo difference: upstream saved row draws and annual summaries use different documented RNG streams; no new draws were generated here.
ML full-record imputation,annual_load_summary_imputed.csv,imputed_row_draws.csv plus wq_cleaned_ml_imputed.csv,low,Full-record annual summary from upstream seed+80001 imputation draws,Same aggregation from deposited seed+70001 row-level imputation draws,450,175798203.84727097,0.008178452556680486,0.05925536403472078,"max(abs(saved), abs(recomputed), 1e-12)",False,Expected Monte Carlo difference: upstream saved row draws and annual summaries use different documented RNG streams; no new draws were generated here.
ML full-record imputation,annual_load_summary_imputed.csv,imputed_row_draws.csv plus wq_cleaned_ml_imputed.csv,high,Full-record annual summary from upstream seed+80001 imputation draws,Same aggregation from deposited seed+70001 row-level imputation draws,450,90885172.98275375,0.008206248990608182,0.03790474030018957,"max(abs(saved), abs(recomputed), 1e-12)",False,Expected Monte Carlo difference: upstream saved row draws and annual summaries use different documented RNG streams; no new draws were generated here.
ML full-record imputation,annual_load_summary_imputed.csv,imputed_row_draws.csv plus wq_cleaned_ml_imputed.csv,n_draws,Full-record annual summary from upstream seed+80001 imputation draws,Same aggregation from deposited seed+70001 row-level imputation draws,450,0.0,0.0,0.0,"max(abs(saved), abs(recomputed), 1e-12)",True,Expected Monte Carlo difference: upstream saved row draws and annual summaries use different documented RNG streams; no new draws were generated here.
