Analyte,Treatment,"Negative annual draws, n (%)","Variant A cumulative, kg [95% display interval]","Variant A raw lower 95%, kg","Variant B cumulative, kg [95% interval]","Change in mean, kg (B-A)","Change in median, kg (B-A)","Change in interval width, kg (B-A)",Variant A treatment ordering,Variant B treatment ordering,Substantive ordering changed,Variant A percent difference vs CT,Variant B percent difference vs CT,CT-comparison direction changed
NH4,CT,296 (4.9%),"1.47 [0.632, 2.4]",0.6320678616504102,"1.5 [0.728, 2.4]",0.029221436458174654,0.0181330255882568,-0.09641444058597437,MT < ST < CT,MT < ST < CT,False,Reference,Reference,False
NH4,MT,345 (5.8%),"1.15 [0.301, 1.94]",0.30078772906314305,"1.19 [0.534, 1.94]",0.034582881344866534,0.011348678512345556,-0.23304241235770928,MT < ST < CT,MT < ST < CT,False,"21.9% [0.7, 47.5]; P(T<CT)=0.98","20.5% [1.8, 39.5]; P(T<CT)=0.98",False
NH4,ST,296 (4.9%),"1.23 [0.427, 2.05]",0.4270885619942834,"1.26 [0.611, 2.05]",0.03055373683935958,0.007397151707505323,-0.1774379621331743,MT < ST < CT,MT < ST < CT,False,"13.8% [-4.7, 34.3]; P(T<CT)=0.94","15.1% [-3.5, 31.2]; P(T<CT)=0.94",False
NO3,CT,0 (0.0%),"87.5 [79.7, 95.4]",79.74937484636853,"87.5 [79.7, 95.4]",0.0,0.0,0.0,MT < ST < CT,MT < ST < CT,False,Reference,Reference,False
NO3,MT,0 (0.0%),"76.9 [71.7, 82.5]",71.74435486899084,"76.9 [71.7, 82.5]",0.0,0.0,0.0,MT < ST < CT,MT < ST < CT,False,"12.0% [5.6, 18.8]; P(T<CT)=1.00","12.0% [5.6, 18.8]; P(T<CT)=1.00",False
NO3,ST,0 (0.0%),"78.8 [73.4, 84.2]",73.43910065439027,"78.8 [73.4, 84.2]",0.0,0.0,0.0,MT < ST < CT,MT < ST < CT,False,"9.8% [2.6, 17.3]; P(T<CT)=1.00","9.8% [2.6, 17.3]; P(T<CT)=1.00",False
NO2,CT,2893 (48.2%),"-0.631 [0, 4.77]",-4.878287985273722,"3.95 [1.64, 8.69]",4.585300251997167,4.434756248258058,-2.5941338454632206,MT < ST < CT,MT < ST < CT,False,Reference,Reference,False
NO2,MT,2893 (48.2%),"-1.5 [0, 2.73]",-4.825890943514935,"2.99 [1.28, 6.91]",4.496098426920605,4.348912075489919,-1.9206357423296234,MT < ST < CT,MT < ST < CT,False,"214.4% [-0.1, 1388.7]; P(T<CT)=0.97","23.0% [-7.2, 47.0]; P(T<CT)=0.94",False
NO2,ST,2894 (48.2%),"-1.04 [0, 3.94]",-4.729483918420239,"3.25 [1.37, 7.49]",4.29016273791942,4.124025354138961,-2.554437918364659,MT < ST < CT,MT < ST < CT,False,"120.9% [-146.0, 882.7]; P(T<CT)=0.91","17.1% [-7.1, 39.4]; P(T<CT)=0.92",False
OP,CT,762 (12.7%),"1.8 [1.27, 2.31]",1.2707046828429338,"1.9 [1.47, 2.37]",0.1021092958333214,0.09642428370943668,-0.14170688714633406,MT < ST < CT,MT < ST < CT,False,Reference,Reference,False
OP,MT,699 (11.7%),"1.73 [1.37, 2.11]",1.3743003974611705,"1.81 [1.5, 2.17]",0.079216972442127,0.07480800195563342,-0.06265375450485977,MT < ST < CT,MT < ST < CT,False,"2.4% [-21.9, 20.4]; P(T<CT)=0.64","3.9% [-15.1, 19.0]; P(T<CT)=0.70",False
OP,ST,682 (11.4%),"1.76 [1.39, 2.15]",1.3864192986888029,"1.84 [1.53, 2.2]",0.08285882153455315,0.07654582032699153,-0.09151519524320828,MT < ST < CT,MT < ST < CT,False,"1.2% [-18.3, 18.2]; P(T<CT)=0.59","2.5% [-14.2, 17.1]; P(T<CT)=0.66",False
Se,CT,0 (0.0%),"0.0905 [0.0743, 0.105]",0.07433500775426359,"0.0905 [0.0743, 0.105]",0.0,0.0,0.0,MT < ST < CT,MT < ST < CT,False,Reference,Reference,False
Se,MT,1 (0.0%),"0.0739 [0.0605, 0.0866]",0.06048164122142873,"0.0739 [0.0605, 0.0866]",3.638185362697666e-08,0.0,0.0,MT < ST < CT,MT < ST < CT,False,"18.3% [12.3, 24.4]; P(T<CT)=1.00","18.3% [12.3, 24.4]; P(T<CT)=1.00",False
Se,ST,1 (0.0%),"0.0762 [0.0632, 0.0887]",0.06324371671982634,"0.0762 [0.0632, 0.0887]",7.024094657304136e-08,0.0,0.0,MT < ST < CT,MT < ST < CT,False,"15.7% [9.7, 21.9]; P(T<CT)=1.00","15.7% [9.7, 21.9]; P(T<CT)=1.00",False
TDS,CT,0 (0.0%),"1.24e+04 [1.08e+04, 1.4e+04]",10823.77753018782,"1.24e+04 [1.08e+04, 1.4e+04]",0.0,0.0,0.0,MT < ST < CT,MT < ST < CT,False,Reference,Reference,False
TDS,MT,0 (0.0%),"1.11e+04 [9.95e+03, 1.23e+04]",9948.071166880229,"1.11e+04 [9.95e+03, 1.23e+04]",0.0,0.0,0.0,MT < ST < CT,MT < ST < CT,False,"10.6% [3.4, 17.4]; P(T<CT)=1.00","10.6% [3.4, 17.4]; P(T<CT)=1.00",False
TDS,ST,0 (0.0%),"1.13e+04 [1.01e+04, 1.26e+04]",10072.154292817373,"1.13e+04 [1.01e+04, 1.26e+04]",0.0,0.0,0.0,MT < ST < CT,MT < ST < CT,False,"9.1% [2.6, 16.0]; P(T<CT)=1.00","9.1% [2.6, 16.0]; P(T<CT)=1.00",False
TKN,CT,434 (7.2%),"22.7 [17.7, 27.8]",17.74292294356525,"25 [20.3, 29.7]",2.2900068588894698,2.4025938255259973,-0.7336638062912328,MT < ST < CT,MT < ST < CT,False,Reference,Reference,False
TKN,MT,479 (8.0%),"15.6 [11.8, 19.7]",11.819731880799969,"17.4 [13.5, 21.6]",1.851173455195525,1.933371273056423,0.21128421983166135,MT < ST < CT,MT < ST < CT,False,"31.3% [17.6, 43.7]; P(T<CT)=1.00","30.2% [18.0, 41.4]; P(T<CT)=1.00",False
TKN,ST,480 (8.0%),"16.6 [13, 20.5]",13.010657976838045,"18.2 [14.6, 22]",1.5916951680963365,1.6310429909616175,-0.07657983901371956,MT < ST < CT,MT < ST < CT,False,"26.9% [14.1, 38.4]; P(T<CT)=1.00","27.3% [15.8, 37.3]; P(T<CT)=1.00",False
TN,CT,66 (1.1%),"92.3 [58.5, 131]",58.545466608511276,"92.6 [59.2, 131]",0.3070061167573783,0.1383487827282437,-0.6565875502245149,MT < ST < CT,MT < ST < CT,False,Reference,Reference,False
TN,MT,96 (1.6%),"74.5 [42.4, 111]",42.44862163557111,"74.9 [44.2, 113]",0.379939872583023,0.3768598008021655,0.4088936787915003,MT < ST < CT,MT < ST < CT,False,"19.6% [10.1, 31.0]; P(T<CT)=1.00","19.3% [10.1, 30.5]; P(T<CT)=1.00",False
TN,ST,97 (1.6%),"76 [45, 112]",45.020870627766605,"76.4 [45.8, 112]",0.3786567598258159,0.16257643812588185,-0.6023033700452345,MT < ST < CT,MT < ST < CT,False,"17.8% [9.4, 26.3]; P(T<CT)=1.00","17.6% [9.4, 25.8]; P(T<CT)=1.00",False
TP,CT,1213 (20.2%),"12.2 [8.14, 16.7]",8.13707642366305,"13 [9.74, 17.1]",0.7635453425045213,0.762461797425825,-1.1931378828783945,ST < MT < CT,MT < ST < CT,True,Reference,Reference,False
TP,MT,1307 (21.8%),"10.1 [7.03, 13.5]",7.032335361756111,"10.8 [8.52, 13.6]",0.6957074229698375,0.6316362640904885,-1.4508120631656531,ST < MT < CT,MT < ST < CT,True,"15.9% [-11.3, 37.6]; P(T<CT)=0.88","15.8% [-2.6, 33.4]; P(T<CT)=0.92",False
