input_label,exact_path,file_size_bytes,sha256,modification_time_local,columns,inferred_units,n_rows,first_year,last_year,n_unique_years,unique_years,treatments,analytes,analyte_alias_mapping,draw_identifier_column,n_unique_draws,annual_key,n_year_analyte_treatment_combinations,missing_values_required_fields,nonfinite_values_required_fields,duplicate_key_rows,minimum_load_source_units,maximum_load_source_units,negative_load_count,negative_load_fraction,source_model_version
bayes_draws,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,13678775,CF9B1314F719D76AE5549F224E5E65F2197F8A2A73E6C04B8060459D9B993B5B,2026-06-14T03:22:36.335422-06:00,"[""draw"", ""draw_id"", ""Year"", ""analyte"", ""treatment"", ""volume_L"", ""conc_fw_mg_L"", ""load_g""]",g,180000,2011.0,2025.0,15,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[""CT"", ""MT"", ""ST""]","[""NH4"", ""NO2"", ""NO3"", ""OP"", ""Se"", ""TDS"", ""TKN"", ""TN"", ""TP"", ""TSS""]","{""NH4"": ""NH4"", ""NO2"": ""NO2"", ""NO3"": ""NO3"", ""OP"": ""OP"", ""Se"": ""Se"", ""TDS"": ""TDS"", ""TKN"": ""TKN"", ""TN"": ""TN"", ""TP"": ""TP"", ""TSS"": ""TSS""}",draw,400,draw;Year;analyte;treatment,450.0,"{""draw"": 0, ""Year"": 0, ""analyte"": 0, ""treatment"": 0, ""load_g"": 0}","{""draw"": 0, ""Year"": 0, ""load_g"": 0}",0.0,-1521346.629055743,4959648.757589947,19572.0,0.10873333333333333,v2p1; 400 saved posterior draws
bayes_summary,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_v2p1.csv,90930,EB8C887E0D0202D3F2BD64C4E615B6F30C51E60CA9AD4286309A456FD617F0FA,2026-06-14T03:07:00.449631-06:00,"[""model_version"", ""source"", ""interval_prob"", ""Year"", ""analyte"", ""treatment"", ""n_events"", ""n_rows"", ""volume_mean"", ""volume_low"", ""volume_high"", ""conc_mean"", ""conc_low"", ""conc_high"", ""load_mean"", ""load_low"", ""load_high""]",g,450,2011.0,2025.0,15,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[""CT"", ""MT"", ""ST""]","[""NH4"", ""NO2"", ""NO3"", ""OP"", ""Se"", ""TDS"", ""TKN"", ""TN"", ""TP"", ""TSS""]","{""NH4"": ""NH4"", ""NO2"": ""NO2"", ""NO3"": ""NO3"", ""OP"": ""OP"", ""Se"": ""Se"", ""TDS"": ""TDS"", ""TKN"": ""TKN"", ""TN"": ""TN"", ""TP"": ""TP"", ""TSS"": ""TSS""}",,0,Year;analyte;treatment;source,450.0,"{""Year"": 0, ""analyte"": 0, ""treatment"": 0, ""source"": 0, ""load_mean"": 0}","{""Year"": 0, ""load_mean"": 0}",0.0,0.0,3986295.335252899,0.0,0.0,v2p1 Bayesian annual summary
bayes_plus_observed,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,130871,45D55145D05B722C6FF21871051D2AF8882086556FFE9476983D0171C3A2FA7D,2026-06-14T03:07:00.648818-06:00,"[""model_version"", ""source"", ""interval_prob"", ""Year"", ""analyte"", ""treatment"", ""n_events"", ""n_rows"", ""volume_mean"", ""volume_low"", ""volume_high"", ""conc_mean"", ""conc_low"", ""conc_high"", ""load_mean"", ""load_low"", ""load_high""]",g,681,2011.0,2025.0,15,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[""CT"", ""MT"", ""ST""]","[""ICP"", ""NH4"", ""NO2"", ""NO3"", ""NPOC"", ""OP"", ""Se"", ""TDS"", ""TKN"", ""TN"", ""TP"", ""TSP"", ""TSS""]","{""NH4"": ""NH4"", ""NO2"": ""NO2"", ""NO3"": ""NO3"", ""OP"": ""OP"", ""Se"": ""Se"", ""TDS"": ""TDS"", ""TKN"": ""TKN"", ""TN"": ""TN"", ""TP"": ""TP"", ""TSS"": ""TSS""}",,0,Year;analyte;treatment;source,471.0,"{""Year"": 0, ""analyte"": 0, ""treatment"": 0, ""source"": 0, ""load_mean"": 0}","{""Year"": 0, ""load_mean"": 0}",0.0,0.0,4957069.42679291,0.0,0.0,v2p1 modeled plus observed subtotal summary
ml_loyo_draws,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\annual_load_draws.csv,17551764,90896C910DE86628F8E1FEA2C14DDEEC17ECDB411313187E838F7556360FD5C4,2026-06-26T22:17:04.213076-06:00,"[""Year"", ""Treatment"", ""Analyte"", ""Draw"", ""AnnualLoad_mg""]",mg,462000,2011.0,2025.0,12,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2020, 2021, 2023, 2024, 2025]","[""CT"", ""MT"", ""ST""]","[""Ammonium(NH4)"", ""ICP"", ""NPOC"", ""Nitrate"", ""Nitrite"", ""OrthoP"", ""Selenium"", ""TDS"", ""TKN"", ""TSP"", ""TSS"", ""TotalN"", ""TotalP""]","{""Ammonium(NH4)"": ""NH4"", ""Nitrate"": ""NO3"", ""Nitrite"": ""NO2"", ""OrthoP"": ""OP"", ""Selenium"": ""Se"", ""TDS"": ""TDS"", ""TKN"": ""TKN"", ""TSS"": ""TSS"", ""TotalN"": ""TN"", ""TotalP"": ""TP""}",Draw,2000,Draw;Year;Analyte;Treatment,231.0,"{""Draw"": 0, ""Year"": 0, ""Analyte"": 0, ""Treatment"": 0, ""AnnualLoad_mg"": 0}","{""Draw"": 0, ""Year"": 0, ""AnnualLoad_mg"": 0}",0.0,0.0,2551575729.0854936,0.0,0.0,CatBoost LOYO/conformal; 2000 draws
ml_loyo_summary,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\annual_load_summary.csv,21604,4CCC4976ED39C330FF2F3D49F332AF85312DAAF0268F805C206925BF96B3CC4E,2026-06-26T22:17:04.288952-06:00,"[""Year"", ""Treatment"", ""Analyte"", ""mean"", ""median"", ""low"", ""high"", ""n_draws""]",mg,231,2011.0,2025.0,12,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2020, 2021, 2023, 2024, 2025]","[""CT"", ""MT"", ""ST""]","[""Ammonium(NH4)"", ""ICP"", ""NPOC"", ""Nitrate"", ""Nitrite"", ""OrthoP"", ""Selenium"", ""TDS"", ""TKN"", ""TSP"", ""TSS"", ""TotalN"", ""TotalP""]","{""Ammonium(NH4)"": ""NH4"", ""Nitrate"": ""NO3"", ""Nitrite"": ""NO2"", ""OrthoP"": ""OP"", ""Selenium"": ""Se"", ""TDS"": ""TDS"", ""TKN"": ""TKN"", ""TSS"": ""TSS"", ""TotalN"": ""TN"", ""TotalP"": ""TP""}",implicit vector position,2000,Year;Analyte;Treatment,231.0,"{""Year"": 0, ""Analyte"": 0, ""Treatment"": 0, ""mean"": 0}","{""Year"": 0, ""mean"": 0}",0.0,4005.0025535161567,1414181314.9889126,0.0,0.0,CatBoost LOYO annual summary
ml_imputed_summary,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\annual_load_summary_imputed.csv,61214,560658C5A6F181658CB6B0D02FB1BFD5E041D06C694F068B391656CFA9353DD9,2026-06-26T22:24:03.172824-06:00,"[""Year"", ""Treatment"", ""Analyte"", ""mean"", ""median"", ""low"", ""high"", ""n_events"", ""n_draws""]",mg,630,2011.0,2025.0,15,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[""CT"", ""MT"", ""ST""]","[""Ammonium(NH4)"", ""ICP"", ""NPOC"", ""Nitrate"", ""NitrateNitrite"", ""Nitrite"", ""OrthoP"", ""Selenium"", ""TDS"", ""TKN"", ""TSP"", ""TSS"", ""TotalN"", ""TotalP""]","{""Ammonium(NH4)"": ""NH4"", ""Nitrate"": ""NO3"", ""Nitrite"": ""NO2"", ""OrthoP"": ""OP"", ""Selenium"": ""Se"", ""TDS"": ""TDS"", ""TKN"": ""TKN"", ""TSS"": ""TSS"", ""TotalN"": ""TN"", ""TotalP"": ""TP""}",implicit vector position,2000,Year;Analyte;Treatment,630.0,"{""Year"": 0, ""Analyte"": 0, ""Treatment"": 0, ""mean"": 0}","{""Year"": 0, ""mean"": 0}",0.0,342.85283999999984,10741870917.707878,0.0,0.0,CatBoost full-record imputed annual summary
ml_imputed_rows,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv,13796957,14D1391029F29FADE4CE0D1314D6F1F4C1A50A2DD8E6324817222EEB4906D48D,2026-06-26T22:23:50.155279-06:00,"[""_wq_idx"", ""Date"", ""Year"", ""Irrigation"", ""Rep"", ""Treatment"", ""InflowOutflow"", ""SampleID"", ""FF"", ""Composite"", ""Duplicate"", ""Flag"", ""NoRunoff"", ""Volume"", ""SampleMethod"", ""MeasureMethod"", ""IrrMethod"", ""FlumeMethod"", ""TSSMethod"", ""Lab"", ""Notes"", ""Analyte"", ""Result_mg_L"", ""Inflow_Result_mg_L"", ""Inflow_Flag"", ""Inflow_Volume"", ""Has_Inflow"", ""MDL_Provided"", ""RL_Provided"", ""RLMDL_Provided_Units"", ""RLMDL_Method"", ""MDL_mg_L"", ""RL_mg_L"", ""RLMDL_Source"", ""RLMDL_Assumed"", ""PlantDate"", ""HarvestDate"", ""SeasonYear"", ""Crop"", ""previous_crop"", ""CumAll_STIR_toDate"", ""Season_STIR_toDate"", ""Residue_PercentCover"", ""Residue_DryMass_kg_m2"", ""Residue_n"", ""Result_is_nd"", ""Result_mg_L_cens"", ""Result_lod_mg_L"", ""Inflow_is_nd"", ""Inflow_Result_mg_L_cens"", ""Inflow_lod_mg_L"", ""analyte_abbr"", ""cout_z"", ""cin_z"", ""stir_season_z"", ""stir_cumall_z"", ""volume_z"", ""IRR_z"", ""inflow_volume_z"", ""residue_prop"", ""residue_obs"", ""DayOfYear"", ""DaysSincePlant"", ""DaysUntilHarvest"", ""IrrigationInfrastructure"", ""EventVolumeID"", ""y_logC"", ""y_logV"", ""Result_mg_L_model_pred"", ""Result_mg_L_model_pi_low"", ""Result_mg_L_model_pi_high"", ""Volume_model_pred"", ""Volume_model_pi_low"", ""Volume_model_pi_high"", ""Result_mg_L_pred"", ""Result_mg_L_pi_low"", ""Result_mg_L_pi_high"", ""q_conformal_logC"", ""Volume_pred"", ""Volume_pi_low"", ""Volume_pi_high"", ""q_conformal_logV"", ""Result_mg_L_filled"", ""Volume_filled""]","mixed; concentration mg/L, volume L",15366,2011.0,2025.0,15,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]","[""CT"", ""MT"", ""ST""]","[""Ammonium(NH4)"", ""ICP"", ""NPOC"", ""Nitrate"", ""NitrateNitrite"", ""Nitrite"", ""OrthoP"", ""Selenium"", ""TDS"", ""TKN"", ""TSP"", ""TSS"", ""TotalN"", ""TotalP""]","{""Ammonium(NH4)"": ""NH4"", ""Nitrate"": ""NO3"", ""Nitrite"": ""NO2"", ""OrthoP"": ""OP"", ""Selenium"": ""Se"", ""TDS"": ""TDS"", ""TKN"": ""TKN"", ""TSS"": ""TSS"", ""TotalN"": ""TN"", ""TotalP"": ""TP""}",,0,_wq_idx,630.0,"{""_wq_idx"": 0}","{""_wq_idx"": 0}",0.0,,,,,CatBoost saved-model imputed rows
ml_imputed_row_draws,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,439798441,25EDCEE8C8B9F0968F22975E6ADB23DABD9DF11770F4947D4177170FB63BBCBB,2026-06-26T22:24:02.097548-06:00,"[""_wq_idx"", ""Target"", ""draws""]",mg/L or L draw vectors,15440,,,0,[],[],[],{},saved vector position 0-1999,2000,_wq_idx;Target,,{},{},0.0,,,,,"2,000 saved imputation draws per row/target"
ml_cv_predictions,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\cv_predictions_samplelevel.csv,1625618,7CC570BFCA2178AFF6D0319DD5D9BF01263AE80DA97172C35E7F4A79B0A67943,2026-06-26T22:17:03.702237-06:00,"[""SampleID"", ""Date"", ""Year"", ""Treatment"", ""Analyte"", ""Irrigation"", ""Rep"", ""Target"", ""y_true"", ""y_pred"", ""pi_low"", ""pi_high"", ""EventVolumeID"", ""UnitOfAnalysis"", ""mode"", ""calibration""]",See columns,6132,2011.0,2025.0,13,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2020, 2021, 2022, 2023, 2024, 2025]","[""CT"", ""MT"", ""ST""]","[""Ammonium(NH4)"", ""ICP"", ""NPOC"", ""Nitrate"", ""NitrateNitrite"", ""Nitrite"", ""OrthoP"", ""Selenium"", ""TDS"", ""TKN"", ""TSP"", ""TSS"", ""TotalN"", ""TotalP""]","{""Ammonium(NH4)"": ""NH4"", ""Nitrate"": ""NO3"", ""Nitrite"": ""NO2"", ""OrthoP"": ""OP"", ""Selenium"": ""Se"", ""TDS"": ""TDS"", ""TKN"": ""TKN"", ""TSS"": ""TSS"", ""TotalN"": ""TN"", ""TotalP"": ""TP""}",,0,,296.0,{},{},,,,,,Saved diagnostic input
ml_cv_metrics,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\cv_metrics_by_year.csv,3941,03BB2F2BAB9036A97019C623922522504234B21C8077A279327FC24C191F1FC1,2026-06-26T22:17:03.670326-06:00,"[""Year_Test"", ""Target"", ""n_test"", ""MAE"", ""RMSE"", ""R2"", ""q_conformal"", ""coverage"", ""mean_interval_width_log"", ""n_calibration"", ""mode"", ""calibration""]",See columns,25,2011.0,2025.0,13,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2020, 2021, 2022, 2023, 2024, 2025]",[],[],{},,0,,,{},{},,,,,,Saved diagnostic input
