Response,Held-out year,Coverage,Interval width
Concentration,2011,81.7% / 95% (n=126),181 mg/L
Concentration,2012,76.4% / 95% (n=174),220 mg/L
Concentration,2013,82.2% / 95% (n=90),213 mg/L
Concentration,2014,76.6% / 95% (n=222),76.8 mg/L
Concentration,2015,86.6% / 95% (n=397),93 mg/L
Concentration,2016,87.5% / 95% (n=216),28.6 mg/L
Concentration,2017,75.9% / 95% (n=324),132 mg/L
Concentration,2020,88.6% / 95% (n=246),45 mg/L
Concentration,2021,77.7% / 95% (n=539),67.7 mg/L
Concentration,2022,78.5% / 95% (n=577),127 mg/L
Concentration,2023,73.1% / 95% (n=928),201 mg/L
Concentration,2024,77.9% / 95% (n=646),247 mg/L
Concentration,2025,70.2% / 95% (n=1003),273 mg/L
Volume,2011,29.6% / 95% (n=27),1.26e+04 L
Volume,2012,67.3% / 95% (n=49),4.37e+04 L
Volume,2013,90.6% / 95% (n=32),4.97e+04 L
Volume,2014,78.0% / 95% (n=41),4.26e+04 L
Volume,2015,94.4% / 95% (n=36),7.49e+04 L
Volume,2016,100.0% / 95% (n=12),6.56e+04 L
Volume,2017,67.1% / 95% (n=82),2.88e+04 L
Volume,2020,42.9% / 95% (n=14),2.29e+04 L
Volume,2021,74.3% / 95% (n=35),1.3e+05 L
Volume,2023,90.6% / 95% (n=128),8.37e+04 L
Volume,2024,37.0% / 95% (n=54),4.62e+04 L
Volume,2025,98.5% / 95% (n=134),1.11e+05 L
