analyte,treatment,observed_value_label,observed_subtotal_kg,first_observed_year,last_observed_year,n_observed_annual_values,missing_years,n_contributing_events,n_contributing_rows,source_file,source_units,output_units,conversion_factor_to_kg,coverage_warning,provisional_qc_flag,provisional_qc_reason
NH4,CT,observed subtotal,0.0418692946,2015,2016,2,2011;2012;2013;2014;2017;2018;2019;2020;2021;2022;2023;2024;2025,14,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
NH4,MT,observed subtotal,0.01126135294,2015,2016,2,2011;2012;2013;2014;2017;2018;2019;2020;2021;2022;2023;2024;2025,14,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
NH4,ST,observed subtotal,0.012803030750000001,2015,2016,2,2011;2012;2013;2014;2017;2018;2019;2020;2021;2022;2023;2024;2025,14,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
NO3,CT,observed subtotal,37.11443583142001,2011,2025,12,2018;2019;2022,186,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
NO3,MT,observed subtotal,27.4609689629,2011,2025,11,2018;2019;2020;2022,148,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
NO3,ST,observed subtotal,31.92684458947,2011,2025,12,2018;2019;2022,198,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
NO2,CT,observed subtotal,1.6390895862600001,2023,2025,3,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,100,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
NO2,MT,observed subtotal,1.5111566143600001,2023,2025,3,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,92,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
NO2,ST,observed subtotal,1.9676652467499998,2023,2025,3,2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,108,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
OP,CT,observed subtotal,1.20692941634,2011,2025,11,2013;2018;2019;2022,176,0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_summary_bayes_plus_observed_v2p1.csv,g,kg,0.001,Observed subtotal is incomplete annual truth when concentration-volume pairs are missing; coverage is unequal among groups.,True,"Observed physical-event aggregation uses the accepted upstream event key, whose SampleID/MeasureMethod interpretation remains unresolved."
