Response,Method,n,RMSE (original unit),NRMSE_mean (%),NRMSE definition
NH4 concentration,Bayes,6,0.0317 mg/L,32.4%,100 × RMSE / mean(abs(observed))
NO3 concentration,Bayes,35,0.644 mg/L,9.0%,100 × RMSE / mean(abs(observed))
NO2 concentration,Bayes,9,0.0267 mg/L,9.7%,100 × RMSE / mean(abs(observed))
OP concentration,Bayes,32,0.104 mg/L,64.6%,100 × RMSE / mean(abs(observed))
Se concentration,Bayes,5,0.000558 mg/L,8.2%,100 × RMSE / mean(abs(observed))
TDS concentration,Bayes,9,60.5 mg/L,6.4%,100 × RMSE / mean(abs(observed))
TKN concentration,Bayes,29,0.972 mg/L,44.7%,100 × RMSE / mean(abs(observed))
TN concentration,Bayes,15,1.58 mg/L,27.9%,100 × RMSE / mean(abs(observed))
TP concentration,Bayes,35,0.742 mg/L,69.3%,100 × RMSE / mean(abs(observed))
TSS concentration,Bayes,35,765 mg/L,64.2%,100 × RMSE / mean(abs(observed))
NH4 concentration,ML,6,0.0123 mg/L,12.6%,100 × RMSE / mean(abs(observed))
NO3 concentration,ML,35,1.35 mg/L,18.9%,100 × RMSE / mean(abs(observed))
NO2 concentration,ML,9,0.0471 mg/L,17.1%,100 × RMSE / mean(abs(observed))
OP concentration,ML,32,0.0844 mg/L,52.6%,100 × RMSE / mean(abs(observed))
Se concentration,ML,5,0.00559 mg/L,82.5%,100 × RMSE / mean(abs(observed))
TDS concentration,ML,9,75.6 mg/L,8.0%,100 × RMSE / mean(abs(observed))
TKN concentration,ML,29,0.696 mg/L,32.0%,100 × RMSE / mean(abs(observed))
TN concentration,ML,15,1.03 mg/L,18.1%,100 × RMSE / mean(abs(observed))
TP concentration,ML,35,0.51 mg/L,47.6%,100 × RMSE / mean(abs(observed))
TSS concentration,ML,35,385 mg/L,32.3%,100 × RMSE / mean(abs(observed))
Volume,Bayes,35,472 kL,85.9%,100 × RMSE / mean(abs(observed))
Volume,ML,35,348 kL,61.2%,100 × RMSE / mean(abs(observed))
