Year,Analyte,Treatment,BayesPosteriorMedian_kg,BayesLower95_kg,BayesUpper95_kg,MLPointTotal_kg,MLLower95_kg,MLUpper95_kg,n_expected_physical_events,n_observed_event_loads,observed_event_fraction,ObservedAnnualLoadComplete,ObservedAnnualLoad_kg,ObservedAnnualLoadLower95_kg,ObservedAnnualLoadUpper95_kg
2011,NH4,CT,0.02943,-0.01495,0.06952,0.0486,0.03274,2.273,12,0,0.0,Incomplete,-,-,-
2011,NH4,MT,0.03759,-0.01026,0.08273,0.0595,0.03868,3.131,12,0,0.0,Incomplete,-,-,-
2011,NH4,ST,0.03797,-0.009777,0.08358,0.05867,0.03834,3.457,12,0,0.0,Incomplete,-,-,-
2011,NO2,CT,0.1008,-0.3403,0.5998,0.07103,0.0488,2.839,12,0,0.0,Incomplete,-,-,-
2011,NO2,MT,0.1027,-0.4026,0.6373,0.09935,0.06715,3.73,12,0,0.0,Incomplete,-,-,-
2011,NO2,ST,0.1037,-0.4104,0.6447,0.08262,0.05604,3.756,12,0,0.0,Incomplete,-,-,-
2011,NO3,CT,2.556,1.94,3.255,0.9895,0.7674,30.46,12,6,0.5,Incomplete,-,-,-
2011,NO3,MT,2.905,2.257,3.551,1.312,0.9814,38.95,12,3,0.25,Incomplete,-,-,-
2011,NO3,ST,2.924,2.258,3.592,1.481,1.084,43.57,12,5,0.4166666666666667,Incomplete,-,-,-
2011,OP,CT,0.05573,0.01946,0.09216,0.03529,0.02268,2.537,12,6,0.5,Incomplete,-,-,-
2011,OP,MT,0.03088,-0.01583,0.07023,0.04896,0.0306,3.198,12,3,0.25,Incomplete,-,-,-
2011,OP,ST,0.029,-0.01915,0.06966,0.03907,0.02339,2.644,12,5,0.4166666666666667,Incomplete,-,-,-
2011,Se,CT,0.002562,0.001732,0.003579,0.04046,0.02798,2.589,12,0,0.0,Incomplete,-,-,-
2011,Se,MT,0.002667,0.001781,0.003646,0.06333,0.04141,3.303,12,0,0.0,Incomplete,-,-,-
2011,Se,ST,0.002666,0.001768,0.003674,0.0538,0.03359,3.324,12,0,0.0,Incomplete,-,-,-
2011,TDS,CT,303.2,178.1,456.9,1.541,1.239,41.94,12,0,0.0,Incomplete,-,-,-
2011,TDS,MT,357.9,212.3,510.9,1.662,1.272,44.51,12,0,0.0,Incomplete,-,-,-
2011,TDS,ST,361.1,211.2,515.5,1.682,1.26,47.16,12,0,0.0,Incomplete,-,-,-
2011,TKN,CT,1.559,0.1743,2.955,0.691,0.5465,19.88,12,0,0.0,Incomplete,-,-,-
2011,TKN,MT,1.049,-0.5081,2.6,0.8027,0.6067,21.5,12,0,0.0,Incomplete,-,-,-
2011,TKN,ST,1.013,-0.5643,2.596,0.8657,0.6519,23.2,12,0,0.0,Incomplete,-,-,-
2011,TN,CT,2.035,1.381,2.981,0.6133,0.4735,19.54,12,6,0.5,Incomplete,-,-,-
2011,TN,MT,2.386,1.304,3.549,0.7358,0.5337,23.87,12,3,0.25,Incomplete,-,-,-
2011,TN,ST,2.408,1.283,3.608,0.7921,0.6178,21.24,12,5,0.4166666666666667,Incomplete,-,-,-
2011,TP,CT,0.6517,0.2562,1.107,0.2584,0.205,8.698,12,6,0.5,Incomplete,-,-,-
2011,TP,MT,0.2091,-0.3018,0.6342,0.2976,0.2219,9.058,12,3,0.25,Incomplete,-,-,-
2011,TP,ST,0.1785,-0.3416,0.6105,0.3151,0.2157,10.3,12,5,0.4166666666666667,Incomplete,-,-,-
2011,TSS,CT,611.1,331.4,953.6,195,157.8,5464,12,10,0.8333333333333334,Incomplete,-,-,-
2011,TSS,MT,-78.71,-492.4,267.7,177.5,135.9,4803,12,6,0.5,Incomplete,-,-,-
2011,TSS,ST,-125.6,-561.7,233.1,173.1,124.5,5350,12,11,0.9166666666666666,Incomplete,-,-,-
2012,NH4,CT,0.01461,-0.04093,0.06924,0.03443,0.02421,1.98,16,0,0.0,Incomplete,-,-,-
2012,NH4,MT,0.02488,-0.04432,0.09169,0.03931,0.02802,2.834,18,0,0.0,Incomplete,-,-,-
2012,NH4,ST,0.02029,-0.04082,0.08127,0.03275,0.02426,2.255,16,0,0.0,Incomplete,-,-,-
2012,NO2,CT,0.09218,-0.5472,0.7586,0.06084,0.04563,2.824,16,0,0.0,Incomplete,-,-,-
2012,NO2,MT,0.09716,-0.7028,0.9455,0.08856,0.06381,4.708,18,0,0.0,Incomplete,-,-,-
2012,NO2,ST,0.08613,-0.6357,0.8537,0.06922,0.05253,2.971,16,0,0.0,Incomplete,-,-,-
2012,NO3,CT,4.793,3.705,6.034,0.9443,0.7606,26.94,20,12,0.6,Incomplete,-,-,-
2012,NO3,MT,4.91,3.775,5.935,1.345,1.037,42.65,18,7,0.3888888888888889,Incomplete,-,-,-
2012,NO3,ST,4.55,3.643,5.533,1.092,0.8818,29.94,17,6,0.35294117647058826,Incomplete,-,-,-
2012,OP,CT,0.06477,0.02036,0.1182,0.04063,0.02852,2.305,16,8,0.5,Incomplete,-,-,-
2012,OP,MT,0.04689,-0.01711,0.1154,0.0681,0.05066,3.502,18,7,0.3888888888888889,Incomplete,-,-,-
2012,OP,ST,0.03535,-0.02484,0.09761,0.05483,0.04124,2.513,16,5,0.3125,Incomplete,-,-,-
2012,Se,CT,0.003134,0.001971,0.004498,0.03156,0.0229,1.986,16,0,0.0,Incomplete,-,-,-
2012,Se,MT,0.003624,0.002222,0.005097,0.0448,0.03112,2.841,18,0,0.0,Incomplete,-,-,-
2012,Se,ST,0.003223,0.002066,0.004427,0.03618,0.02746,2.436,16,0,0.0,Incomplete,-,-,-
2012,TDS,CT,417.2,253.3,605.8,1.411,1.186,36.48,16,0,0.0,Incomplete,-,-,-
2012,TDS,MT,539.3,326.1,760.8,1.702,1.376,49.21,18,0,0.0,Incomplete,-,-,-
2012,TDS,ST,486.3,296.9,676.9,1.398,1.154,37.19,16,0,0.0,Incomplete,-,-,-
2012,TKN,CT,1.851,0.4776,3.519,0.5473,0.4473,15.14,16,0,0.0,Incomplete,-,-,-
2012,TKN,MT,1.419,-0.2934,3.467,0.6578,0.5344,20.43,18,0,0.0,Incomplete,-,-,-
2012,TKN,ST,1.199,-0.3396,2.951,0.5362,0.4419,14.57,16,0,0.0,Incomplete,-,-,-
2012,TN,CT,1.411,0.5142,2.716,0.3558,0.2933,9.717,18,10,0.5555555555555556,Incomplete,-,-,-
2012,TN,MT,1.726,0.1096,3.481,0.3868,0.2995,12.22,18,7,0.3888888888888889,Incomplete,-,-,-
2012,TN,ST,1.499,0.05514,3.006,0.3213,0.2567,8.601,16,5,0.3125,Incomplete,-,-,-
2012,TP,CT,0.5757,0.0778,1.09,0.2282,0.1781,7.22,18,10,0.5555555555555556,Incomplete,-,-,-
2012,TP,MT,-0.06099,-0.7565,0.5608,0.3181,0.2405,10.82,18,7,0.3888888888888889,Incomplete,-,-,-
2012,TP,ST,-0.1135,-0.7505,0.4476,0.2488,0.1928,7.734,16,5,0.3125,Incomplete,-,-,-
2012,TSS,CT,799.7,399,1267,164.1,132.9,4120,20,14,0.7,Incomplete,-,-,-
2012,TSS,MT,-342.1,-1106,215.3,176.4,144.7,4722,20,13,0.65,Incomplete,-,-,-
2012,TSS,ST,-225.8,-914.1,292.1,142.2,119.6,3383,20,14,0.7,Incomplete,-,-,-
2013,NH4,CT,0.04024,-0.03395,0.1035,0.04513,0.03315,2.807,14,0,0.0,Incomplete,-,-,-
2013,NH4,MT,0.03806,-0.03708,0.1002,0.06521,0.04611,3.047,14,0,0.0,Incomplete,-,-,-
2013,NH4,ST,0.04071,-0.03454,0.1066,0.04656,0.03232,2.835,14,0,0.0,Incomplete,-,-,-
2013,NO2,CT,-0.08371,-0.7257,0.729,0.06308,0.04672,3.135,14,0,0.0,Incomplete,-,-,-
2013,NO2,MT,-0.08556,-0.7389,0.7435,0.08131,0.05868,3.435,14,0,0.0,Incomplete,-,-,-
2013,NO2,ST,-0.08481,-0.7404,0.7383,0.05301,0.03848,2.548,14,0,0.0,Incomplete,-,-,-
2013,NO3,CT,3.938,2.945,4.77,1.404,1.177,38.08,14,5,0.35714285714285715,Incomplete,-,-,-
2013,NO3,MT,4.041,2.995,4.911,1.916,1.482,51.67,14,4,0.2857142857142857,Incomplete,-,-,-
2013,NO3,ST,3.964,2.948,4.801,1.423,1.102,38.61,14,6,0.42857142857142855,Incomplete,-,-,-
2013,OP,CT,-0.05766,-0.142,0.03768,0.05556,0.03988,2.838,14,0,0.0,Incomplete,-,-,-
2013,OP,MT,-0.05748,-0.1447,0.04221,0.07536,0.05378,3.788,14,0,0.0,Incomplete,-,-,-
2013,OP,ST,-0.06127,-0.1477,0.03572,0.04748,0.03233,2.818,14,0,0.0,Incomplete,-,-,-
2013,Se,CT,0.003056,0.001264,0.004651,0.03252,0.02415,2.25,14,0,0.0,Incomplete,-,-,-
2013,Se,MT,0.003042,0.001245,0.004617,0.04649,0.03402,2.863,14,0,0.0,Incomplete,-,-,-
2013,Se,ST,0.003058,0.00126,0.004655,0.02993,0.02196,2.586,14,0,0.0,Incomplete,-,-,-
2013,TDS,CT,450.7,277.7,623.7,1.694,1.418,40.85,14,0,0.0,Incomplete,-,-,-
2013,TDS,MT,456,277.7,635.3,2.537,2.009,64.2,14,0,0.0,Incomplete,-,-,-
2013,TDS,ST,455.4,277.5,631.4,1.675,1.307,46.1,14,0,0.0,Incomplete,-,-,-
2013,TKN,CT,2.123,1.307,3.024,0.9623,0.7836,25.52,14,5,0.35714285714285715,Incomplete,-,-,-
2013,TKN,MT,2.074,1.247,3.002,1.28,1.026,33.3,14,4,0.2857142857142857,Incomplete,-,-,-
2013,TKN,ST,2.08,1.275,2.982,0.9315,0.7343,23.95,14,6,0.42857142857142855,Incomplete,-,-,-
2013,TN,CT,1.579,-1.713,4.439,0.5446,0.441,14.66,14,0,0.0,Incomplete,-,-,-
2013,TN,MT,1.593,-1.716,4.524,0.8079,0.6255,21.5,14,0,0.0,Incomplete,-,-,-
2013,TN,ST,1.597,-1.723,4.486,0.574,0.4476,17.2,14,0,0.0,Incomplete,-,-,-
2013,TP,CT,-0.18,-0.8358,0.4066,0.1476,0.1139,5.403,14,5,0.35714285714285715,Incomplete,-,-,-
2013,TP,MT,-0.1957,-0.9079,0.3884,0.1968,0.1452,6.833,14,4,0.2857142857142857,Incomplete,-,-,-
2013,TP,ST,-0.2239,-0.9081,0.3743,0.131,0.09831,4.866,14,6,0.42857142857142855,Incomplete,-,-,-
2013,TSS,CT,-49.92,-670.5,440.6,129.7,102.1,3483,14,5,0.35714285714285715,Incomplete,-,-,-
2013,TSS,MT,-174,-848.2,350,208.6,161.8,5601,14,4,0.2857142857142857,Incomplete,-,-,-
2013,TSS,ST,-114,-750.8,390.7,111.5,85.87,2933,14,6,0.42857142857142855,Incomplete,-,-,-
2014,NH4,CT,0.03504,0.01036,0.06205,0.04366,0.02905,2.607,10,0,0.0,Incomplete,-,-,-
2014,NH4,MT,0.0257,0.003676,0.05042,0.05524,0.03137,2.755,8,0,0.0,Incomplete,-,-,-
2014,NH4,ST,0.03663,0.00948,0.06754,0.04214,0.03241,1.991,10,0,0.0,Incomplete,-,-,-
2014,NO2,CT,0.1095,-0.3014,0.5652,0.04534,0.02838,2.453,10,0,0.0,Incomplete,-,-,-
2014,NO2,MT,0.08736,-0.2577,0.4606,0.0462,0.02464,2.125,8,0,0.0,Incomplete,-,-,-
2014,NO2,ST,0.1113,-0.3181,0.5808,0.04263,0.03152,1.976,10,0,0.0,Incomplete,-,-,-
2014,NO3,CT,2.635,2.081,3.195,1.139,0.7781,37.88,10,6,0.6,Incomplete,-,-,-
2014,NO3,MT,2.143,1.647,2.652,0.8334,0.5309,29.09,8,1,0.125,Incomplete,-,-,-
2014,NO3,ST,2.713,2.078,3.348,0.9735,0.6963,29.31,10,6,0.6,Incomplete,-,-,-
2014,OP,CT,0.04307,0.01862,0.06717,0.02384,0.0135,1.848,10,6,0.6,Incomplete,-,-,-
2014,OP,MT,0.04019,0.01099,0.06956,0.03725,0.01909,2.188,10,3,0.3,Incomplete,-,-,-
2014,OP,ST,0.03836,0.01199,0.06409,0.0251,0.01901,1.4,10,6,0.6,Incomplete,-,-,-
2014,Se,CT,0.002243,0.001597,0.002897,0.01818,0.01251,1.715,10,0,0.0,Incomplete,-,-,-
2014,Se,MT,0.001764,0.001213,0.002353,0.03225,0.01553,2.222,8,0,0.0,Incomplete,-,-,-
2014,Se,ST,0.002255,0.001566,0.002977,0.02442,0.01714,1.556,10,0,0.0,Incomplete,-,-,-
2014,TDS,CT,280.2,184.5,387.1,1.714,1.185,61.7,10,0,0.0,Incomplete,-,-,-
2014,TDS,MT,234,150.5,328.1,1.098,0.7465,36.35,8,0,0.0,Incomplete,-,-,-
2014,TDS,ST,289.7,186.5,410.9,1.19,0.8957,36.21,10,0,0.0,Incomplete,-,-,-
2014,TKN,CT,1.281,0.766,1.883,0.6505,0.4266,23.99,10,6,0.6,Incomplete,-,-,-
2014,TKN,MT,0.8638,0.4026,1.36,0.4851,0.3054,16.73,8,1,0.125,Incomplete,-,-,-
2014,TKN,ST,1.17,0.6316,1.802,0.5062,0.3729,15.89,10,6,0.6,Incomplete,-,-,-
2014,TN,CT,2.224,1.542,3.011,0.6908,0.4707,23.98,10,6,0.6,Incomplete,-,-,-
2014,TN,MT,2.271,1.431,3.257,0.4791,0.3226,16.76,10,3,0.3,Incomplete,-,-,-
2014,TN,ST,2.289,1.496,3.189,0.5305,0.3949,16.23,10,6,0.6,Incomplete,-,-,-
