Method,Scenario,Year,Analyte,Treatment,Median_95_interval_kg
Bayes,model_only,2011,NH4,CT,"0.02943 (-0.01495, 0.06952)"
Bayes,model_only,2011,NH4,MT,"0.03759 (-0.01026, 0.08273)"
Bayes,model_only,2011,NH4,ST,"0.03797 (-0.009777, 0.08358)"
Bayes,model_only,2011,NO2,CT,"0.1008 (-0.3403, 0.5998)"
Bayes,model_only,2011,NO2,MT,"0.1027 (-0.4026, 0.6373)"
Bayes,model_only,2011,NO2,ST,"0.1037 (-0.4104, 0.6447)"
Bayes,model_only,2011,NO3,CT,"2.556 (1.94, 3.255)"
Bayes,model_only,2011,NO3,MT,"2.905 (2.257, 3.551)"
Bayes,model_only,2011,NO3,ST,"2.924 (2.258, 3.592)"
Bayes,model_only,2011,OP,CT,"0.05573 (0.01946, 0.09216)"
Bayes,model_only,2011,OP,MT,"0.03088 (-0.01583, 0.07023)"
Bayes,model_only,2011,OP,ST,"0.029 (-0.01915, 0.06966)"
Bayes,model_only,2011,Se,CT,"0.002562 (0.001732, 0.003579)"
Bayes,model_only,2011,Se,MT,"0.002667 (0.001781, 0.003646)"
Bayes,model_only,2011,Se,ST,"0.002666 (0.001768, 0.003674)"
Bayes,model_only,2011,TDS,CT,"303.2 (178.1, 456.9)"
Bayes,model_only,2011,TDS,MT,"357.9 (212.3, 510.9)"
Bayes,model_only,2011,TDS,ST,"361.1 (211.2, 515.5)"
Bayes,model_only,2011,TKN,CT,"1.559 (0.1743, 2.955)"
Bayes,model_only,2011,TKN,MT,"1.049 (-0.5081, 2.6)"
Bayes,model_only,2011,TKN,ST,"1.013 (-0.5643, 2.596)"
Bayes,model_only,2011,TN,CT,"2.035 (1.381, 2.981)"
Bayes,model_only,2011,TN,MT,"2.386 (1.304, 3.549)"
Bayes,model_only,2011,TN,ST,"2.408 (1.283, 3.608)"
Bayes,model_only,2011,TP,CT,"0.6517 (0.2562, 1.107)"
Bayes,model_only,2011,TP,MT,"0.2091 (-0.3018, 0.6342)"
Bayes,model_only,2011,TP,ST,"0.1785 (-0.3416, 0.6105)"
Bayes,model_only,2011,TSS,CT,"611.1 (331.4, 953.6)"
Bayes,model_only,2011,TSS,MT,"-78.71 (-492.4, 267.7)"
Bayes,model_only,2011,TSS,ST,"-125.6 (-561.7, 233.1)"
Bayes,model_only,2012,NH4,CT,"0.01461 (-0.04093, 0.06924)"
Bayes,model_only,2012,NH4,MT,"0.02488 (-0.04432, 0.09169)"
Bayes,model_only,2012,NH4,ST,"0.02029 (-0.04082, 0.08127)"
Bayes,model_only,2012,NO2,CT,"0.09218 (-0.5472, 0.7586)"
Bayes,model_only,2012,NO2,MT,"0.09716 (-0.7028, 0.9455)"
Bayes,model_only,2012,NO2,ST,"0.08613 (-0.6357, 0.8537)"
