Year,Treatment,BayesPosteriorMean_kL,BayesLower95_kL,BayesUpper95_kL,MLPointTotal_kL,MLLower95_kL,MLUpper95_kL,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,ObservedAnnualVolume_kL,ObservedAnnualVolumeLower95_kL,ObservedAnnualVolumeUpper95_kL
2011,CT,352.8,270.4,440.6,162.1,-,-,12,10,0.8333333333333334,Incomplete,-,-,-
2011,MT,397.6,308.3,479.5,212.3,-,-,12,6,0.5,Incomplete,-,-,-
2011,ST,400.2,307.8,484.5,253.4,-,-,12,11,0.9166666666666666,Incomplete,-,-,-
2012,CT,504.3,387.6,629.5,164.5,-,-,20,18,0.9,Incomplete,-,-,-
2012,MT,593.4,451.4,720.8,229.6,-,-,20,15,0.75,Incomplete,-,-,-
2012,ST,540.6,426.3,643.3,190.3,-,-,20,16,0.8,Incomplete,-,-,-
2013,CT,493.4,368.6,601.1,220.6,-,-,14,11,0.7857142857142857,Incomplete,-,-,-
2013,MT,496.6,368.4,603.9,291.9,-,-,14,9,0.6428571428571429,Incomplete,-,-,-
2013,ST,496.6,368.4,603.9,221.5,-,-,14,12,0.8571428571428571,Incomplete,-,-,-
2014,CT,321.9,256.3,383.9,177.4,-,-,10,8,0.8,Incomplete,-,-,-
2014,MT,291.1,224.7,351.8,129.7,-,-,10,6,0.6,Incomplete,-,-,-
2014,ST,330.5,254.5,399.9,145.1,-,-,10,8,0.8,Incomplete,-,-,-
2015,CT,351.7,277.1,432,247.6,-,-,12,12,1.0,Complete,229.2,179,273.7
2015,MT,339.8,292.3,389.6,104.8,-,-,12,12,1.0,Complete,105.3,67,149.3
2015,ST,327.4,280.6,374.4,126.5,-,-,12,12,1.0,Complete,90.39,59.64,124.4
2016,CT,110.9,52.68,161,107.7,-,-,4,4,1.0,Complete,153.2,117.9,205
2016,MT,98.66,43.82,147.4,33.54,-,-,4,4,1.0,Complete,20.64,11.13,33.34
2016,ST,97.74,43.48,146.2,84.24,-,-,4,4,1.0,Complete,78.2,34.94,121.2
2017,CT,391.2,303.6,484.8,373.2,-,-,12,12,1.0,Complete,595.1,408.5,813.3
2017,MT,339.8,283,399.2,149,-,-,12,12,1.0,Complete,192.4,103.7,289.6
2017,ST,329.1,270.9,389.6,134.8,-,-,12,12,1.0,Complete,149.2,87.62,223.7
2018,CT,360.4,232,531.3,163.7,-,-,10,0,0.0,Incomplete,-,-,-
2018,MT,363.9,238.8,517.2,146.8,-,-,10,0,0.0,Incomplete,-,-,-
2018,ST,362.1,237.4,515.8,142.3,-,-,10,0,0.0,Incomplete,-,-,-
2019,CT,91.86,71.35,112,39.07,-,-,2,0,0.0,Incomplete,-,-,-
2019,MT,91.86,71.35,112,30.2,-,-,2,0,0.0,Incomplete,-,-,-
2019,ST,91.86,71.35,112,31.38,-,-,2,0,0.0,Incomplete,-,-,-
2020,CT,532.5,410.1,644.5,306.1,-,-,16,2,0.125,Incomplete,-,-,-
2020,MT,396.3,343,451.4,203.4,-,-,15,0,0.0,Incomplete,-,-,-
2020,ST,403.5,345.4,462.9,258.5,-,-,15,7,0.4666666666666667,Incomplete,-,-,-
2021,CT,348.9,267.5,435.3,215.4,-,-,12,5,0.4166666666666667,Incomplete,-,-,-
2021,MT,270.4,216.7,338.2,115.4,-,-,12,6,0.5,Incomplete,-,-,-
2021,ST,283.9,237.2,339.8,133.7,-,-,12,7,0.5833333333333334,Incomplete,-,-,-
2022,CT,535.1,439.3,626.5,274.2,-,-,17,0,0.0,Incomplete,-,-,-
2022,MT,480.9,424,538.3,254.4,-,-,17,0,0.0,Incomplete,-,-,-
2022,ST,490.8,429.1,552,270.5,-,-,17,0,0.0,Incomplete,-,-,-
2023,CT,512.4,433.2,586.3,448.8,-,-,14,10,0.7142857142857143,Incomplete,-,-,-
2023,MT,490.7,430.3,553.6,507.1,-,-,14,10,0.7142857142857143,Incomplete,-,-,-
2023,ST,479.1,424.3,535.3,422.4,-,-,14,10,0.7142857142857143,Incomplete,-,-,-
2024,CT,367.8,285.1,449.4,268.5,-,-,8,5,0.625,Incomplete,-,-,-
2024,MT,367.8,285.1,449.4,395.8,-,-,8,6,0.75,Incomplete,-,-,-
2024,ST,367.8,285.1,449.4,386.4,-,-,8,7,0.875,Incomplete,-,-,-
2025,CT,511.9,413.3,605.5,649.8,-,-,16,14,0.875,Incomplete,-,-,-
2025,MT,413.5,365.8,459.5,676.9,-,-,16,15,0.9375,Incomplete,-,-,-
2025,ST,428.2,379.1,477.8,711.2,-,-,16,15,0.9375,Incomplete,-,-,-
