Scenario,Analyte,Treatment,n_annual_draws,n_negative_annual_draws,percent_negative_annual_draws,Median_95_display_interval_kg,raw_lower_95_kg
annual_draw_truncation_at_zero,NH4,CT,22500,1426,6.337777777777778,"0.4971 (0.2175, 0.8365)",0.2174551262563871
annual_draw_truncation_at_zero,NH4,MT,22500,1508,6.702222222222222,"0.4508 (0.2065, 0.7835)",0.20645932139551293
annual_draw_truncation_at_zero,NH4,ST,22500,1424,6.328888888888889,"0.4776 (0.2286, 0.8024)",0.22859858063763036
annual_draw_truncation_at_zero,NO2,CT,22500,10599,47.10666666666667,"1.627 (0.4285, 4.53)",0.42846163879068144
annual_draw_truncation_at_zero,NO2,MT,22500,10635,47.266666666666666,"1.451 (0.3718, 4.309)",0.37179876946581597
annual_draw_truncation_at_zero,NO2,ST,22500,10621,47.20444444444445,"1.486 (0.3892, 4.323)",0.38921870616476634
annual_draw_truncation_at_zero,NO3,CT,22500,0,0.0,"40.91 (34.25, 47.92)",34.24768099262008
annual_draw_truncation_at_zero,NO3,MT,22500,0,0.0,"38.72 (34.43, 43.33)",34.43400523157125
annual_draw_truncation_at_zero,NO3,ST,22500,0,0.0,"38.51 (34.39, 43.19)",34.38771301613252
annual_draw_truncation_at_zero,OP,CT,22500,4414,19.61777777777778,"0.7109 (0.506, 1.004)",0.5059812663692894
annual_draw_truncation_at_zero,OP,MT,22500,3945,17.533333333333335,"0.6944 (0.5068, 0.9545)",0.5068274332890632
annual_draw_truncation_at_zero,OP,ST,22500,4021,17.871111111111112,"0.6693 (0.4895, 0.9022)",0.48945188369647874
annual_draw_truncation_at_zero,Se,CT,22500,46,0.20444444444444446,"0.03819 (0.02944, 0.04624)",0.029437508200444072
annual_draw_truncation_at_zero,Se,MT,22500,49,0.21777777777777776,"0.03351 (0.0264, 0.04008)",0.026400386013430404
annual_draw_truncation_at_zero,Se,ST,22500,49,0.21777777777777776,"0.03371 (0.02666, 0.04024)",0.02666045846594699
annual_draw_truncation_at_zero,TDS,CT,22500,2,0.008888888888888889,"5205 (4048, 6352)",4047.5548531710424
annual_draw_truncation_at_zero,TDS,MT,22500,1,0.0044444444444444444,"5020 (4006, 5995)",4005.991026756951
annual_draw_truncation_at_zero,TDS,ST,22500,2,0.008888888888888889,"5004 (4009, 6013)",4009.1675622633734
annual_draw_truncation_at_zero,TKN,CT,22500,2281,10.137777777777778,"13.49 (9.267, 18.59)",9.26728198229266
annual_draw_truncation_at_zero,TKN,MT,22500,3274,14.551111111111112,"9.568 (5.902, 14.38)",5.902214161395921
annual_draw_truncation_at_zero,TKN,ST,22500,3322,14.764444444444445,"9.532 (6.249, 14.28)",6.2485412175743
annual_draw_truncation_at_zero,TN,CT,22500,713,3.168888888888889,"32.61 (18.39, 49.29)",18.38675450450301
annual_draw_truncation_at_zero,TN,MT,22500,891,3.96,"28.7 (16.39, 43.82)",16.394649201932324
annual_draw_truncation_at_zero,TN,ST,22500,879,3.9066666666666667,"28.55 (16.46, 43.79)",16.463447796290804
annual_draw_truncation_at_zero,TP,CT,22500,6707,29.808888888888887,"4.273 (2.701, 6.685)",2.700566812033844
annual_draw_truncation_at_zero,TP,MT,22500,7351,32.67111111111111,"3.089 (2.031, 5.082)",2.0308461179735953
annual_draw_truncation_at_zero,TP,ST,22500,7767,34.52,"2.994 (2.003, 4.798)",2.00279753636385
annual_draw_truncation_at_zero,TSS,CT,22500,1924,8.551111111111112,"6722 (4869, 9455)",4868.788532646806
annual_draw_truncation_at_zero,TSS,MT,22500,4542,20.186666666666667,"4157 (3012, 5850)",3011.705240984045
annual_draw_truncation_at_zero,TSS,ST,22500,3869,17.195555555555554,"4483 (3369, 6075)",3368.5284025968404
raw_annual_draws_display_floor_only,NH4,CT,22500,1426,6.337777777777778,"0.4875 (0.1053, 0.8342)",0.1053341786502276
raw_annual_draws_display_floor_only,NH4,MT,22500,1508,6.702222222222222,"0.4423 (0.08495, 0.781)",0.08494928851558795
raw_annual_draws_display_floor_only,NH4,ST,22500,1424,6.328888888888889,"0.472 (0.1204, 0.7984)",0.12040158152751651
raw_annual_draws_display_floor_only,NO2,CT,22500,10599,47.10666666666667,"0.1281 (0, 3.492)",-2.7460633767305276
raw_annual_draws_display_floor_only,NO2,MT,22500,10635,47.266666666666666,"0.02032 (0, 3.201)",-2.679860557192459
raw_annual_draws_display_floor_only,NO2,ST,22500,10621,47.20444444444445,"0.05645 (0, 3.281)",-2.5959651985150427
raw_annual_draws_display_floor_only,NO3,CT,22500,0,0.0,"40.91 (34.25, 47.92)",34.24768099262008
raw_annual_draws_display_floor_only,NO3,MT,22500,0,0.0,"38.72 (34.43, 43.33)",34.43400523157125
raw_annual_draws_display_floor_only,NO3,ST,22500,0,0.0,"38.51 (34.39, 43.19)",34.38771301613252
raw_annual_draws_display_floor_only,OP,CT,22500,4414,19.61777777777778,"0.5905 (0.2924, 0.9305)",0.2924305660278978
raw_annual_draws_display_floor_only,OP,MT,22500,3945,17.533333333333335,"0.5935 (0.3273, 0.8967)",0.3272849218922924
raw_annual_draws_display_floor_only,OP,ST,22500,4021,17.871111111111112,"0.568 (0.3177, 0.8401)",0.3177370795599135
raw_annual_draws_display_floor_only,Se,CT,22500,46,0.20444444444444446,"0.03817 (0.02939, 0.04624)",0.029393275791933394
raw_annual_draws_display_floor_only,Se,MT,22500,49,0.21777777777777776,"0.0335 (0.02625, 0.04008)",0.0262499722926006
raw_annual_draws_display_floor_only,Se,ST,22500,49,0.21777777777777776,"0.0337 (0.02654, 0.04024)",0.02653696113038024
raw_annual_draws_display_floor_only,TDS,CT,22500,2,0.008888888888888889,"5205 (4048, 6352)",4047.5548531710424
raw_annual_draws_display_floor_only,TDS,MT,22500,1,0.0044444444444444444,"5020 (4006, 5995)",4005.991026756951
raw_annual_draws_display_floor_only,TDS,ST,22500,2,0.008888888888888889,"5004 (4009, 6013)",4009.1675622633734
raw_annual_draws_display_floor_only,TKN,CT,22500,2281,10.137777777777778,"12.02 (7.728, 17.1)",7.727690396548095
raw_annual_draws_display_floor_only,TKN,MT,22500,3274,14.551111111111112,"8.327 (4.427, 12.89)",4.427173045432412
raw_annual_draws_display_floor_only,TKN,ST,22500,3322,14.764444444444445,"8.427 (4.75, 12.99)",4.749774309174366
raw_annual_draws_display_floor_only,TN,CT,22500,713,3.168888888888889,"32.46 (14.97, 49.29)",14.96665119084869
raw_annual_draws_display_floor_only,TN,MT,22500,891,3.96,"28.54 (13.69, 43.82)",13.694503500863927
raw_annual_draws_display_floor_only,TN,ST,22500,879,3.9066666666666667,"28.4 (13.54, 43.79)",13.539695884604239
raw_annual_draws_display_floor_only,TP,CT,22500,6707,29.808888888888887,"3.439 (1.091, 6.225)",1.090920007193903
raw_annual_draws_display_floor_only,TP,MT,22500,7351,32.67111111111111,"2.279 (0, 4.762)",-0.052450037092977554
raw_annual_draws_display_floor_only,TP,ST,22500,7767,34.52,"2.092 (0, 4.333)",-0.028570748737851898
raw_annual_draws_display_floor_only,TSS,CT,22500,1924,8.551111111111112,"6521 (4330, 9440)",4330.48412492867
raw_annual_draws_display_floor_only,TSS,MT,22500,4542,20.186666666666667,"3399 (1114, 5623)",1114.1642882289686
raw_annual_draws_display_floor_only,TSS,ST,22500,3869,17.195555555555554,"3862 (1769, 6000)",1768.971601241126
