Method,Scenario,Analyte,Treatment,Median_95_interval_kg
Bayes,model_only,NH4,CT,"0.4875 (0.1053, 0.8342)"
Bayes,model_only,NH4,MT,"0.4423 (0.08495, 0.781)"
Bayes,model_only,NH4,ST,"0.472 (0.1204, 0.7984)"
Bayes,model_only,NO2,CT,"0.1281 (-2.746, 3.492)"
Bayes,model_only,NO2,MT,"0.02032 (-2.68, 3.201)"
Bayes,model_only,NO2,ST,"0.05645 (-2.596, 3.281)"
Bayes,model_only,NO3,CT,"40.91 (34.25, 47.92)"
Bayes,model_only,NO3,MT,"38.72 (34.43, 43.33)"
Bayes,model_only,NO3,ST,"38.51 (34.39, 43.19)"
Bayes,model_only,OP,CT,"0.5905 (0.2924, 0.9305)"
Bayes,model_only,OP,MT,"0.5935 (0.3273, 0.8967)"
Bayes,model_only,OP,ST,"0.568 (0.3177, 0.8401)"
Bayes,model_only,Se,CT,"0.03817 (0.02939, 0.04624)"
Bayes,model_only,Se,MT,"0.0335 (0.02625, 0.04008)"
Bayes,model_only,Se,ST,"0.0337 (0.02654, 0.04024)"
Bayes,model_only,TDS,CT,"5205 (4048, 6352)"
Bayes,model_only,TDS,MT,"5020 (4006, 5995)"
Bayes,model_only,TDS,ST,"5004 (4009, 6013)"
Bayes,model_only,TKN,CT,"12.02 (7.728, 17.1)"
Bayes,model_only,TKN,MT,"8.327 (4.427, 12.89)"
Bayes,model_only,TKN,ST,"8.427 (4.75, 12.99)"
Bayes,model_only,TN,CT,"32.46 (14.97, 49.29)"
Bayes,model_only,TN,MT,"28.54 (13.69, 43.82)"
Bayes,model_only,TN,ST,"28.4 (13.54, 43.79)"
Bayes,model_only,TP,CT,"3.439 (1.091, 6.225)"
Bayes,model_only,TP,MT,"2.279 (-0.05245, 4.762)"
Bayes,model_only,TP,ST,"2.092 (-0.02857, 4.333)"
Bayes,model_only,TSS,CT,"6521 (4330, 9440)"
Bayes,model_only,TSS,MT,"3399 (1114, 5623)"
Bayes,model_only,TSS,ST,"3862 (1769, 6000)"
ML,full_record_model_only,NH4,CT,"47.23 (31.35, 66.95)"
ML,full_record_model_only,NH4,MT,"41.5 (25.19, 62.37)"
ML,full_record_model_only,NH4,ST,"40.49 (26.1, 60.72)"
ML,full_record_model_only,NO2,CT,"41.71 (27.86, 60.74)"
ML,full_record_model_only,NO2,MT,"37.03 (22.95, 55.43)"
ML,full_record_model_only,NO2,ST,"37.22 (23.69, 55.3)"
ML,full_record_model_only,NO3,CT,"344 (224.3, 489.2)"
ML,full_record_model_only,NO3,MT,"287.6 (181.6, 438)"
ML,full_record_model_only,NO3,ST,"288.8 (186.8, 427.5)"
ML,full_record_model_only,OP,CT,"34.82 (23.22, 48.97)"
ML,full_record_model_only,OP,MT,"32.9 (20.69, 48.34)"
ML,full_record_model_only,OP,ST,"32.76 (21.52, 48.29)"
ML,full_record_model_only,Se,CT,"36.71 (24.56, 52.33)"
ML,full_record_model_only,Se,MT,"33.62 (20.57, 51.05)"
ML,full_record_model_only,Se,ST,"33.35 (21.59, 49.02)"
ML,full_record_model_only,TDS,CT,"1.558e+04 (7262, 2.853e+04)"
ML,full_record_model_only,TDS,MT,"1.972e+04 (7843, 3.847e+04)"
ML,full_record_model_only,TDS,ST,"1.884e+04 (8339, 3.525e+04)"
ML,full_record_model_only,TKN,CT,"156.7 (97.9, 241.6)"
ML,full_record_model_only,TKN,MT,"128.5 (72.76, 220.2)"
ML,full_record_model_only,TKN,ST,"120.1 (72.42, 215.7)"
ML,full_record_model_only,TN,CT,"182.2 (117.6, 267.3)"
ML,full_record_model_only,TN,MT,"127.3 (83.26, 191.5)"
ML,full_record_model_only,TN,ST,"132.1 (87.1, 192.4)"
ML,full_record_model_only,TP,CT,"63.92 (42.18, 95.81)"
ML,full_record_model_only,TP,MT,"63.04 (36.58, 112.1)"
ML,full_record_model_only,TP,ST,"65.56 (38.75, 113.1)"
ML,full_record_model_only,TSS,CT,"6.798e+04 (4.259e+04, 1.047e+05)"
ML,full_record_model_only,TSS,MT,"4.069e+04 (2.239e+04, 7.512e+04)"
ML,full_record_model_only,TSS,ST,"4.721e+04 (2.598e+04, 8.643e+04)"
ML,observed_plus_imputed_sensitivity,NH4,CT,"14.78 (8.572, 24.01)"
ML,observed_plus_imputed_sensitivity,NH4,MT,"13.05 (7.918, 21.08)"
ML,observed_plus_imputed_sensitivity,NH4,ST,"9.858 (5.747, 16.88)"
ML,observed_plus_imputed_sensitivity,NO2,CT,"11.44 (6.389, 19.06)"
ML,observed_plus_imputed_sensitivity,NO2,MT,"10.06 (5.74, 16.54)"
ML,observed_plus_imputed_sensitivity,NO2,ST,"7.514 (3.919, 12.88)"
ML,observed_plus_imputed_sensitivity,NO3,CT,"109.3 (65.79, 165.5)"
ML,observed_plus_imputed_sensitivity,NO3,MT,"102.8 (65.02, 153.3)"
ML,observed_plus_imputed_sensitivity,NO3,ST,"75.02 (43.99, 118.6)"
ML,observed_plus_imputed_sensitivity,OP,CT,"6.324 (3.076, 11.41)"
ML,observed_plus_imputed_sensitivity,OP,MT,"6.48 (3.312, 11.45)"
ML,observed_plus_imputed_sensitivity,OP,ST,"4.621 (2.185, 8.862)"
ML,observed_plus_imputed_sensitivity,Se,CT,"8.063 (4.593, 13.45)"
ML,observed_plus_imputed_sensitivity,Se,MT,"7.805 (4.261, 13.61)"
ML,observed_plus_imputed_sensitivity,Se,ST,"5.956 (3.439, 10.12)"
ML,observed_plus_imputed_sensitivity,TDS,CT,"1888 (1219, 5751)"
ML,observed_plus_imputed_sensitivity,TDS,MT,"1969 (1450, 5864)"
ML,observed_plus_imputed_sensitivity,TDS,ST,"1580 (1363, 4374)"
ML,observed_plus_imputed_sensitivity,TKN,CT,"56.06 (30.81, 112.4)"
ML,observed_plus_imputed_sensitivity,TKN,MT,"47.66 (23.26, 108.7)"
ML,observed_plus_imputed_sensitivity,TKN,ST,"38.27 (16.23, 101)"
ML,observed_plus_imputed_sensitivity,TN,CT,"52.65 (33.46, 80.51)"
ML,observed_plus_imputed_sensitivity,TN,MT,"39.14 (23.56, 62.13)"
ML,observed_plus_imputed_sensitivity,TN,ST,"29.53 (17.66, 47.65)"
ML,observed_plus_imputed_sensitivity,TP,CT,"13.36 (7.949, 21.49)"
ML,observed_plus_imputed_sensitivity,TP,MT,"13.81 (8.857, 22.23)"
ML,observed_plus_imputed_sensitivity,TP,ST,"9.688 (6.098, 15.77)"
ML,observed_plus_imputed_sensitivity,TSS,CT,"1.841e+04 (1.16e+04, 2.875e+04)"
ML,observed_plus_imputed_sensitivity,TSS,MT,"1.007e+04 (6632, 1.577e+04)"
ML,observed_plus_imputed_sensitivity,TSS,ST,"8051 (5172, 1.36e+04)"
