Year,Analyte,Treatment,n_expected_physical_events,n_observed_event_loads,observed_event_fraction,ObservedAnnualLoadComplete,ObservedSubtotal_kg,ObservedSubtotalLower95_kg,ObservedSubtotalUpper95_kg,ObservedAnnualLoad_kg,ObservedAnnualLoadLower95_kg,ObservedAnnualLoadUpper95_kg
2011,NH4,CT,12,0,0.0,False,,,,,,
2011,NH4,MT,12,0,0.0,False,,,,,,
2011,NH4,ST,12,0,0.0,False,,,,,,
2011,NO2,CT,12,0,0.0,False,,,,,,
2011,NO2,MT,12,0,0.0,False,,,,,,
2011,NO2,ST,12,0,0.0,False,,,,,,
2011,NO3,CT,12,6,0.5,False,0.65435685474,0.3618252175050002,0.98466445905,,,
2011,NO3,MT,12,3,0.25,False,0.65884533775,0.50244419289,0.803135853,,,
2011,NO3,ST,12,5,0.4166666666666667,False,0.96930050128,0.40178282279150007,1.6031156149134986,,,
2011,OP,CT,12,6,0.5,False,0.01487160531,0.0039857212987500015,0.033498600978749994,,,
2011,OP,MT,12,3,0.25,False,0.01199637347,0.004978089600000001,0.025524317520000003,,,
2011,OP,ST,12,5,0.4166666666666667,False,0.019065763700000002,0.0034367336800000003,0.04394057314,,,
2011,Se,CT,12,0,0.0,False,,,,,,
2011,Se,MT,12,0,0.0,False,,,,,,
2011,Se,ST,12,0,0.0,False,,,,,,
2011,TDS,CT,12,0,0.0,False,,,,,,
2011,TDS,MT,12,0,0.0,False,,,,,,
2011,TDS,ST,12,0,0.0,False,,,,,,
2011,TKN,CT,12,0,0.0,False,,,,,,
2011,TKN,MT,12,0,0.0,False,,,,,,
2011,TKN,ST,12,0,0.0,False,,,,,,
2011,TN,CT,12,6,0.5,False,0.45384580454,0.17091463911,0.7367963531975001,,,
2011,TN,MT,12,3,0.25,False,0.54669495822,0.4894819737600001,0.6401165505,,,
2011,TN,ST,12,5,0.4166666666666667,False,0.50437529006,0.31703650841000003,0.69241980109,,,
2011,TP,CT,12,6,0.5,False,0.21655367107,0.11641602910575,0.35284039084399976,,,
2011,TP,MT,12,3,0.25,False,0.15876655615000002,0.09813018252000001,0.21090567537000005,,,
2011,TP,ST,12,5,0.4166666666666667,False,0.19480309969,0.04919220806,0.37472348911000003,,,
2011,TSS,CT,12,10,0.8333333333333334,False,206.79542443433,148.20586863396002,263.2884962207217,,,
2011,TSS,MT,12,6,0.5,False,198.02410184672001,121.61438319368202,275.6434153624,,,
2011,TSS,ST,12,11,0.9166666666666666,False,248.97793151761002,95.85560926711275,476.02315467179045,,,
2012,NH4,CT,16,0,0.0,False,,,,,,
2012,NH4,MT,18,0,0.0,False,,,,,,
2012,NH4,ST,16,0,0.0,False,,,,,,
2012,NO2,CT,16,0,0.0,False,,,,,,
2012,NO2,MT,18,0,0.0,False,,,,,,
2012,NO2,ST,16,0,0.0,False,,,,,,
2012,NO3,CT,20,12,0.6,False,0.761620846,0.41898979635000005,1.10512858705,,,
2012,NO3,MT,18,7,0.3888888888888889,False,1.550718656,0.9422436588499999,2.5938672334,,,
2012,NO3,ST,17,6,0.35294117647058826,False,0.7563666870000001,0.44408994500000004,1.006772245,,,
2012,OP,CT,16,8,0.5,False,0.022802292999999998,0.012160856675000001,0.03467407759999999,,,
2012,OP,MT,18,7,0.3888888888888889,False,0.040323485,0.014248902400000001,0.08415064659999999,,,
2012,OP,ST,16,5,0.3125,False,0.013638692000000001,0.009362854625000003,0.018468823,,,
2012,Se,CT,16,0,0.0,False,,,,,,
2012,Se,MT,18,0,0.0,False,,,,,,
2012,Se,ST,16,0,0.0,False,,,,,,
2012,TDS,CT,16,0,0.0,False,,,,,,
2012,TDS,MT,18,0,0.0,False,,,,,,
2012,TDS,ST,16,0,0.0,False,,,,,,
2012,TKN,CT,16,0,0.0,False,,,,,,
2012,TKN,MT,18,0,0.0,False,,,,,,
2012,TKN,ST,16,0,0.0,False,,,,,,
2012,TN,CT,18,10,0.5555555555555556,False,0.26660769700000003,0.142725927,0.415222392625,,,
2012,TN,MT,18,7,0.3888888888888889,False,0.470782506,0.14698398835000007,0.9662024013999998,,,
2012,TN,ST,16,5,0.3125,False,0.19146190100000002,0.08467681900000001,0.30453930060000006,,,
2012,TP,CT,18,10,0.5555555555555556,False,0.22015028,0.13365807007500002,0.32487799612499996,,,
2012,TP,MT,18,7,0.3888888888888889,False,0.26110265,0.172142922,0.36664415159999997,,,
2012,TP,ST,16,5,0.3125,False,0.211983809,0.090491884,0.409710917,,,
2012,TSS,CT,20,14,0.7,False,143.88217817999998,94.7423568345,188.359950207,,,
2012,TSS,MT,20,13,0.65,False,141.17907876,90.305058744,204.7855966365,,,
2012,TSS,ST,20,14,0.7,False,129.553959147,80.6353310325,174.55764487867495,,,
2013,NH4,CT,14,0,0.0,False,,,,,,
2013,NH4,MT,14,0,0.0,False,,,,,,
2013,NH4,ST,14,0,0.0,False,,,,,,
2013,NO2,CT,14,0,0.0,False,,,,,,
2013,NO2,MT,14,0,0.0,False,,,,,,
2013,NO2,ST,14,0,0.0,False,,,,,,
2013,NO3,CT,14,5,0.35714285714285715,False,0.687881489,0.4275541622500001,0.967478531,,,
2013,NO3,MT,14,4,0.2857142857142857,False,0.918130912,0.823351142,1.012910682,,,
2013,NO3,ST,14,6,0.42857142857142855,False,0.958212318,0.5483440790250003,1.429318031925,,,
2013,OP,CT,14,0,0.0,False,,,,,,
2013,OP,MT,14,0,0.0,False,,,,,,
2013,OP,ST,14,0,0.0,False,,,,,,
2013,Se,CT,14,0,0.0,False,,,,,,
2013,Se,MT,14,0,0.0,False,,,,,,
2013,Se,ST,14,0,0.0,False,,,,,,
2013,TDS,CT,14,0,0.0,False,,,,,,
2013,TDS,MT,14,0,0.0,False,,,,,,
2013,TDS,ST,14,0,0.0,False,,,,,,
2013,TKN,CT,14,5,0.35714285714285715,False,0.372557196,0.254520587,0.490593805,,,
2013,TKN,MT,14,4,0.2857142857142857,False,0.41587005099999996,0.270076904,0.6261156149999999,,,
2013,TKN,ST,14,6,0.42857142857142855,False,0.390130206,0.241079023,0.5571583953249999,,,
2013,TN,CT,14,0,0.0,False,,,,,,
2013,TN,MT,14,0,0.0,False,,,,,,
2013,TN,ST,14,0,0.0,False,,,,,,
2013,TP,CT,14,5,0.35714285714285715,False,0.074035476,0.015977452,0.155018067,,,
2013,TP,MT,14,4,0.2857142857142857,False,0.064156099,0.029523076,0.08776634300000001,,,
2013,TP,ST,14,6,0.42857142857142855,False,0.023151475,0.010606484999999999,0.04102522775,,,
2013,TSS,CT,14,5,0.35714285714285715,False,150.57280213399997,53.88097052260003,252.12501753400002,,,
2013,TSS,MT,14,4,0.2857142857142857,False,121.265288232,90.951380321,169.85476864999998,,,
2013,TSS,ST,14,6,0.42857142857142855,False,39.626853475000004,18.646505362500005,62.961147925,,,
2014,NH4,CT,10,0,0.0,False,,,,,,
2014,NH4,MT,8,0,0.0,False,,,,,,
2014,NH4,ST,10,0,0.0,False,,,,,,
2014,NO2,CT,10,0,0.0,False,,,,,,
2014,NO2,MT,8,0,0.0,False,,,,,,
2014,NO2,ST,10,0,0.0,False,,,,,,
2014,NO3,CT,10,6,0.6,False,2.264795028975,1.4185246942700007,3.1542101597750003,,,
2014,NO3,MT,8,1,0.125,False,0.05474769270000001,0.05474769270000001,0.05474769270000001,,,
2014,NO3,ST,10,6,0.6,False,0.9245495461650001,0.5139013935800004,1.3669933683999997,,,
2014,OP,CT,10,6,0.6,False,0.033633290735,0.01674560167125,0.05100096604237497,,,
2014,OP,MT,10,3,0.3,False,0.0040846654,0.0,0.012253996199999999,,,
2014,OP,ST,10,6,0.6,False,0.010780427345,0.0053283709200000005,0.017308156744999997,,,
2014,Se,CT,10,0,0.0,False,,,,,,
2014,Se,MT,8,0,0.0,False,,,,,,
2014,Se,ST,10,0,0.0,False,,,,,,
2014,TDS,CT,10,0,0.0,False,,,,,,
2014,TDS,MT,8,0,0.0,False,,,,,,
2014,TDS,ST,10,0,0.0,False,,,,,,
2014,TKN,CT,10,6,0.6,False,1.2222297479,0.7972593759375001,1.6156607557174998,,,
2014,TKN,MT,8,1,0.125,False,0.0321502696,0.0321502696,0.0321502696,,,
2014,TKN,ST,10,6,0.6,False,0.5059604577,0.2491433625,0.8742272017949998,,,
2014,TN,CT,10,6,0.6,False,1.6175756949900002,0.8465677314810005,2.6405697141560003,,,
2014,TN,MT,10,3,0.3,False,0.0328749683,0.0,0.0986249049,,,
2014,TN,ST,10,6,0.6,False,0.52336885487,0.27276895085400005,0.8949783831424996,,,
2014,TP,CT,10,6,0.6,False,0.31647192946,0.14886290313250003,0.4991057209539998,,,
2014,TP,MT,10,3,0.3,False,0.0055340628000000005,0.0,0.0166021884,,,
2014,TP,ST,10,6,0.6,False,0.111328848035,0.03262627737,0.214312748035,,,
2014,TSS,CT,10,6,0.6,False,309.48880700401,104.54262341136626,594.6628315659179,,,
2014,TSS,MT,10,3,0.3,False,1.7129242,0.0,5.1387726,,,
2014,TSS,ST,10,6,0.6,False,94.73787617242999,36.90010644272,165.74338488583794,,,
2015,NH4,CT,12,10,0.8333333333333334,False,0.01733020038,0.008107853130125003,0.02724662579325,,,
2015,NH4,MT,12,10,0.8333333333333334,False,0.009523404805,0.003146816225625002,0.016458770406999997,,,
2015,NH4,ST,12,10,0.8333333333333334,False,0.006755432145,0.0027239303106250017,0.011254374538749997,,,
2015,NO2,CT,12,0,0.0,False,,,,,,
2015,NO2,MT,12,0,0.0,False,,,,,,
2015,NO2,ST,12,0,0.0,False,,,,,,
2015,NO3,CT,12,10,0.8333333333333334,False,1.7564710770649998,1.4184560313085002,2.010794019986,,,
2015,NO3,MT,12,10,0.8333333333333334,False,0.766449248205,0.5021692632718749,1.094427704092625,,,
2015,NO3,ST,12,10,0.8333333333333334,False,0.6355503001049999,0.417458383930625,0.8706868517082499,,,
2015,OP,CT,12,10,0.8333333333333334,False,0.01295012927,0.008675380073250001,0.018066359367250002,,,
2015,OP,MT,12,10,0.8333333333333334,False,0.00431950841,0.0020872924082500004,0.006878574939,,,
2015,OP,ST,12,10,0.8333333333333334,False,0.005015309065,0.00304650297875,0.006910950708374999,,,
2015,Se,CT,12,0,0.0,False,,,,,,
2015,Se,MT,12,0,0.0,False,,,,,,
2015,Se,ST,12,0,0.0,False,,,,,,
2015,TDS,CT,12,0,0.0,False,,,,,,
2015,TDS,MT,12,0,0.0,False,,,,,,
2015,TDS,ST,12,0,0.0,False,,,,,,
2015,TKN,CT,12,12,1.0,True,0.31612792589,0.21580720875475004,0.43055833271749994,0.31612792589,0.21580720875475004,0.43055833271749994
2015,TKN,MT,12,12,1.0,True,0.06636010742000001,0.03658940392500001,0.095599706955,0.06636010742000001,0.03658940392500001,0.095599706955
2015,TKN,ST,12,12,1.0,True,0.047669552909999996,0.0331186334795,0.061463219639499994,0.047669552909999996,0.0331186334795,0.061463219639499994
2015,TN,CT,12,10,0.8333333333333334,False,1.94444139228,1.5285016913120004,2.2141993816750003,,,
2015,TN,MT,12,10,0.8333333333333334,False,0.8517192757149998,0.5189916615105001,1.2296166411332499,,,
2015,TN,ST,12,10,0.8333333333333334,False,0.70910025246,0.512881835533625,0.9511504135048751,,,
2015,TP,CT,12,12,1.0,True,0.34162265682,0.19287718756925012,0.5115277809875,0.34162265682,0.19287718756925012,0.5115277809875
