Year,Analyte,Treatment,n_expected_physical_events,n_observed_event_loads,observed_event_fraction,ObservedAnnualLoadComplete,ObservedAnnualLoad_kg,ObservedAnnualLoadLower95_kg,ObservedAnnualLoadUpper95_kg
2011,NH4,CT,12,0,0.0,Incomplete,-,-,-
2011,NH4,MT,12,0,0.0,Incomplete,-,-,-
2011,NH4,ST,12,0,0.0,Incomplete,-,-,-
2011,NO2,CT,12,0,0.0,Incomplete,-,-,-
2011,NO2,MT,12,0,0.0,Incomplete,-,-,-
2011,NO2,ST,12,0,0.0,Incomplete,-,-,-
2011,NO3,CT,12,6,0.5,Incomplete,-,-,-
2011,NO3,MT,12,3,0.25,Incomplete,-,-,-
2011,NO3,ST,12,5,0.4166666666666667,Incomplete,-,-,-
2011,OP,CT,12,6,0.5,Incomplete,-,-,-
2011,OP,MT,12,3,0.25,Incomplete,-,-,-
2011,OP,ST,12,5,0.4166666666666667,Incomplete,-,-,-
2011,Se,CT,12,0,0.0,Incomplete,-,-,-
2011,Se,MT,12,0,0.0,Incomplete,-,-,-
2011,Se,ST,12,0,0.0,Incomplete,-,-,-
2011,TDS,CT,12,0,0.0,Incomplete,-,-,-
2011,TDS,MT,12,0,0.0,Incomplete,-,-,-
2011,TDS,ST,12,0,0.0,Incomplete,-,-,-
2011,TKN,CT,12,0,0.0,Incomplete,-,-,-
2011,TKN,MT,12,0,0.0,Incomplete,-,-,-
2011,TKN,ST,12,0,0.0,Incomplete,-,-,-
2011,TN,CT,12,6,0.5,Incomplete,-,-,-
2011,TN,MT,12,3,0.25,Incomplete,-,-,-
2011,TN,ST,12,5,0.4166666666666667,Incomplete,-,-,-
2011,TP,CT,12,6,0.5,Incomplete,-,-,-
2011,TP,MT,12,3,0.25,Incomplete,-,-,-
2011,TP,ST,12,5,0.4166666666666667,Incomplete,-,-,-
2011,TSS,CT,12,10,0.8333333333333334,Incomplete,-,-,-
2011,TSS,MT,12,6,0.5,Incomplete,-,-,-
2011,TSS,ST,12,11,0.9166666666666666,Incomplete,-,-,-
2012,NH4,CT,16,0,0.0,Incomplete,-,-,-
2012,NH4,MT,18,0,0.0,Incomplete,-,-,-
2012,NH4,ST,16,0,0.0,Incomplete,-,-,-
2012,NO2,CT,16,0,0.0,Incomplete,-,-,-
2012,NO2,MT,18,0,0.0,Incomplete,-,-,-
2012,NO2,ST,16,0,0.0,Incomplete,-,-,-
2012,NO3,CT,20,12,0.6,Incomplete,-,-,-
2012,NO3,MT,18,7,0.3888888888888889,Incomplete,-,-,-
2012,NO3,ST,17,6,0.35294117647058826,Incomplete,-,-,-
2012,OP,CT,16,8,0.5,Incomplete,-,-,-
2012,OP,MT,18,7,0.3888888888888889,Incomplete,-,-,-
2012,OP,ST,16,5,0.3125,Incomplete,-,-,-
2012,Se,CT,16,0,0.0,Incomplete,-,-,-
2012,Se,MT,18,0,0.0,Incomplete,-,-,-
2012,Se,ST,16,0,0.0,Incomplete,-,-,-
2012,TDS,CT,16,0,0.0,Incomplete,-,-,-
2012,TDS,MT,18,0,0.0,Incomplete,-,-,-
2012,TDS,ST,16,0,0.0,Incomplete,-,-,-
2012,TKN,CT,16,0,0.0,Incomplete,-,-,-
2012,TKN,MT,18,0,0.0,Incomplete,-,-,-
2012,TKN,ST,16,0,0.0,Incomplete,-,-,-
2012,TN,CT,18,10,0.5555555555555556,Incomplete,-,-,-
2012,TN,MT,18,7,0.3888888888888889,Incomplete,-,-,-
2012,TN,ST,16,5,0.3125,Incomplete,-,-,-
2012,TP,CT,18,10,0.5555555555555556,Incomplete,-,-,-
2012,TP,MT,18,7,0.3888888888888889,Incomplete,-,-,-
2012,TP,ST,16,5,0.3125,Incomplete,-,-,-
2012,TSS,CT,20,14,0.7,Incomplete,-,-,-
2012,TSS,MT,20,13,0.65,Incomplete,-,-,-
2012,TSS,ST,20,14,0.7,Incomplete,-,-,-
2013,NH4,CT,14,0,0.0,Incomplete,-,-,-
2013,NH4,MT,14,0,0.0,Incomplete,-,-,-
2013,NH4,ST,14,0,0.0,Incomplete,-,-,-
2013,NO2,CT,14,0,0.0,Incomplete,-,-,-
2013,NO2,MT,14,0,0.0,Incomplete,-,-,-
2013,NO2,ST,14,0,0.0,Incomplete,-,-,-
2013,NO3,CT,14,5,0.35714285714285715,Incomplete,-,-,-
2013,NO3,MT,14,4,0.2857142857142857,Incomplete,-,-,-
2013,NO3,ST,14,6,0.42857142857142855,Incomplete,-,-,-
2013,OP,CT,14,0,0.0,Incomplete,-,-,-
2013,OP,MT,14,0,0.0,Incomplete,-,-,-
2013,OP,ST,14,0,0.0,Incomplete,-,-,-
2013,Se,CT,14,0,0.0,Incomplete,-,-,-
2013,Se,MT,14,0,0.0,Incomplete,-,-,-
2013,Se,ST,14,0,0.0,Incomplete,-,-,-
2013,TDS,CT,14,0,0.0,Incomplete,-,-,-
2013,TDS,MT,14,0,0.0,Incomplete,-,-,-
2013,TDS,ST,14,0,0.0,Incomplete,-,-,-
2013,TKN,CT,14,5,0.35714285714285715,Incomplete,-,-,-
2013,TKN,MT,14,4,0.2857142857142857,Incomplete,-,-,-
2013,TKN,ST,14,6,0.42857142857142855,Incomplete,-,-,-
2013,TN,CT,14,0,0.0,Incomplete,-,-,-
2013,TN,MT,14,0,0.0,Incomplete,-,-,-
2013,TN,ST,14,0,0.0,Incomplete,-,-,-
2013,TP,CT,14,5,0.35714285714285715,Incomplete,-,-,-
2013,TP,MT,14,4,0.2857142857142857,Incomplete,-,-,-
2013,TP,ST,14,6,0.42857142857142855,Incomplete,-,-,-
2013,TSS,CT,14,5,0.35714285714285715,Incomplete,-,-,-
2013,TSS,MT,14,4,0.2857142857142857,Incomplete,-,-,-
2013,TSS,ST,14,6,0.42857142857142855,Incomplete,-,-,-
2014,NH4,CT,10,0,0.0,Incomplete,-,-,-
2014,NH4,MT,8,0,0.0,Incomplete,-,-,-
2014,NH4,ST,10,0,0.0,Incomplete,-,-,-
2014,NO2,CT,10,0,0.0,Incomplete,-,-,-
2014,NO2,MT,8,0,0.0,Incomplete,-,-,-
2014,NO2,ST,10,0,0.0,Incomplete,-,-,-
2014,NO3,CT,10,6,0.6,Incomplete,-,-,-
2014,NO3,MT,8,1,0.125,Incomplete,-,-,-
2014,NO3,ST,10,6,0.6,Incomplete,-,-,-
2014,OP,CT,10,6,0.6,Incomplete,-,-,-
2014,OP,MT,10,3,0.3,Incomplete,-,-,-
2014,OP,ST,10,6,0.6,Incomplete,-,-,-
2014,Se,CT,10,0,0.0,Incomplete,-,-,-
2014,Se,MT,8,0,0.0,Incomplete,-,-,-
2014,Se,ST,10,0,0.0,Incomplete,-,-,-
2014,TDS,CT,10,0,0.0,Incomplete,-,-,-
2014,TDS,MT,8,0,0.0,Incomplete,-,-,-
2014,TDS,ST,10,0,0.0,Incomplete,-,-,-
2014,TKN,CT,10,6,0.6,Incomplete,-,-,-
2014,TKN,MT,8,1,0.125,Incomplete,-,-,-
2014,TKN,ST,10,6,0.6,Incomplete,-,-,-
2014,TN,CT,10,6,0.6,Incomplete,-,-,-
2014,TN,MT,10,3,0.3,Incomplete,-,-,-
2014,TN,ST,10,6,0.6,Incomplete,-,-,-
2014,TP,CT,10,6,0.6,Incomplete,-,-,-
2014,TP,MT,10,3,0.3,Incomplete,-,-,-
2014,TP,ST,10,6,0.6,Incomplete,-,-,-
2014,TSS,CT,10,6,0.6,Incomplete,-,-,-
2014,TSS,MT,10,3,0.3,Incomplete,-,-,-
2014,TSS,ST,10,6,0.6,Incomplete,-,-,-
2015,NH4,CT,12,10,0.8333333333333334,Incomplete,-,-,-
2015,NH4,MT,12,10,0.8333333333333334,Incomplete,-,-,-
2015,NH4,ST,12,10,0.8333333333333334,Incomplete,-,-,-
2015,NO2,CT,12,0,0.0,Incomplete,-,-,-
2015,NO2,MT,12,0,0.0,Incomplete,-,-,-
2015,NO2,ST,12,0,0.0,Incomplete,-,-,-
2015,NO3,CT,12,10,0.8333333333333334,Incomplete,-,-,-
2015,NO3,MT,12,10,0.8333333333333334,Incomplete,-,-,-
2015,NO3,ST,12,10,0.8333333333333334,Incomplete,-,-,-
2015,OP,CT,12,10,0.8333333333333334,Incomplete,-,-,-
2015,OP,MT,12,10,0.8333333333333334,Incomplete,-,-,-
2015,OP,ST,12,10,0.8333333333333334,Incomplete,-,-,-
2015,Se,CT,12,0,0.0,Incomplete,-,-,-
2015,Se,MT,12,0,0.0,Incomplete,-,-,-
2015,Se,ST,12,0,0.0,Incomplete,-,-,-
2015,TDS,CT,12,0,0.0,Incomplete,-,-,-
2015,TDS,MT,12,0,0.0,Incomplete,-,-,-
2015,TDS,ST,12,0,0.0,Incomplete,-,-,-
2015,TKN,CT,12,12,1.0,Complete,0.3161,0.2158,0.4306
2015,TKN,MT,12,12,1.0,Complete,0.06636,0.03659,0.0956
2015,TKN,ST,12,12,1.0,Complete,0.04767,0.03312,0.06146
2015,TN,CT,12,10,0.8333333333333334,Incomplete,-,-,-
2015,TN,MT,12,10,0.8333333333333334,Incomplete,-,-,-
2015,TN,ST,12,10,0.8333333333333334,Incomplete,-,-,-
2015,TP,CT,12,12,1.0,Complete,0.3416,0.1929,0.5115
