Method,Target,Grouping,Analyte,Treatment,n,RMSE,NRMSE,Coverage
Bayes,Result_mg_L,analyte_treatment,NH4,CT,28,0.0976,0.841,85.7%
Bayes,Result_mg_L,analyte_treatment,NH4,MT,28,0.024,0.270,96.4%
Bayes,Result_mg_L,analyte_treatment,NH4,ST,26,0.0546,0.525,84.6%
Bayes,Result_mg_L,analyte_treatment,NO2,CT,138,0.267,0.860,95.7%
Bayes,Result_mg_L,analyte_treatment,NO2,MT,150,0.253,0.857,98.0%
Bayes,Result_mg_L,analyte_treatment,NO2,ST,145,0.198,0.664,95.9%
Bayes,Result_mg_L,analyte_treatment,NO3,CT,278,0.539,0.084,97.8%
Bayes,Result_mg_L,analyte_treatment,NO3,MT,267,0.627,0.099,97.0%
Bayes,Result_mg_L,analyte_treatment,NO3,ST,279,0.712,0.111,95.0%
Bayes,Result_mg_L,analyte_treatment,OP,CT,267,0.161,1.168,56.9%
Bayes,Result_mg_L,analyte_treatment,OP,MT,265,0.16,1.038,63.4%
Bayes,Result_mg_L,analyte_treatment,OP,ST,272,0.165,1.120,64.0%
Bayes,Result_mg_L,analyte_treatment,Se,CT,68,0.0023,0.322,60.3%
Bayes,Result_mg_L,analyte_treatment,Se,MT,74,0.000936,0.150,75.7%
Bayes,Result_mg_L,analyte_treatment,Se,ST,73,0.000803,0.127,80.8%
Bayes,Result_mg_L,analyte_treatment,TDS,CT,117,115,0.125,91.5%
Bayes,Result_mg_L,analyte_treatment,TDS,MT,124,80.7,0.085,93.5%
Bayes,Result_mg_L,analyte_treatment,TDS,ST,120,98.7,0.104,91.7%
Bayes,Result_mg_L,analyte_treatment,TKN,CT,241,1.4,0.671,73.0%
Bayes,Result_mg_L,analyte_treatment,TKN,MT,244,2.04,1.215,77.5%
Bayes,Result_mg_L,analyte_treatment,TKN,ST,247,2.14,1.262,81.4%
Bayes,Result_mg_L,analyte_treatment,TN,CT,63,3.21,0.474,82.5%
Bayes,Result_mg_L,analyte_treatment,TN,MT,50,1.34,0.219,86.0%
Bayes,Result_mg_L,analyte_treatment,TN,ST,59,1.72,0.276,86.4%
