Method,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage
Bayes,Result_mg_L,analyte_treatment,NH4,CT,28,0.0976460854952675,0.8412585827284584,0.8571428571428571
Bayes,Result_mg_L,analyte_treatment,NH4,MT,28,0.02403139909458477,0.26979918791033425,0.9642857142857143
Bayes,Result_mg_L,analyte_treatment,NH4,ST,26,0.05458420979806604,0.5254311198629088,0.8461538461538461
Bayes,Result_mg_L,analyte_treatment,NO2,CT,138,0.2671239419264659,0.8601018219242701,0.9565217391304348
Bayes,Result_mg_L,analyte_treatment,NO2,MT,150,0.25312833785808064,0.8565329846987775,0.98
Bayes,Result_mg_L,analyte_treatment,NO2,ST,145,0.19808819428272897,0.6640032404234159,0.9586206896551724
Bayes,Result_mg_L,analyte_treatment,NO3,CT,278,0.5391265364364056,0.08442909418365689,0.9784172661870504
Bayes,Result_mg_L,analyte_treatment,NO3,MT,267,0.6272570733152668,0.09884039634399648,0.9700374531835206
Bayes,Result_mg_L,analyte_treatment,NO3,ST,279,0.7115257125010702,0.11057188375540343,0.9498207885304659
Bayes,Result_mg_L,analyte_treatment,OP,CT,267,0.1608005287658984,1.167883716350984,0.5692883895131086
Bayes,Result_mg_L,analyte_treatment,OP,MT,265,0.15994063506275746,1.0376855990116471,0.6339622641509434
Bayes,Result_mg_L,analyte_treatment,OP,ST,272,0.16456244567440023,1.1203129905250253,0.6397058823529411
Bayes,Result_mg_L,analyte_treatment,Se,CT,68,0.002296882659470008,0.3215200725512795,0.6029411764705882
Bayes,Result_mg_L,analyte_treatment,Se,MT,74,0.0009362531266272186,0.15022274798441929,0.7567567567567568
Bayes,Result_mg_L,analyte_treatment,Se,ST,73,0.0008032752504445717,0.12711704591904124,0.8082191780821918
Bayes,Result_mg_L,analyte_treatment,TDS,CT,117,115.20771971796245,0.12548458551640887,0.9145299145299145
Bayes,Result_mg_L,analyte_treatment,TDS,MT,124,80.66067170855574,0.08493769567462305,0.9354838709677419
Bayes,Result_mg_L,analyte_treatment,TDS,ST,120,98.72768158017382,0.10350621867570206,0.9166666666666666
Bayes,Result_mg_L,analyte_treatment,TKN,CT,241,1.4047688120760478,0.6712932236227653,0.7302904564315352
Bayes,Result_mg_L,analyte_treatment,TKN,MT,244,2.036800934177041,1.2146839318751586,0.7745901639344263
Bayes,Result_mg_L,analyte_treatment,TKN,ST,247,2.1411739281589255,1.2617226158082249,0.8137651821862348
Bayes,Result_mg_L,analyte_treatment,TN,CT,63,3.213911529988442,0.47417256361507193,0.8253968253968254
Bayes,Result_mg_L,analyte_treatment,TN,MT,50,1.3394646627310987,0.21877025866547417,0.86
Bayes,Result_mg_L,analyte_treatment,TN,ST,59,1.72362934695265,0.2763022042151596,0.864406779661017
Bayes,Result_mg_L,analyte_treatment,TP,CT,270,1.0108693638988848,1.0225951212896731,0.7851851851851852
Bayes,Result_mg_L,analyte_treatment,TP,MT,265,3.33618392286446,2.4789179643483314,0.7584905660377359
Bayes,Result_mg_L,analyte_treatment,TP,ST,273,1.543283815458838,1.3482601999438788,0.7875457875457875
Bayes,Result_mg_L,analyte_treatment,TSS,CT,295,1348.650758411044,0.9437766088542663,0.7491525423728813
Bayes,Result_mg_L,analyte_treatment,TSS,MT,291,2610.5683297553082,2.0929392961754987,0.7663230240549829
Bayes,Result_mg_L,analyte_treatment,TSS,ST,299,1718.2668408315599,1.398246886586265,0.7525083612040134
Bayes,Volume_L,overall,all,all,370,18889.10584185018,0.651539067966479,0.45675675675675675
Bayes,Volume_L,treatment,all,CT,125,18748.0917451769,0.6053120599176174,0.544
Bayes,Volume_L,treatment,all,MT,107,19891.873056095134,0.693010190530205,0.4205607476635514
Bayes,Volume_L,treatment,all,ST,138,18205.856388208438,0.663955210107079,0.4057971014492754
ML,Result_mg_L,analyte_treatment,NH4,CT,28,0.42024571998852794,3.6205785106703945,1.0
ML,Result_mg_L,analyte_treatment,NH4,MT,28,0.2025355499185646,2.2738554120769088,1.0
ML,Result_mg_L,analyte_treatment,NH4,ST,26,0.1578893575169399,1.5198531267828352,1.0
ML,Result_mg_L,analyte_treatment,NO2,CT,140,0.3759390038738003,1.2181798528487915,0.9928571428571429
ML,Result_mg_L,analyte_treatment,NO2,MT,152,0.3479710098619131,1.1814334360609082,0.993421052631579
ML,Result_mg_L,analyte_treatment,NO2,ST,148,0.34063140630460664,1.155423728756,1.0
ML,Result_mg_L,analyte_treatment,NO3,CT,280,2.396836290145095,0.3769939990296593,0.8178571428571428
ML,Result_mg_L,analyte_treatment,NO3,MT,269,2.64483307588535,0.4174199112621452,0.8178438661710037
ML,Result_mg_L,analyte_treatment,NO3,ST,282,2.5366120652311586,0.39759936857365885,0.8085106382978723
ML,Result_mg_L,analyte_treatment,OP,CT,269,0.24606489264174872,1.7908459219347534,0.9962825278810409
ML,Result_mg_L,analyte_treatment,OP,MT,267,0.236372933156845,1.5356734835359667,0.9962546816479401
ML,Result_mg_L,analyte_treatment,OP,ST,275,0.24785616307588118,1.6904452976331767,1.0
ML,Result_mg_L,analyte_treatment,Se,CT,68,0.13952446655667333,19.53078291789247,1.0
ML,Result_mg_L,analyte_treatment,Se,MT,74,0.13106440942538863,21.029415215695522,1.0
ML,Result_mg_L,analyte_treatment,Se,ST,73,0.12245460267906713,19.37824841875551,1.0
ML,Result_mg_L,analyte_treatment,TDS,CT,119,578.9715851734098,0.639456662418657,0.5882352941176471
ML,Result_mg_L,analyte_treatment,TDS,MT,126,644.0873672378493,0.686311889181796,0.3253968253968254
ML,Result_mg_L,analyte_treatment,TDS,ST,123,649.8656997117577,0.6950616603584824,0.3821138211382114
ML,Result_mg_L,analyte_treatment,TKN,CT,243,3.482955834947477,1.4944771330408686,0.8148148148148148
ML,Result_mg_L,analyte_treatment,TKN,MT,246,3.9136591395774722,2.0565514134272185,0.7398373983739838
ML,Result_mg_L,analyte_treatment,TKN,ST,250,4.725429289659125,2.2667625846224926,0.796
ML,Result_mg_L,analyte_treatment,TN,CT,63,4.543556724127638,0.6703451292008178,0.873015873015873
ML,Result_mg_L,analyte_treatment,TN,MT,50,3.2833086666826916,0.536251762569241,0.88
ML,Result_mg_L,analyte_treatment,TN,ST,59,3.9089033277966987,0.6266072270373512,0.847457627118644
ML,Result_mg_L,analyte_treatment,TP,CT,272,1.1633829058733798,1.1717228153236245,0.9632352941176471
ML,Result_mg_L,analyte_treatment,TP,MT,267,4.03647420137246,3.0113430879241747,0.9363295880149812
ML,Result_mg_L,analyte_treatment,TP,ST,276,2.114595810553477,1.8648480609936622,0.9130434782608695
ML,Result_mg_L,analyte_treatment,TSS,CT,297,1744.8598605902528,1.20968176876602,0.4781144781144781
ML,Result_mg_L,analyte_treatment,TSS,MT,294,3150.6641038596777,2.532794991435674,0.6190476190476191
ML,Result_mg_L,analyte_treatment,TSS,ST,303,2286.9210291915415,1.8411411801361426,0.47194719471947194
ML,Volume_L,overall,all,all,372,27042.295340533503,0.9375816576639232,0.8763440860215054
ML,Volume_L,treatment,all,CT,125,25783.50749988539,0.832461684569685,0.888
ML,Volume_L,treatment,all,MT,108,28723.099650741016,1.0092108538450408,0.8796296296296297
ML,Volume_L,treatment,all,ST,139,26800.335538581126,0.9844498172015633,0.8633093525179856
