Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE,NRMSE,Coverage
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.0663,0.644,89.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,433,0.241,0.800,96.5%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,824,0.63,0.099,96.6%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,804,0.162,1.107,61.4%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.00148,0.226,72.6%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,361,98.9,0.105,92.2%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,732,1.89,1.039,77.3%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.31,0.360,84.9%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,808,2.19,1.891,77.7%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,885,1.96e+03,1.506,75.6%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,CT,28,0.0976,0.841,85.7%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,MT,28,0.024,0.270,96.4%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,ST,26,0.0546,0.525,84.6%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,CT,138,0.267,0.860,95.7%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,MT,150,0.253,0.857,98.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,ST,145,0.198,0.664,95.9%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,CT,278,0.539,0.084,97.8%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,MT,267,0.627,0.099,97.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,ST,279,0.712,0.111,95.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,CT,267,0.161,1.168,56.9%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,MT,265,0.16,1.038,63.4%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,ST,272,0.165,1.120,64.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,CT,68,0.0023,0.322,60.3%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,MT,74,0.000936,0.150,75.7%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,ST,73,0.000803,0.127,80.8%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,CT,117,115,0.125,91.5%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,MT,124,80.7,0.085,93.5%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,ST,120,98.7,0.104,91.7%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,CT,241,1.4,0.671,73.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,MT,244,2.04,1.215,77.5%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,ST,247,2.14,1.262,81.4%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,CT,63,3.21,0.474,82.5%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,MT,50,1.34,0.219,86.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,ST,59,1.72,0.276,86.4%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TP,CT,270,1.01,1.023,78.5%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TP,MT,265,3.34,2.479,75.8%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TP,ST,273,1.54,1.348,78.8%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TSS,CT,295,1.35e+03,0.944,74.9%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TSS,MT,291,2.61e+03,2.093,76.6%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TSS,ST,299,1.72e+03,1.398,75.3%
Bayes,posterior_predictive_fit,Volume_L,overall,all,all,370,1.89e+04,0.652,45.7%
Bayes,posterior_predictive_fit,Volume_L,treatment,all,CT,125,1.87e+04,0.605,54.4%
Bayes,posterior_predictive_fit,Volume_L,treatment,all,MT,107,1.99e+04,0.693,42.1%
Bayes,posterior_predictive_fit,Volume_L,treatment,all,ST,138,1.82e+04,0.664,40.6%
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.0684,0.629,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.158,0.569,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,357,1.01,0.144,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,336,0.0951,0.788,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,102,0.0308,4.660,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,147,0.167,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,314,1.41,0.555,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.15,0.202,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,362,0.667,0.775,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,401,598,0.613,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,CT,14,0.101,0.872,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,MT,14,0.0414,0.465,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,ST,14,0.0456,0.377,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,CT,42,0.131,0.463,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,MT,43,0.126,0.451,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,ST,44,0.203,0.750,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,CT,122,0.703,0.101,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,MT,116,1.37,0.192,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,ST,119,0.84,0.121,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,CT,112,0.098,0.870,NA
