Method,Scenario,Year,Analyte,Treatment,PointTotal_kg,n_replicate_plots,n_physical_events,annual_reporting_unit
ML,full_record_model_only,2011,NH4,CT,0.035480882686679205,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,NH4,MT,0.04190559526909235,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,NH4,ST,0.0329249360574186,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,NO2,CT,0.0497722885331758,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,NO2,MT,0.05805615586387815,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,NO2,ST,0.0492308961485759,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,NO3,CT,0.6615138008855955,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,NO3,MT,0.7637481066197305,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,NO3,ST,0.7347469017722332,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,OP,CT,0.021663764318775848,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,OP,MT,0.0286223737229669,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,OP,ST,0.01891136559307855,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,Se,CT,0.030309775910993597,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,Se,MT,0.03578120777989535,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,Se,ST,0.0302574859968406,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TDS,CT,0.19808698258874013,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TDS,MT,0.20130892341140638,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TDS,ST,0.22364390225996805,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TKN,CT,0.4177832972804164,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TKN,MT,0.4083079775368066,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TKN,ST,0.41079336290366425,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TN,CT,0.40794801160474575,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TN,MT,0.4518237418281586,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TN,ST,0.3796928938283237,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TP,CT,0.1475680095519759,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TP,MT,0.13757670835083402,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TP,ST,0.14572199051832666,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TSS,CT,119.32862119119963,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TSS,MT,121.74895911977619,2,12,mean_per_treatment_plot
ML,full_record_model_only,2011,TSS,ST,108.24161636803152,2,12,mean_per_treatment_plot
ML,full_record_model_only,2012,NH4,CT,0.0347769343861676,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,NH4,MT,0.05410345466191839,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,NH4,ST,0.04127358935974655,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,NO2,CT,0.03756163520489535,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,NO2,MT,0.07169488673340746,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,NO2,ST,0.0516408064237167,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,NO3,CT,0.6326579153207827,2,20,mean_per_treatment_plot
ML,full_record_model_only,2012,NO3,MT,0.9396313508921965,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,NO3,ST,0.6459810506980093,2,17,mean_per_treatment_plot
ML,full_record_model_only,2012,OP,CT,0.0239300269628792,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,OP,MT,0.03911813072541276,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,OP,ST,0.029880854735669198,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,Se,CT,0.02499779822385925,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,Se,MT,0.04803744843629318,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,Se,ST,0.0360889955533752,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,TDS,CT,0.16827864047133484,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,TDS,MT,0.21482485853216826,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,TDS,ST,0.1745028157128249,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,TKN,CT,0.33595500819950314,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,TKN,MT,0.47316775575949066,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,TKN,ST,0.37251566882884646,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,TN,CT,0.23880577716119458,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,TN,MT,0.2863573198252517,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,TN,ST,0.23257823231787944,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,TP,CT,0.12512734108957088,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,TP,MT,0.1818868944208772,2,18,mean_per_treatment_plot
ML,full_record_model_only,2012,TP,ST,0.14768336598206772,2,16,mean_per_treatment_plot
ML,full_record_model_only,2012,TSS,CT,100.02852678469412,2,20,mean_per_treatment_plot
ML,full_record_model_only,2012,TSS,MT,108.96820678004332,2,20,mean_per_treatment_plot
ML,full_record_model_only,2012,TSS,ST,85.7743604925353,2,20,mean_per_treatment_plot
ML,full_record_model_only,2013,NH4,CT,0.029937029460100552,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,NH4,MT,0.0402531032169403,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,NH4,ST,0.0258595586717474,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,NO2,CT,0.029398331792759698,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,NO2,MT,0.044684484580140446,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,NO2,ST,0.03036278960319995,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,NO3,CT,0.6090745413604423,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,NO3,MT,0.8578221950134675,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,NO3,ST,0.6479674795464574,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,OP,CT,0.01211703778847175,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,OP,MT,0.011572444722730599,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,OP,ST,0.007366510615853701,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,Se,CT,0.01880859090341405,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,Se,MT,0.02523875396700245,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,Se,ST,0.016157523689671,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TDS,CT,0.17755858030885735,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TDS,MT,0.2371928650170741,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TDS,ST,0.16498274894923054,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TKN,CT,0.41700601419669586,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TKN,MT,0.585083079748094,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TKN,ST,0.4223365084284811,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TN,CT,0.2887064324479438,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TN,MT,0.3687761811243313,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TN,ST,0.24067132435789876,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TP,CT,0.052305017337267154,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TP,MT,0.06285514237503995,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TP,ST,0.0424018693206219,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TSS,CT,93.12511496336944,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TSS,MT,121.26898731635316,2,14,mean_per_treatment_plot
ML,full_record_model_only,2013,TSS,ST,60.909018161149476,2,14,mean_per_treatment_plot
ML,full_record_model_only,2014,NH4,CT,0.0289697280175379,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,NH4,MT,0.020924061687770702,2,8,mean_per_treatment_plot
ML,full_record_model_only,2014,NH4,ST,0.015373145049395751,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,NO2,CT,0.0276455524702071,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,NO2,MT,0.02114504252510535,2,8,mean_per_treatment_plot
ML,full_record_model_only,2014,NO2,ST,0.0168058547681901,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,NO3,CT,0.5839748765763579,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,NO3,MT,0.32155491882765264,2,8,mean_per_treatment_plot
ML,full_record_model_only,2014,NO3,ST,0.3684771179374656,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,OP,CT,0.016794494187323,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,OP,MT,0.014086571533528252,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,OP,ST,0.012262075759466098,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,Se,CT,0.0201730877753604,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,Se,MT,0.01695277674238795,2,8,mean_per_treatment_plot
ML,full_record_model_only,2014,Se,ST,0.012316451150976852,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TDS,CT,0.23512636050400676,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TDS,MT,0.12797902954346374,2,8,mean_per_treatment_plot
ML,full_record_model_only,2014,TDS,ST,0.1452255548045582,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TKN,CT,0.36141193438080665,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TKN,MT,0.20808437880829078,2,8,mean_per_treatment_plot
ML,full_record_model_only,2014,TKN,ST,0.22856013966269728,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TN,CT,0.3738244342280441,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TN,MT,0.19543741800746725,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TN,ST,0.22464564638202256,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TP,CT,0.08371510034187395,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TP,MT,0.04575333461564434,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TP,ST,0.046842539170042496,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TSS,CT,70.84779258748249,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TSS,MT,25.993045784282494,2,10,mean_per_treatment_plot
ML,full_record_model_only,2014,TSS,ST,27.915857551258995,2,10,mean_per_treatment_plot
ML,full_record_model_only,2015,NH4,CT,0.018161824709710297,2,12,mean_per_treatment_plot
ML,full_record_model_only,2015,NH4,MT,0.00403713693166345,2,12,mean_per_treatment_plot
