Method,Target,Year,n,Coverage
Bayes,Result_mg_L,2011,108,100.0%
Bayes,Result_mg_L,2012,163,95.7%
Bayes,Result_mg_L,2013,72,98.6%
Bayes,Result_mg_L,2014,224,87.5%
Bayes,Result_mg_L,2015,372,97.8%
Bayes,Result_mg_L,2016,168,98.8%
Bayes,Result_mg_L,2017,324,90.1%
Bayes,Result_mg_L,2018,0,NA
Bayes,Result_mg_L,2019,0,NA
Bayes,Result_mg_L,2020,246,99.6%
Bayes,Result_mg_L,2021,539,93.7%
Bayes,Result_mg_L,2022,574,94.6%
Bayes,Result_mg_L,2023,928,94.5%
Bayes,Result_mg_L,2024,646,92.4%
Bayes,Result_mg_L,2025,1003,92.2%
Bayes,Volume_L,2011,27,100.0%
Bayes,Volume_L,2012,49,100.0%
Bayes,Volume_L,2013,32,100.0%
Bayes,Volume_L,2014,23,95.7%
Bayes,Volume_L,2015,36,100.0%
Bayes,Volume_L,2016,12,91.7%
Bayes,Volume_L,2017,36,91.7%
Bayes,Volume_L,2018,0,NA
Bayes,Volume_L,2019,0,NA
Bayes,Volume_L,2020,9,88.9%
Bayes,Volume_L,2021,18,100.0%
Bayes,Volume_L,2022,0,NA
Bayes,Volume_L,2023,30,86.7%
Bayes,Volume_L,2024,27,70.4%
Bayes,Volume_L,2025,73,74.0%
