Method,Target,Year,n,IntervalCoverage
Bayes,Result_mg_L,2011,108,1.0
Bayes,Result_mg_L,2012,163,0.9570552147239264
Bayes,Result_mg_L,2013,72,0.9861111111111112
Bayes,Result_mg_L,2014,224,0.875
Bayes,Result_mg_L,2015,372,0.978494623655914
Bayes,Result_mg_L,2016,168,0.9880952380952381
Bayes,Result_mg_L,2017,324,0.9012345679012346
Bayes,Result_mg_L,2018,0,
Bayes,Result_mg_L,2019,0,
Bayes,Result_mg_L,2020,246,0.9959349593495935
Bayes,Result_mg_L,2021,539,0.9369202226345084
Bayes,Result_mg_L,2022,574,0.945993031358885
Bayes,Result_mg_L,2023,928,0.9450431034482759
Bayes,Result_mg_L,2024,646,0.9241486068111455
Bayes,Result_mg_L,2025,1003,0.922233300099701
Bayes,Volume_L,2011,27,1.0
Bayes,Volume_L,2012,49,1.0
Bayes,Volume_L,2013,32,1.0
Bayes,Volume_L,2014,23,0.9565217391304348
Bayes,Volume_L,2015,36,1.0
Bayes,Volume_L,2016,12,0.9166666666666666
Bayes,Volume_L,2017,36,0.9166666666666666
Bayes,Volume_L,2018,0,
Bayes,Volume_L,2019,0,
Bayes,Volume_L,2020,9,0.8888888888888888
Bayes,Volume_L,2021,18,1.0
Bayes,Volume_L,2022,0,
Bayes,Volume_L,2023,30,0.8666666666666667
Bayes,Volume_L,2024,27,0.7037037037037037
Bayes,Volume_L,2025,73,0.7397260273972602
