Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws,n_annual_draws,n_negative_annual_draws,percent_negative_annual_draws,lower_95_display
BayesSensitivity,annual_draw_truncation_at_zero,NH4,CT,0.333784081261082,0.32592608240705656,0.1629578499881081,0.5645794390902692,1500,22500,0,0.0,0.1629578499881081
BayesSensitivity,annual_draw_truncation_at_zero,NH4,MT,0.2974241064321437,0.28757818149143066,0.13061321399596576,0.5155325184317444,1500,22500,0,0.0,0.13061321399596576
BayesSensitivity,annual_draw_truncation_at_zero,NH4,ST,0.2919846423441906,0.28500424779043193,0.13236063742626036,0.5074046241317154,1500,22500,0,0.0,0.13236063742626036
BayesSensitivity,annual_draw_truncation_at_zero,NO2,CT,1.0441974543789372,0.9515380791423058,0.41251536702798847,2.195347436336663,1500,22500,0,0.0,0.41251536702798847
BayesSensitivity,annual_draw_truncation_at_zero,NO2,MT,0.8199460262190499,0.7375972284288286,0.3253317837920675,1.7564063801079912,1500,22500,0,0.0,0.3253317837920675
BayesSensitivity,annual_draw_truncation_at_zero,NO2,ST,0.8000523617227672,0.7248084425370596,0.3127821325622231,1.7211289327779464,1500,22500,0,0.0,0.3127821325622231
BayesSensitivity,annual_draw_truncation_at_zero,NO3,CT,19.750255801676555,19.800743919402407,16.26585392282658,23.380595077359004,1500,22500,0,0.0,16.26585392282658
BayesSensitivity,annual_draw_truncation_at_zero,NO3,MT,17.920954468210397,17.86938491534682,14.800969375469908,21.34086148403351,1500,22500,0,0.0,14.800969375469908
BayesSensitivity,annual_draw_truncation_at_zero,NO3,ST,17.27037963722785,17.248734893015044,14.177703679432112,20.52159922534346,1500,22500,0,0.0,14.177703679432112
BayesSensitivity,annual_draw_truncation_at_zero,OP,CT,0.4501539993170371,0.44566755770244426,0.2978849319650924,0.6229310310252687,1500,22500,0,0.0,0.2978849319650924
BayesSensitivity,annual_draw_truncation_at_zero,OP,MT,0.4527486958442728,0.4492926420132979,0.3182015403247513,0.6105691539685211,1500,22500,0,0.0,0.3182015403247513
BayesSensitivity,annual_draw_truncation_at_zero,OP,ST,0.4355276138261179,0.43023628900902233,0.3028989258260686,0.5910914325489639,1500,22500,0,0.0,0.3028989258260686
BayesSensitivity,annual_draw_truncation_at_zero,Se,CT,0.01813890184400974,0.01802880298599572,0.01411659584018174,0.02250195677097123,1500,22500,0,0.0,0.01411659584018174
BayesSensitivity,annual_draw_truncation_at_zero,Se,MT,0.01457149103209477,0.014474908084426604,0.011126844689104243,0.018407574380015407,1500,22500,0,0.0,0.011126844689104243
BayesSensitivity,annual_draw_truncation_at_zero,Se,ST,0.0143640368803137,0.014295117293832548,0.010881401516996963,0.017918920182135558,1500,22500,0,0.0,0.010881401516996963
BayesSensitivity,annual_draw_truncation_at_zero,TDS,CT,2370.145223905133,2351.5063393261034,1723.3731467884152,3088.5013413454385,1500,22500,0,0.0,1723.3731467884152
BayesSensitivity,annual_draw_truncation_at_zero,TDS,MT,2227.297160621779,2210.3639808723547,1663.8146937609483,2845.3434918707253,1500,22500,0,0.0,1663.8146937609483
BayesSensitivity,annual_draw_truncation_at_zero,TDS,ST,2173.2427307991484,2162.865253683201,1629.942359462437,2787.575484091709,1500,22500,0,0.0,1629.942359462437
BayesSensitivity,annual_draw_truncation_at_zero,TKN,CT,9.421948561214686,9.27244859728879,6.436182858062343,13.037032830089606,1500,22500,0,0.0,6.436182858062343
BayesSensitivity,annual_draw_truncation_at_zero,TKN,MT,7.599902687677932,7.472688122763954,5.221719480779077,10.73245809820024,1500,22500,0,0.0,5.221719480779077
BayesSensitivity,annual_draw_truncation_at_zero,TKN,ST,7.664665255465115,7.545234962705038,5.223928916879913,10.831942967665436,1500,22500,0,0.0,5.223928916879913
BayesSensitivity,annual_draw_truncation_at_zero,TN,CT,16.342491803037266,16.110300661278014,8.858112324796542,25.190922675539163,1500,22500,0,0.0,8.858112324796542
BayesSensitivity,annual_draw_truncation_at_zero,TN,MT,14.077162508354368,13.852250652472854,7.020484643933846,22.503644996312243,1500,22500,0,0.0,7.020484643933846
BayesSensitivity,annual_draw_truncation_at_zero,TN,ST,13.769061787514618,13.609073090280244,6.713381219433144,22.114241751552747,1500,22500,0,0.0,6.713381219433144
BayesSensitivity,annual_draw_truncation_at_zero,TP,CT,1.804816751652043,1.67685135290815,0.482169442481247,3.9293087180009985,1500,22500,0,0.0,0.482169442481247
BayesSensitivity,annual_draw_truncation_at_zero,TP,MT,2.0221023067652166,1.9317418545852965,0.7853501588282137,3.873328489372134,1500,22500,0,0.0,0.7853501588282137
BayesSensitivity,annual_draw_truncation_at_zero,TP,ST,1.7551674783020166,1.6678734857462967,0.48522842375728,3.6895670952048443,1500,22500,0,0.0,0.48522842375728
BayesSensitivity,annual_draw_truncation_at_zero,TSS,CT,2404.9637298117605,2276.879510806221,956.0534451542869,4580.781849488357,1500,22500,0,0.0,956.0534451542869
BayesSensitivity,annual_draw_truncation_at_zero,TSS,MT,1929.6286513005955,1844.082253726385,802.7279596385252,3690.4831571557866,1500,22500,0,0.0,802.7279596385252
BayesSensitivity,annual_draw_truncation_at_zero,TSS,ST,1775.0968824303593,1685.553145735108,593.6011729370352,3528.976556961199,1500,22500,0,0.0,593.6011729370352
BayesSensitivity,raw_annual_draws_display_floor_only,NH4,CT,0.333784081261082,0.32592608240705656,0.1629578499881081,0.5645794390902692,1500,22500,0,0.0,0.1629578499881081
BayesSensitivity,raw_annual_draws_display_floor_only,NH4,MT,0.2974241064321437,0.28757818149143066,0.13061321399596576,0.5155325184317444,1500,22500,0,0.0,0.13061321399596576
BayesSensitivity,raw_annual_draws_display_floor_only,NH4,ST,0.2919846423441906,0.28500424779043193,0.13236063742626036,0.5074046241317154,1500,22500,0,0.0,0.13236063742626036
BayesSensitivity,raw_annual_draws_display_floor_only,NO2,CT,1.0441974543789372,0.9515380791423058,0.41251536702798847,2.195347436336663,1500,22500,0,0.0,0.41251536702798847
BayesSensitivity,raw_annual_draws_display_floor_only,NO2,MT,0.8199460262190499,0.7375972284288286,0.3253317837920675,1.7564063801079912,1500,22500,0,0.0,0.3253317837920675
BayesSensitivity,raw_annual_draws_display_floor_only,NO2,ST,0.8000523617227672,0.7248084425370596,0.3127821325622231,1.7211289327779464,1500,22500,0,0.0,0.3127821325622231
BayesSensitivity,raw_annual_draws_display_floor_only,NO3,CT,19.750255801676555,19.800743919402407,16.26585392282658,23.380595077359004,1500,22500,0,0.0,16.26585392282658
BayesSensitivity,raw_annual_draws_display_floor_only,NO3,MT,17.920954468210397,17.86938491534682,14.800969375469908,21.34086148403351,1500,22500,0,0.0,14.800969375469908
BayesSensitivity,raw_annual_draws_display_floor_only,NO3,ST,17.27037963722785,17.248734893015044,14.177703679432112,20.52159922534346,1500,22500,0,0.0,14.177703679432112
BayesSensitivity,raw_annual_draws_display_floor_only,OP,CT,0.4501539993170371,0.44566755770244426,0.2978849319650924,0.6229310310252687,1500,22500,0,0.0,0.2978849319650924
BayesSensitivity,raw_annual_draws_display_floor_only,OP,MT,0.4527486958442728,0.4492926420132979,0.3182015403247513,0.6105691539685211,1500,22500,0,0.0,0.3182015403247513
BayesSensitivity,raw_annual_draws_display_floor_only,OP,ST,0.4355276138261179,0.43023628900902233,0.3028989258260686,0.5910914325489639,1500,22500,0,0.0,0.3028989258260686
BayesSensitivity,raw_annual_draws_display_floor_only,Se,CT,0.01813890184400974,0.01802880298599572,0.01411659584018174,0.02250195677097123,1500,22500,0,0.0,0.01411659584018174
BayesSensitivity,raw_annual_draws_display_floor_only,Se,MT,0.01457149103209477,0.014474908084426604,0.011126844689104243,0.018407574380015407,1500,22500,0,0.0,0.011126844689104243
BayesSensitivity,raw_annual_draws_display_floor_only,Se,ST,0.0143640368803137,0.014295117293832548,0.010881401516996963,0.017918920182135558,1500,22500,0,0.0,0.010881401516996963
BayesSensitivity,raw_annual_draws_display_floor_only,TDS,CT,2370.145223905133,2351.5063393261034,1723.3731467884152,3088.5013413454385,1500,22500,0,0.0,1723.3731467884152
BayesSensitivity,raw_annual_draws_display_floor_only,TDS,MT,2227.297160621779,2210.3639808723547,1663.8146937609483,2845.3434918707253,1500,22500,0,0.0,1663.8146937609483
BayesSensitivity,raw_annual_draws_display_floor_only,TDS,ST,2173.2427307991484,2162.865253683201,1629.942359462437,2787.575484091709,1500,22500,0,0.0,1629.942359462437
BayesSensitivity,raw_annual_draws_display_floor_only,TKN,CT,9.421948561214686,9.27244859728879,6.436182858062343,13.037032830089606,1500,22500,0,0.0,6.436182858062343
BayesSensitivity,raw_annual_draws_display_floor_only,TKN,MT,7.599902687677932,7.472688122763954,5.221719480779077,10.73245809820024,1500,22500,0,0.0,5.221719480779077
BayesSensitivity,raw_annual_draws_display_floor_only,TKN,ST,7.664665255465115,7.545234962705038,5.223928916879913,10.831942967665436,1500,22500,0,0.0,5.223928916879913
BayesSensitivity,raw_annual_draws_display_floor_only,TN,CT,16.342491803037266,16.110300661278014,8.858112324796542,25.190922675539163,1500,22500,0,0.0,8.858112324796542
BayesSensitivity,raw_annual_draws_display_floor_only,TN,MT,14.077162508354368,13.852250652472854,7.020484643933846,22.503644996312243,1500,22500,0,0.0,7.020484643933846
BayesSensitivity,raw_annual_draws_display_floor_only,TN,ST,13.769061787514618,13.609073090280244,6.713381219433144,22.114241751552747,1500,22500,0,0.0,6.713381219433144
BayesSensitivity,raw_annual_draws_display_floor_only,TP,CT,1.804816751652043,1.67685135290815,0.482169442481247,3.9293087180009985,1500,22500,0,0.0,0.482169442481247
BayesSensitivity,raw_annual_draws_display_floor_only,TP,MT,2.0221023067652166,1.9317418545852965,0.7853501588282137,3.873328489372134,1500,22500,0,0.0,0.7853501588282137
BayesSensitivity,raw_annual_draws_display_floor_only,TP,ST,1.7551674783020166,1.6678734857462967,0.48522842375728,3.6895670952048443,1500,22500,0,0.0,0.48522842375728
BayesSensitivity,raw_annual_draws_display_floor_only,TSS,CT,2404.9637298117605,2276.879510806221,956.0534451542869,4580.781849488357,1500,22500,0,0.0,956.0534451542869
BayesSensitivity,raw_annual_draws_display_floor_only,TSS,MT,1929.6286513005955,1844.082253726385,802.7279596385252,3690.4831571557866,1500,22500,0,0.0,802.7279596385252
BayesSensitivity,raw_annual_draws_display_floor_only,TSS,ST,1775.0968824303593,1685.553145735108,593.6011729370352,3528.976556961199,1500,22500,0,0.0,593.6011729370352
