Year,Analyte,Treatment,Rep,ExpectedIrrigationLabels,MissingIrrigationLabels,n_expected_physical_events,n_observed_event_loads,ObservedIncompleteSubtotal_kg,PlotComplete,ObservedReplicateAnnualLoad_kg
2011,NH4,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO2,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO3,CT,1,1;2;3;4;5;6,3;5;6,6,3,0.4733,False,
2011,OP,CT,1,1;2;3;4;5;6,3;5;6,6,3,0.0123,False,
2011,Se,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TDS,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TKN,CT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TN,CT,1,1;2;3;4;5;6,3;5;6,6,3,0.3225,False,
2011,TP,CT,1,1;2;3;4;5;6,3;5;6,6,3,0.1498,False,
2011,TSS,CT,1,1;2;3;4;5;6,5;6,6,4,87.75,False,
2011,NH4,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO2,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO3,CT,2,1;2;3;4;5;6,3;5;6,6,3,0.1811,False,
2011,OP,CT,2,1;2;3;4;5;6,3;5;6,6,3,0.002568,False,
2011,Se,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TDS,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TKN,CT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TN,CT,2,1;2;3;4;5;6,3;5;6,6,3,0.1314,False,
2011,TP,CT,2,1;2;3;4;5;6,3;5;6,6,3,0.06674,False,
2011,TSS,CT,2,1;2;3;4;5;6,,6,6,119,True,119.04681057113001
2011,NH4,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO2,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO3,MT,1,1;2;3;4;5;6,3;4;5;6,6,2,0.3911,False,
2011,OP,MT,1,1;2;3;4;5;6,3;4;5;6,6,2,0.003488,False,
2011,Se,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TDS,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TKN,MT,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TN,MT,1,1;2;3;4;5;6,3;4;5;6,6,2,0.3765,False,
2011,TP,MT,1,1;2;3;4;5;6,3;4;5;6,6,2,0.08846,False,
2011,TSS,MT,1,1;2;3;4;5;6,4;5;6,6,3,79.16,False,
2011,NH4,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO2,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO3,MT,2,1;2;3;4;5;6,1;3;4;5;6,6,1,0.2677,False,
2011,OP,MT,2,1;2;3;4;5;6,1;3;4;5;6,6,1,0.008508,False,
2011,Se,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TDS,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TKN,MT,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TN,MT,2,1;2;3;4;5;6,1;3;4;5;6,6,1,0.1702,False,
2011,TP,MT,2,1;2;3;4;5;6,1;3;4;5;6,6,1,0.0703,False,
2011,TSS,MT,2,1;2;3;4;5;6,1;3;4,6,3,118.9,False,
2011,NH4,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO2,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO3,ST,1,1;2;3;4;5;6,2;3;5;6,6,2,0.4274,False,
2011,OP,ST,1,1;2;3;4;5;6,2;3;5;6,6,2,0.004112,False,
2011,Se,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TDS,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TKN,ST,1,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TN,ST,1,1;2;3;4;5;6,2;3;5;6,6,2,0.2149,False,
2011,TP,ST,1,1;2;3;4;5;6,2;3;5;6,6,2,0.112,False,
2011,TSS,ST,1,1;2;3;4;5;6,2,6,5,181.6,False,
2011,NH4,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO2,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,NO3,ST,2,1;2;3;4;5;6,3;5;6,6,3,0.5419,False,
2011,OP,ST,2,1;2;3;4;5;6,3;5;6,6,3,0.01495,False,
2011,Se,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TDS,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TKN,ST,2,1;2;3;4;5;6,1;2;3;4;5;6,6,0,-,False,
2011,TN,ST,2,1;2;3;4;5;6,3;5;6,6,3,0.2895,False,
2011,TP,ST,2,1;2;3;4;5;6,3;5;6,6,3,0.08283,False,
2011,TSS,ST,2,1;2;3;4;5;6,,6,6,67.33,True,67.3301241206
2012,NH4,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,NO2,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,NO3,CT,1,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.3522,False,
2012,OP,CT,1,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.01447,False,
2012,Se,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,TDS,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,TKN,CT,1,1;10;2;3;4;5;6;7;8;9,10;2;4;5;6;7;8;9,10,2,0,False,
2012,TN,CT,1,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.1096,False,
2012,TP,CT,1,1;10;2;3;4;5;6;7;8;9,10;6;8;9,10,6,0.08594,False,
