Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.0179724221941404,0.17451019774061724,1.0
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,440,0.16633882688468646,0.556122698275626,0.9840909090909091
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,831,0.9686207319906145,0.1523408253536157,0.9518652226233454
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,811,0.14608634262165132,1.0008196036979466,0.9161528976572133
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.0008447531999548623,0.12896720679857374,0.9395348837209302
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,368,96.76870599268744,0.10443258182052757,0.9836956521739131
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,739,1.9192156365920017,0.9117197097009377,0.9607577807848444
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.1645062904594763,0.33808156560170316,0.9825581395348837
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,815,2.1842884905826345,1.8919728774229978,0.9300613496932515
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,894,2046.062321239795,1.56276054448096,0.889261744966443
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,CT,28,0.02062986343545718,0.17773420805932338,1.0
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,MT,28,0.01640452861718589,0.18417273507666598,1.0
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,ST,26,0.016449289901096443,0.15834192426083207,1.0
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,CT,140,0.18337113647421546,0.5941895407103381,0.9785714285714285
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,MT,152,0.17955237063775864,0.6096173766878714,0.9802631578947368
