Year,Analyte,Treatment,BayesPosteriorMedian_kg,BayesLower95_kg,BayesUpper95_kg,MLPointTotal_kg,MLLower95_kg,MLUpper95_kg,n_expected_physical_events,n_observed_event_loads,observed_event_fraction,ObservedAnnualLoadComplete,n_complete_plots,ObservedAnnualLoad_kg,ObservedAnnualLoadRangeLow_kg,ObservedAnnualLoadRangeHigh_kg,ObservedIntervalType
2011,NH4,CT,0.01515,0.001256,0.03724,0.03084,0.0196,0.2426,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NH4,MT,0.012,0.0007841,0.03378,0.03101,0.01968,0.2763,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NH4,ST,0.01164,0.0007843,0.03414,0.02925,0.01772,0.2966,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NO2,CT,0.04898,0,0.2299,0.07225,0.05116,0.4524,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NO2,MT,0.03301,0,0.1944,0.07778,0.05437,0.532,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NO2,ST,0.03524,0,0.1956,0.07888,0.05119,0.5606,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NO3,CT,0.9687,0.6401,1.391,0.6232,0.4674,3.458,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,NO3,MT,0.8428,0.4902,1.318,0.7294,0.525,4.286,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,NO3,ST,0.8612,0.5234,1.296,0.7742,0.5633,4.132,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,OP,CT,0.02066,0.006708,0.0422,0.02049,0.0125,0.2054,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,OP,MT,0.01815,0.005068,0.03661,0.02851,0.01781,0.2768,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,OP,ST,0.01778,0.004907,0.03594,0.02127,0.0137,0.2401,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,Se,CT,0.0008649,0.0004728,0.001263,0.03528,0.02217,0.2847,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,Se,MT,0.0006638,0.000332,0.001111,0.03689,0.02235,0.3112,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,Se,ST,0.0006751,0.0003437,0.001086,0.03428,0.02085,0.3195,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TDS,CT,114.7,60.02,177.3,0.4319,0.3219,2.233,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TDS,MT,101.5,47.65,167.3,0.4945,0.3558,3.044,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TDS,ST,102.5,51.43,165.7,0.58,0.423,3.617,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TKN,CT,0.2896,0.009085,0.9285,0.4075,0.3033,2.25,6,0,0.0,Incomplete,0.0,-,-,-,none
