Year,Treatment,BayesPosteriorMean_kL,BayesLower95_kL,BayesUpper95_kL,MLPointTotal_kL,MLLower95_kL,MLUpper95_kL,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,n_complete_plots,ObservedAnnualVolume_kL,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType
2011,CT,134.8,94.2,174.8,94.44,70.45,433.5,6,4,0.6666666666666666,Complete,1.0,95.66,-,-,none
2011,MT,115.2,73.3,161.8,106.9,78.67,530.3,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,ST,117.6,79.53,157.3,129.8,96.39,604.5,6,5,0.8333333333333334,Complete,1.0,145.4,-,-,none
2012,CT,197.8,127.7,268.1,99.44,80.03,390.8,10,10,1.0,Complete,1.0,68.23,-,-,none
2012,MT,162.3,113.1,212,126.9,97.27,519.8,10,7,0.7,Incomplete,0.0,-,-,-,none
2012,ST,150.8,97.13,206.1,114,90.85,456.4,10,7,0.7,Incomplete,0.0,-,-,-,none
2013,CT,180.7,130.7,228.2,108.7,84.14,484.1,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2013,MT,175.4,131.3,227.2,135.2,105.5,533.2,7,4,0.5714285714285714,Incomplete,0.0,-,-,-,none
2013,ST,153.1,111.3,195.2,116.1,88.79,483.2,7,6,0.8571428571428571,Incomplete,0.0,-,-,-,none
2014,CT,140.5,107.2,174.6,87.13,62.2,414.1,5,4,0.8,Incomplete,0.0,-,-,-,none
2014,MT,83.2,46.73,121.2,52.76,35.36,389.6,5,3,0.6,Incomplete,0.0,-,-,-,none
2014,ST,87.85,52.37,125.1,58.48,41.8,322,5,4,0.8,Incomplete,0.0,-,-,-,none
2015,CT,155.7,117.1,195.1,141.4,109.1,568.8,6,6,1.0,Complete,2.0,132.4,103,161.8,descriptive replicate minimum-to-maximum range
2015,MT,96.72,64.18,131.3,53.18,40.07,241.8,6,6,1.0,Complete,2.0,65.6,44.15,87.05,descriptive replicate minimum-to-maximum range
2015,ST,91.29,59.24,124.7,58.19,41.25,253.5,6,6,1.0,Complete,2.0,57.59,42.71,72.48,descriptive replicate minimum-to-maximum range
2016,CT,61.09,40.64,82.62,76.53,39.78,582.3,2,2,1.0,Complete,2.0,76.61,63.9,89.32,descriptive replicate minimum-to-maximum range
