Year,Treatment,BayesPosteriorMean_kL,BayesLower95_kL,BayesUpper95_kL,MLPointTotal_kL,MLLower95_kL,MLUpper95_kL,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,n_complete_plots,ObservedAnnualVolume_kL,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType
2011,CT,134.83534227254023,94.20085380037182,174.83914609434495,94.44371549474702,70.44839526519173,433.4952079266482,6,4,0.6666666666666666,True,1.0,95.65738,,,none
2011,MT,115.24369506776468,73.29730122174173,161.794171870261,106.87413171885028,78.67191544134764,530.2999091361768,6,3,0.5,False,0.0,,,,none
2011,ST,117.58612881817668,79.53248352344788,157.3030927319125,129.81221574964266,96.39229612814367,604.4535116106877,6,5,0.8333333333333334,True,1.0,145.38437,,,none
2012,CT,197.8212000951296,127.6607149601774,268.05954262862866,99.44303647464427,80.02814232450267,390.8383574762812,10,10,1.0,True,1.0,68.231,,,none
2012,MT,162.26012314067634,113.1249102102413,212.03770238541347,126.92210729624745,97.26898116031404,519.761960834697,10,7,0.7,False,0.0,,,,none
2012,ST,150.75475497891392,97.12579649354768,206.10958125118165,114.03784714172592,90.8482603465418,456.4241099112013,10,7,0.7,False,0.0,,,,none
2013,CT,180.69607226113624,130.7307839242477,228.22807815346584,108.67226998458361,84.14193761742364,484.08639363583677,7,5,0.7142857142857143,False,0.0,,,,none
2013,MT,175.3944637358185,131.27227397897602,227.24684582311,135.19300148189672,105.47079529526971,533.20567595902,7,4,0.5714285714285714,False,0.0,,,,none
2013,ST,153.12644736839596,111.27404925890336,195.17318466090225,116.10986376745498,88.78750721674271,483.17786470166635,7,6,0.8571428571428571,False,0.0,,,,none
2014,CT,140.52273581465045,107.19817683247048,174.62730555032957,87.13276343314469,62.20074613919334,414.0633720957198,5,4,0.8,False,0.0,,,,none
2014,MT,83.2002582687293,46.73214043241992,121.2165976876488,52.75654629070044,35.36260314767284,389.6167277281129,5,3,0.6,False,0.0,,,,none
2014,ST,87.84864342343731,52.36812949678376,125.07971076250264,58.47681280269126,41.7985817858558,322.01835884926544,5,4,0.8,False,0.0,,,,none
2015,CT,155.6851223719953,117.0726990516919,195.14703987937557,141.4148721343268,109.08628108633434,568.7573902348582,6,6,1.0,True,2.0,132.37093,102.98230000000001,161.75956,descriptive replicate minimum-to-maximum range
2015,MT,96.71659043751932,64.17745671400179,131.32927264595696,53.177897016936534,40.06735404967941,241.7510176554906,6,6,1.0,True,2.0,65.599245,44.15104,87.04745,descriptive replicate minimum-to-maximum range
2015,ST,91.28967791768332,59.24246548257028,124.72599977103587,58.19050617918209,41.24545229381837,253.52638828536672,6,6,1.0,True,2.0,57.59408499999999,42.70540999999999,72.48276,descriptive replicate minimum-to-maximum range
2016,CT,61.08595048467062,40.644219991392994,82.61548691372451,76.52559757020161,39.78439502647664,582.2735362092378,2,2,1.0,True,2.0,76.612945,63.901019999999995,89.32486999999999,descriptive replicate minimum-to-maximum range
2016,MT,28.99002525025459,9.72333150034626,49.74889821827525,9.245936332333539,4.950183918852767,70.71019590803265,2,2,1.0,True,2.0,10.32075,7.7622800000000005,12.87922,descriptive replicate minimum-to-maximum range
2016,ST,37.57850770124874,17.43548027315647,57.29861513574984,22.85876627769743,11.962570983052188,183.47344717489548,2,2,1.0,True,2.0,39.09981,27.13164,51.06798,descriptive replicate minimum-to-maximum range
2017,CT,209.5278332534245,159.87270036934495,254.89006303543516,245.2042854021516,184.10705229559687,1132.8647860693159,6,6,1.0,True,2.0,297.5275,198.11447,396.94053,descriptive replicate minimum-to-maximum range
2017,MT,123.35814452346112,89.16156933252238,157.05326796634716,77.23362382357455,55.11635686824427,370.4949266094091,6,6,1.0,True,2.0,96.214715,94.28058,98.14885000000001,descriptive replicate minimum-to-maximum range
2017,ST,113.59245411294636,80.55120063849155,148.11868610823777,61.43572811054364,46.05552037922179,321.0557822065361,6,6,1.0,True,2.0,77.34838500000001,32.8614,121.83537000000001,descriptive replicate minimum-to-maximum range
2018,CT,156.65217223705363,83.70102379536151,244.6424920181958,74.08087792618157,54.07482921642756,332.59927295827487,5,0,0.0,False,0.0,,,,none
2018,MT,138.09544749133943,69.72593818133242,221.78252317820437,53.3254934116944,39.68038622393069,240.5328615500371,5,0,0.0,False,0.0,,,,none
2018,ST,137.70021994865823,69.53119183530758,220.2645427961474,61.51673681150402,44.49060118107196,267.7619616774144,5,0,0.0,False,0.0,,,,none
2019,CT,30.33522576599273,12.371995632091974,47.80962646649845,16.499077049193517,6.18501249682471,254.15380343349145,1,0,0.0,False,0.0,,,,none
2019,MT,30.39322733863872,12.263463559523958,48.79614977140827,13.889346220870324,5.087836844040732,54.34429447031306,1,0,0.0,False,0.0,,,,none
2019,ST,30.499458038559904,11.815024600310664,48.76174450819588,12.851728779751912,4.472695998344922,182.59627836380088,1,0,0.0,False,0.0,,,,none
2020,CT,185.0819827374712,126.83070182177904,241.43210102057049,116.31872609814477,90.41377414715019,489.7937026725635,7,1,0.14285714285714285,False,0.0,,,,none
2020,MT,117.23648954267692,70.13577794047032,164.25196574185742,86.15897466136407,67.93480368796565,327.6562513935268,7,0,0.0,False,0.0,,,,none
2020,ST,123.08480921329672,83.69069982112366,164.5236370206336,108.63427061275111,81.79919183526526,478.72737539730974,7,6,0.8571428571428571,False,0.0,,,,none
2021,CT,166.9966586989308,119.869744966165,214.6775885972193,88.20814605947794,68.14173356107642,346.23351577136344,6,3,0.5,False,0.0,,,,none
2021,MT,105.25340490358114,61.83163317521733,156.5277166429837,48.91880483182577,37.19809767179571,207.24388034333256,6,3,0.5,False,0.0,,,,none
2021,ST,217.41111913122543,166.50209207216298,265.14735866621805,48.62036797637005,35.89412398723384,204.65463323181643,6,5,0.8333333333333334,False,0.0,,,,none
2022,CT,235.19043227516784,172.03845327064644,297.8669236374572,111.54454563649564,90.65373936652557,367.54858287798766,8,0,0.0,False,0.0,,,,none
2022,MT,348.6220631541965,292.9842121819963,406.1609253289428,110.92618401789066,90.89836672423414,375.52513096302744,8,0,0.0,False,0.0,,,,none
2022,ST,355.9346484343899,295.437954803243,415.5058751917449,104.7537199615248,84.79954150102672,349.65357063196166,8,0,0.0,False,0.0,,,,none
2023,CT,240.4079928968182,196.0559049165508,286.80539284773033,240.60412949829907,187.172959617459,1116.004518959174,7,5,0.7142857142857143,False,0.0,,,,none
2023,MT,343.68373375901143,294.7246378123604,387.9790646791809,235.18848858440214,181.3855673039155,1124.3722606845347,7,5,0.7142857142857143,False,0.0,,,,none
2023,ST,318.98415810921296,270.3851484023513,365.6711679815499,220.85926045967287,174.3042879740165,927.9669192626214,7,5,0.7142857142857143,False,0.0,,,,none
