feature,importance_mean,importance_sd,Target,interpretation
Analyte,58.33365231940827,8.678481183888751,Concentration,Descriptive CatBoost importance; noncausal.
Inflow_Result_mg_L,11.283872032464418,3.65378868256927,Concentration,Descriptive CatBoost importance; noncausal.
Result_lod_mg_L,5.177678637649276,4.06157315773639,Concentration,Descriptive CatBoost importance; noncausal.
MDL_mg_L,4.151954643078268,2.630003472824457,Concentration,Descriptive CatBoost importance; noncausal.
RL_mg_L,4.031550489614613,2.44754705395233,Concentration,Descriptive CatBoost importance; noncausal.
residue_prop,1.864701590211613,0.4030943937111759,Concentration,Descriptive CatBoost importance; noncausal.
DaysUntilHarvest,1.1055683564958998,0.3328889723913654,Concentration,Descriptive CatBoost importance; noncausal.
Volume,1.091038167398358,0.2292058349414376,Concentration,Descriptive CatBoost importance; noncausal.
DaysSincePlant,0.9842897628291474,0.1468483167289157,Concentration,Descriptive CatBoost importance; noncausal.
RLMDL_Method,0.888587251399761,0.4810616913867087,Concentration,Descriptive CatBoost importance; noncausal.
MeasureMethod,0.815954671326148,0.1156179109015994,Concentration,Descriptive CatBoost importance; noncausal.
Residue_DryMass_kg_m2,0.801059782158666,0.2421500763401798,Concentration,Descriptive CatBoost importance; noncausal.
IrrMethod,0.7673065315113259,0.4096382990301696,Concentration,Descriptive CatBoost importance; noncausal.
SampleMethod,0.747949175027412,0.2582856767579964,Concentration,Descriptive CatBoost importance; noncausal.
SeasonYear,0.6794330513904225,0.2538956332773021,Concentration,Descriptive CatBoost importance; noncausal.
Year,0.6789261667486615,0.4404377705587429,Concentration,Descriptive CatBoost importance; noncausal.
CumAll_STIR_toDate,0.6768238702730424,0.3672300286885557,Concentration,Descriptive CatBoost importance; noncausal.
Inflow_Volume,0.633884973859715,0.2218841050294482,Concentration,Descriptive CatBoost importance; noncausal.
Season_STIR_toDate,0.6245936415908802,0.1613457538406856,Concentration,Descriptive CatBoost importance; noncausal.
DayOfYear,0.5555076137985228,0.1402215498971189,Concentration,Descriptive CatBoost importance; noncausal.
Rep,0.4185161121157479,0.0866984496818693,Concentration,Descriptive CatBoost importance; noncausal.
Irrigation,0.4072172846446719,0.0849773649938674,Concentration,Descriptive CatBoost importance; noncausal.
RLMDL_Source,0.4034340709144665,0.2489512268738783,Concentration,Descriptive CatBoost importance; noncausal.
Crop,0.3844234779537543,0.1695098342204285,Concentration,Descriptive CatBoost importance; noncausal.
Treatment,0.3698530455460668,0.1331705567179285,Concentration,Descriptive CatBoost importance; noncausal.
FF,0.3269850974277439,0.1330624735984914,Concentration,Descriptive CatBoost importance; noncausal.
RLMDL_Assumed,0.3045481424170655,0.3467567177852231,Concentration,Descriptive CatBoost importance; noncausal.
previous_crop,0.2946693623080738,0.1065872355414766,Concentration,Descriptive CatBoost importance; noncausal.
Lab,0.2477346733634426,0.101172426972144,Concentration,Descriptive CatBoost importance; noncausal.
Inflow_Flag,0.1900203923141646,0.124465397466121,Concentration,Descriptive CatBoost importance; noncausal.
TSSMethod,0.1779783585424222,0.1472484115132951,Concentration,Descriptive CatBoost importance; noncausal.
Duplicate,0.1703551231111655,0.0610908289976324,Concentration,Descriptive CatBoost importance; noncausal.
Composite,0.1545502880257163,0.0583704555419613,Concentration,Descriptive CatBoost importance; noncausal.
FlumeMethod,0.1531373719940468,0.0576108726582403,Concentration,Descriptive CatBoost importance; noncausal.
Flag,0.102244471087043,0.0542255756227557,Concentration,Descriptive CatBoost importance; noncausal.
DaysUntilHarvest,19.06215998687648,8.37150976103933,Volume,Descriptive CatBoost importance; noncausal.
DaysSincePlant,13.855250510621254,8.811001651242277,Volume,Descriptive CatBoost importance; noncausal.
DayOfYear,9.198520852438389,5.374520571724819,Volume,Descriptive CatBoost importance; noncausal.
MeasureMethod,8.488475800663267,2.3064650307776327,Volume,Descriptive CatBoost importance; noncausal.
FlumeMethod,7.792553295174719,2.1558966261832317,Volume,Descriptive CatBoost importance; noncausal.
CumAll_STIR_toDate,7.524120848886124,4.526434686712552,Volume,Descriptive CatBoost importance; noncausal.
Inflow_Volume,5.692454046939493,1.9193833056689256,Volume,Descriptive CatBoost importance; noncausal.
Treatment,3.993869282190728,1.7944913336699286,Volume,Descriptive CatBoost importance; noncausal.
Irrigation,3.8442748071437114,2.50604939289557,Volume,Descriptive CatBoost importance; noncausal.
previous_crop,3.717797837332665,1.3583014852506308,Volume,Descriptive CatBoost importance; noncausal.
Crop,3.380203334861859,1.2247060246610189,Volume,Descriptive CatBoost importance; noncausal.
Season_STIR_toDate,2.956508708934365,0.9771668742985316,Volume,Descriptive CatBoost importance; noncausal.
residue_prop,2.1931217655959663,1.9217431444940607,Volume,Descriptive CatBoost importance; noncausal.
Residue_DryMass_kg_m2,2.074614053054369,0.9001477766370332,Volume,Descriptive CatBoost importance; noncausal.
Year,1.9132049835096627,1.1714469698935606,Volume,Descriptive CatBoost importance; noncausal.
Rep,1.5024321658005235,1.2028399719543603,Volume,Descriptive CatBoost importance; noncausal.
SeasonYear,1.389684055122185,0.7160791647786494,Volume,Descriptive CatBoost importance; noncausal.
IrrMethod,1.160552721452496,0.6680499822274413,Volume,Descriptive CatBoost importance; noncausal.
FurrowTireCompaction,0.2602009434017557,0.1716397181733028,Volume,Descriptive CatBoost importance; noncausal.
