Method,Target,Year,n,Coverage
ML,Result_mg_L,2011,108,86.1%
ML,Result_mg_L,2012,163,81.6%
ML,Result_mg_L,2013,72,83.3%
ML,Result_mg_L,2014,224,85.7%
ML,Result_mg_L,2015,372,91.1%
ML,Result_mg_L,2016,168,92.9%
ML,Result_mg_L,2017,324,81.2%
ML,Result_mg_L,2018,0,NA
ML,Result_mg_L,2019,0,NA
ML,Result_mg_L,2020,246,91.1%
ML,Result_mg_L,2021,539,87.2%
ML,Result_mg_L,2022,574,80.8%
ML,Result_mg_L,2023,928,83.1%
ML,Result_mg_L,2024,646,84.8%
ML,Result_mg_L,2025,1003,82.2%
ML,Volume_L,2011,27,48.1%
ML,Volume_L,2012,49,71.4%
ML,Volume_L,2013,32,100.0%
ML,Volume_L,2014,23,82.6%
ML,Volume_L,2015,36,100.0%
ML,Volume_L,2016,12,41.7%
ML,Volume_L,2017,36,91.7%
ML,Volume_L,2018,0,NA
ML,Volume_L,2019,0,NA
ML,Volume_L,2020,9,100.0%
ML,Volume_L,2021,18,83.3%
ML,Volume_L,2022,0,NA
ML,Volume_L,2023,30,100.0%
ML,Volume_L,2024,27,66.7%
ML,Volume_L,2025,73,98.6%
