Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,DisplayTarget
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.09212792570877877,0.8476172792483478,,NH4
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.1901088803198662,1.749084988704136,1.0,NH4
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9483431538593866,0.13506408160647074,,NO3
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,356,3.7783491403076677,0.5381166664697827,0.9466292134831461,NO3
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1683135547875923,0.6057231331017675,,NO2
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.34258789860127803,1.2328978231455794,1.0,NO2
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.09742382219203899,0.8042428829829986,,OP
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,335,0.413988599166906,3.417515111035054,1.0,OP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.04364760400140115,6.594082634010705,,Se
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,101,0.10710560107644818,16.181029869149622,1.0,Se
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,94.22773159913399,0.1064751139018085,,TDS
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,567.165665379289,0.6408838226029184,0.6494845360824743,TDS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.4618068795120935,0.5762418706504024,,TKN
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,313,5.114441603446628,2.0161044787845017,0.7891373801916933,TKN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1156047453015923,0.19652556066294913,,TN
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,2.5948372307552585,0.4571079889637895,0.8846153846153846,TN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6412505603141976,0.7444316778579685,,TP
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,361,1.2859315051600293,1.4928457099946313,0.9418282548476454,TP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,547.4429574981415,0.5606383115599145,,TSS
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,400,1117.277712090496,1.1442081434613514,0.565,TSS
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,10867.424337449444,0.40592798056464313,,Volume
ML,outer_loyo_physical_event_validation,Volume_L,overall,all,all,333,25337.93253935585,0.9464409843591172,0.8498498498498499,Volume
