Year,Treatment,Rep,Analyte,n_expected_physical_events,ExpectedIrrigationLabels,n_observed_event_loads,ObservedIncompleteSubtotal_kg,MissingIrrigationLabels,PlotComplete,ObservedReplicateAnnualLoad_kg,n_complete_plots,ObservedAnnualLoad_kg,ObservedSampleSD_kg,ObservedSE_kg,ObservedMinimum_kg,ObservedMaximum_kg,ObservedAnnualLoadRangeLow_kg,ObservedAnnualLoadRangeHigh_kg,IntervalType,CompletenessDefinition,observed_event_fraction,ObservedAnnualLoadComplete,ObservedIntervalType
2011,CT,1,NH4,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,1,NO2,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,1,NO3,6,1;2;3;4;5;6,3,0.4732531543299999,3;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,CT,1,OP,6,1;2;3;4;5;6,3,0.0123036123199999,3;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,CT,1,Se,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,1,TDS,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,1,TKN,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,1,TN,6,1;2;3;4;5;6,3,0.3224801630299999,3;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,CT,1,TP,6,1;2;3;4;5;6,3,0.14981446476999988,3;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,CT,1,TSS,6,1;2;3;4;5;6,4,87.7486138632,5;6,False,,1.0,119.04681057113001,,,119.04681057113001,119.04681057113001,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.6666666666666666,True,none
2011,CT,2,NH4,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,2,NO2,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,2,NO3,6,1;2;3;4;5;6,3,0.1811037004099999,3;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,CT,2,OP,6,1;2;3;4;5;6,3,0.0025679929899999,3;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,CT,2,Se,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,2,TDS,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,2,TKN,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,CT,2,TN,6,1;2;3;4;5;6,3,0.13136564150999988,3;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,CT,2,TP,6,1;2;3;4;5;6,3,0.0667392062999999,3;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,CT,2,TSS,6,1;2;3;4;5;6,6,119.04681057113001,,True,119.04681057113001,1.0,119.04681057113001,,,119.04681057113001,119.04681057113001,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",1.0,True,none
2011,MT,1,NH4,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,MT,1,NO2,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,MT,1,NO3,6,1;2;3;4;5;6,2,0.39113338675,3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.3333333333333333,False,none
2011,MT,1,OP,6,1;2;3;4;5;6,2,0.00348826763,3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.3333333333333333,False,none
2011,MT,1,Se,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,MT,1,TDS,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,MT,1,TKN,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
2011,MT,1,TN,6,1;2;3;4;5;6,2,0.37653284142,3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.3333333333333333,False,none
2011,MT,1,TP,6,1;2;3;4;5;6,2,0.08846466436,3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.3333333333333333,False,none
2011,MT,1,TSS,6,1;2;3;4;5;6,3,79.16101492472,4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.5,False,none
2011,MT,2,NH4,6,1;2;3;4;5;6,0,,1;2;3;4;5;6,False,,0.0,,,,,,,,none,"every expected physical event has observed concentration and genuine runoff volume, or confirmed zero runoff",0.0,False,none
