Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE,NRMSE,Coverage
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.0174,0.169,100.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,440,0.166,0.556,98.4%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,831,0.923,0.145,95.1%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,811,0.147,1.009,91.1%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.000844,0.129,94.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,368,95.1,0.103,98.6%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,739,1.92,0.913,96.1%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.14,0.334,98.3%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,815,2.2,1.904,93.1%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,894,2.07e+03,1.581,87.9%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,CT,28,0.0203,0.175,100.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,MT,28,0.0156,0.175,100.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,ST,26,0.0159,0.153,100.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,CT,140,0.183,0.594,97.9%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,MT,152,0.18,0.610,98.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,ST,148,0.132,0.446,99.3%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,CT,280,0.831,0.131,95.7%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,MT,269,0.873,0.138,97.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,ST,282,1.05,0.164,92.6%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,CT,269,0.139,1.010,94.4%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,MT,267,0.14,0.911,90.3%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,ST,275,0.161,1.101,88.7%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,CT,68,0.00101,0.142,91.2%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,MT,74,0.000772,0.124,94.6%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,ST,73,0.000734,0.116,95.9%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,CT,119,105,0.116,98.3%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,MT,126,80.8,0.086,99.2%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,ST,123,98.2,0.105,98.4%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,CT,243,1.21,0.518,97.5%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,MT,246,2.06,1.083,95.9%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,ST,250,2.31,1.106,94.8%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,CT,63,2.99,0.441,96.8%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,MT,50,1.11,0.181,100.0%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,ST,59,1.67,0.268,98.3%
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TP,CT,272,1.1,1.110,96.0%
