Method,Scenario,Year,Treatment,center_kL,lower_95_kL,upper_95_kL,central_estimate_type,interval_type
Bayes,model_only,2011,CT,134.83534227254023,94.20085380037182,174.83914609434495,posterior_mean,95% posterior credible interval
Bayes,model_only,2012,CT,197.8212000951296,127.6607149601774,268.05954262862866,posterior_mean,95% posterior credible interval
Bayes,model_only,2013,CT,180.69607226113624,130.7307839242477,228.22807815346584,posterior_mean,95% posterior credible interval
Bayes,model_only,2014,CT,140.52273581465045,107.19817683247048,174.62730555032957,posterior_mean,95% posterior credible interval
Bayes,model_only,2015,CT,155.6851223719953,117.0726990516919,195.14703987937557,posterior_mean,95% posterior credible interval
Bayes,model_only,2016,CT,61.08595048467062,40.644219991392994,82.61548691372451,posterior_mean,95% posterior credible interval
Bayes,model_only,2017,CT,209.5278332534245,159.87270036934495,254.89006303543516,posterior_mean,95% posterior credible interval
Bayes,model_only,2018,CT,156.65217223705363,83.70102379536151,244.6424920181958,posterior_mean,95% posterior credible interval
Bayes,model_only,2019,CT,30.33522576599273,12.371995632091974,47.80962646649845,posterior_mean,95% posterior credible interval
Bayes,model_only,2020,CT,185.0819827374712,126.83070182177904,241.43210102057049,posterior_mean,95% posterior credible interval
Bayes,model_only,2021,CT,166.9966586989308,119.869744966165,214.6775885972193,posterior_mean,95% posterior credible interval
Bayes,model_only,2022,CT,235.19043227516784,172.03845327064644,297.8669236374572,posterior_mean,95% posterior credible interval
Bayes,model_only,2023,CT,240.4079928968182,196.0559049165508,286.80539284773033,posterior_mean,95% posterior credible interval
Bayes,model_only,2024,CT,145.40014823478234,111.94067712484832,178.9729807425568,posterior_mean,95% posterior credible interval
Bayes,model_only,2025,CT,272.8076275615254,223.0688014761332,319.70154329636733,posterior_mean,95% posterior credible interval
Bayes,model_only,2011,MT,115.24369506776468,73.29730122174173,161.794171870261,posterior_mean,95% posterior credible interval
Bayes,model_only,2012,MT,162.26012314067634,113.1249102102413,212.03770238541347,posterior_mean,95% posterior credible interval
Bayes,model_only,2013,MT,175.3944637358185,131.27227397897602,227.24684582311,posterior_mean,95% posterior credible interval
Bayes,model_only,2014,MT,83.2002582687293,46.73214043241992,121.2165976876488,posterior_mean,95% posterior credible interval
