Method,Scenario,Year,Outcome,ComparisonTreatment,mean,median,lower_95,upper_95,n_valid_percent_draws,n_total_draws,ct_annual_total_median,ct_annual_total_lower_95,ct_annual_total_upper_95,n_invalid_percent_draws,fraction_invalid_percent_draws,PointPercentDifference,primary_center,primary_center_type,primary_center_within_draw_interval,definition
Bayes,model_only,2011,Runoff volume,MT,-12.235226064504303,-14.476544610535168,-50.58566572982387,45.43092522697897,1500,1500,134857.30012165342,94200.85380037181,174839.14609434496,0,0.0,,-14.476544610535168,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2011,Runoff volume,ST,-10.492725691294433,-13.098399109959779,-46.289103393471464,40.060379523121775,1500,1500,134857.30012165342,94200.85380037181,174839.14609434496,0,0.0,,-13.098399109959779,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2011,TN,MT,-16.747042811542208,-21.446277696559157,-59.007587507378325,51.39709844104156,1500,1500,0.7695615015415576,0.3763037225169445,1.3632613416414345,0,0.0,,-21.446277696559157,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2011,TN,ST,-19.0689612758125,-22.407721703894428,-58.19347138166063,41.97274915420155,1500,1500,0.7695615015415576,0.3763037225169445,1.3632613416414345,0,0.0,,-22.407721703894428,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2011,TP,MT,-5.364894110815565,-21.036607780805156,-89.40688242237664,158.1900342666182,1488,1500,0.14327351815281938,0.011130999765901583,0.36865994784734446,12,0.008,,-21.036607780805156,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2011,TP,ST,-14.96966653744163,-27.740066618616744,-91.89598274425961,132.96403284831564,1488,1500,0.14327351815281938,0.011130999765901583,0.36865994784734446,12,0.008,,-27.740066618616744,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2011,TSS,MT,-40.042773402716165,-51.21554552785032,-97.89301761823998,89.6338295975358,1494,1500,108.58439638901982,10.168915966763073,279.8880939572849,6,0.004,,-51.21554552785032,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2011,TSS,ST,-51.82946507582859,-60.26796479638196,-100.0,46.91525655948518,1494,1500,108.58439638901982,10.168915966763073,279.8880939572849,6,0.004,,-60.26796479638196,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2012,Runoff volume,MT,-15.09723939797927,-18.321024474721852,-47.20134996519871,35.71172312726172,1500,1500,198256.43679130223,127660.71496017737,268059.5426286287,0,0.0,,-18.321024474721852,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2012,Runoff volume,ST,-21.572211288299002,-24.243192716637793,-51.88060772106529,23.695509556662955,1500,1500,198256.43679130223,127660.71496017737,268059.5426286287,0,0.0,,-24.243192716637793,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2012,TN,MT,32.823626854830835,-13.288099884185476,-59.66422217173132,112.5260425802765,1498,1500,0.49301365413265297,0.12507713201959209,1.192423119536729,2,0.0013333333333333333,,-13.288099884185476,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2012,TN,ST,-21.378071323247585,-33.09463769451895,-71.25651508123437,55.61051792974141,1498,1500,0.49301365413265297,0.12507713201959209,1.192423119536729,2,0.0013333333333333333,,-33.09463769451895,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2012,TP,MT,-7.515388781019259,-25.229942959440244,-81.85885733554258,183.72478536118257,1494,1500,0.19044801992069121,0.011527968081061896,0.5036372513263847,6,0.004,,-25.229942959440244,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2012,TP,ST,-26.524315237899913,-36.195765500336826,-87.56396001909702,93.78264405706864,1494,1500,0.19044801992069121,0.011527968081061896,0.5036372513263847,6,0.004,,-36.195765500336826,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2012,TSS,MT,-50.24694311644298,-55.38178065522999,-91.70193479919028,24.219522486952606,1498,1500,205.6732131204094,36.71488641264022,464.89782280642623,2,0.0013333333333333333,,-55.38178065522999,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2012,TSS,ST,-60.57543134218799,-64.19588953246551,-97.0120894080407,-5.430330030462776,1498,1500,205.6732131204094,36.71488641264022,464.89782280642623,2,0.0013333333333333333,,-64.19588953246551,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2013,Runoff volume,MT,-1.0307682734879307,-4.0267769402432965,-32.19530507231956,47.008462677647906,1500,1500,181172.096207048,130730.78392424769,228228.07815346582,0,0.0,,-4.0267769402432965,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2013,Runoff volume,ST,-13.876015086743827,-15.382540834268944,-40.51303652583657,21.148517685628917,1500,1500,181172.096207048,130730.78392424769,228228.07815346582,0,0.0,,-15.382540834268944,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2013,TN,MT,3.49931685712904,-10.054671331437618,-81.53419475172682,129.940479446791,1442,1500,0.6965789782470242,0.0,2.462550712878535,58,0.03866666666666667,,-10.054671331437618,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2013,TN,ST,-9.657285450500035,-21.429050763783863,-83.79878456891944,75.37591161970788,1442,1500,0.6965789782470242,0.0,2.462550712878535,58,0.03866666666666667,,-21.429050763783863,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2013,TP,MT,31.506732736638053,-21.70340385392776,-100.0,375.7536877593276,1426,1500,0.07762987094304047,0.0,0.3080365171615152,74,0.04933333333333333,,-21.70340385392776,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2013,TP,ST,69.22136798506497,-36.54259840564704,-100.0,363.14683584146763,1426,1500,0.07762987094304047,0.0,0.3080365171615152,74,0.04933333333333333,,-36.54259840564704,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2013,TSS,MT,-33.98445714359457,-42.05365899785668,-95.3920893950197,76.22016558034528,1495,1500,157.40328233018096,18.016126960173434,385.7000013646512,5,0.0033333333333333335,,-42.05365899785668,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2013,TSS,ST,-48.924990672175454,-54.57151431964632,-97.33443317960236,32.58002807377897,1495,1500,157.40328233018096,18.016126960173434,385.7000013646512,5,0.0033333333333333335,,-54.57151431964632,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
Bayes,model_only,2014,Runoff volume,MT,-39.950763567119026,-40.01809582478096,-68.88488325976232,-7.953980262440574,1500,1500,140463.6817566132,107198.17683247048,174627.3055503296,0,0.0,,-40.01809582478096,posterior_median_of_draw_wise_contrast,True,"100 * (treatment annual mean-per-plot total - CT annual mean-per-plot total) / CT annual mean-per-plot total, calculated within draw; negative means lower than CT and positive means higher than CT"
