Method,Scenario,Analyte,ComparisonTreatment,mean,median,lower_95,upper_95,n_draws,absolute_mean_kg,absolute_median_kg,absolute_lower_95_kg,absolute_upper_95_kg,n_absolute_draws,n_total_draws,n_valid_percent_draws,probability_treatment_lower_than_ct,n_invalid_percent_draws,fraction_invalid_percent_draws,definition
BayesSensitivity,annual_draw_truncation_at_zero,NH4,MT,5.104661557389077,6.269935453949129,-30.18709271643603,35.9460020716424,1500,0.016058723045034768,0.01622816445750569,-0.07823637953333235,0.114800778133775,1500,1500,1500,0.6306666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,NH4,ST,1.4428549608706687,2.3054291048581774,-34.573568474972596,32.23696670422949,1500,0.005695859819021439,0.007039380153409838,-0.09998112242233323,0.10751662220432047,1500,1500,1500,0.564,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,NO2,MT,15.573506969032186,17.448671797149956,-17.819308845335463,41.9543800100391,1500,0.17579952892226547,0.15071967365632505,-0.129247720709814,0.6083269812864522,1500,1500,1500,0.8433333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,NO2,ST,12.98697599695899,14.339112135304422,-22.264285064057777,41.02729569906224,1500,0.15173951634617153,0.12221040857504772,-0.1532797268714059,0.573268436723976,1500,1500,1500,0.7953333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,NO3,MT,4.375101690631378,4.5086348843004656,-11.422576752998472,18.022131823895116,1500,0.8229926630236459,0.7967206065204238,-1.852271152836175,3.4958662166935555,1500,1500,1500,0.7166666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,NO3,ST,2.885505838627437,3.1828802306962234,-12.392785300431248,16.066633025060085,1500,0.5607559660037262,0.5577840179592917,-2.0836910040985286,3.1376420249372887,1500,1500,1500,0.668,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,OP,MT,-12.847178870724038,-11.826245927982033,-43.88548291379234,11.087236814252877,1500,-0.045102907948795824,-0.04510023121718279,-0.1436973313967169,0.0524065229816595,1500,1500,1500,0.18133333333333335,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,OP,ST,-15.495858627857142,-14.117835318982852,-45.072227872029764,7.690076354141846,1500,-0.055661043578296446,-0.055253186057940246,-0.14798464810128992,0.03498067450335581,1500,1500,1500,0.11866666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,Se,MT,11.21993130011547,11.550829945349452,-4.732440634679919,25.465770368015036,1500,0.0018791686384127643,0.0019230244700266345,-0.0007088845419950396,0.004568739508707661,1500,1500,1500,0.9266666666666666,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,Se,ST,7.886906468602027,8.131241541261447,-7.917822234361167,21.756620257916243,1500,0.0013418996541716547,0.0013501230816992463,-0.0011756906238031284,0.0038985045905278407,1500,1500,1500,0.866,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TDS,MT,-2.221021619436414,-1.8560275928282057,-20.396385400187487,13.08791869087363,1500,-33.36066963435137,-37.4087459566357,-367.9686549075085,320.6422110317966,1500,1500,1500,0.4166666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TDS,ST,-4.658445483375754,-4.315639838015679,-22.181725809635815,11.35606165912091,1500,-85.63535835924847,-92.12665233447296,-430.5405681429321,257.9104144014308,1500,1500,1500,0.2886666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TKN,MT,5.726501306431966,6.380759833036573,-20.527846795323974,26.24824899221287,1500,0.5515596692987675,0.5466756064454699,-1.5303668143447373,2.6180151125030333,1500,1500,1500,0.7146666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TKN,ST,-0.32776995825985805,0.144831105626832,-27.17537298419064,21.90612410920829,1500,0.04092026618003293,0.010407984246200819,-1.9686071325293304,2.196046985956151,1500,1500,1500,0.504,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TN,MT,6.565388037583459,6.917077502068288,-17.782982733345914,29.043872289210544,1500,0.9321807030384325,0.9800312146561883,-2.5477617071143213,4.222109209370816,1500,1500,1500,0.7446666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TN,ST,4.052649190233775,4.202763415756989,-20.325591265272458,26.283416045013762,1500,0.5622182956132192,0.6018822647883928,-2.825300085682681,3.6946323607954334,1500,1500,1500,0.6413333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
