Method,Scenario,Analyte,ComparisonTreatment,PointPercentDifference
ML,full_record_model_only,NH4,MT,12.858530061689901
ML,full_record_model_only,NO2,MT,14.632369861592233
ML,full_record_model_only,NO3,MT,23.27135330532223
ML,full_record_model_only,OP,MT,-1.549691269335559
ML,full_record_model_only,Se,MT,6.971954413353483
ML,full_record_model_only,TDS,MT,-4.613018669641337
ML,full_record_model_only,TKN,MT,18.762155740649234
ML,full_record_model_only,TN,MT,31.491722192584938
ML,full_record_model_only,TP,MT,-2.2310128879142934
ML,full_record_model_only,TSS,MT,36.29884699176931
ML,full_record_model_only,NH4,ST,17.594376755865056
ML,full_record_model_only,NO2,ST,22.507212675644993
ML,full_record_model_only,NO3,ST,27.3210436756749
ML,full_record_model_only,OP,ST,2.242351733041486
ML,full_record_model_only,Se,ST,10.069357878503913
ML,full_record_model_only,TDS,ST,-7.496517622676838
ML,full_record_model_only,TKN,ST,30.291455232967667
ML,full_record_model_only,TN,ST,33.22027031251821
ML,full_record_model_only,TP,ST,0.7736446021502377
ML,full_record_model_only,TSS,ST,34.911330236250585
