Method,Scenario,Analyte,Treatment,PointCumulativeLoad_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
Bayes,model_only,TN,CT,,posterior_median,True,"14.59 (8.329, 23.63)"
Bayes,model_only,TN,MT,,posterior_median,True,"13.7 (6.761, 22.65)"
Bayes,model_only,TN,ST,,posterior_median,True,"14.03 (7.013, 23.3)"
Bayes,model_only,TP,CT,,posterior_median,True,"1.488 (0.3695, 3.353)"
Bayes,model_only,TP,MT,,posterior_median,True,"1.955 (0.7715, 3.922)"
Bayes,model_only,TP,ST,,posterior_median,True,"1.812 (0.5279, 3.813)"
Bayes,model_only,TSS,CT,,posterior_median,True,"1948 (821.6, 4007)"
Bayes,model_only,TSS,MT,,posterior_median,True,"1763 (777.9, 3587)"
Bayes,model_only,TSS,ST,,posterior_median,True,"1757 (674.8, 3686)"
ML,full_record_model_only,TN,CT,13.55496877371161,mean_of_replicate_annual_plot_totals,False,"13.55 (15.2, 26.6)"
ML,full_record_model_only,TN,MT,9.286275664202712,mean_of_replicate_annual_plot_totals,False,"9.286 (10.29, 16.78)"
ML,full_record_model_only,TN,ST,9.051971506307178,mean_of_replicate_annual_plot_totals,False,"9.052 (10.19, 16.41)"
ML,full_record_model_only,TP,CT,1.6381132859414398,mean_of_replicate_annual_plot_totals,False,"1.638 (1.893, 3.613)"
ML,full_record_model_only,TP,MT,1.6746598044694296,mean_of_replicate_annual_plot_totals,False,"1.675 (1.717, 4.344)"
ML,full_record_model_only,TP,ST,1.625440110927648,mean_of_replicate_annual_plot_totals,False,"1.625 (1.734, 3.781)"
ML,full_record_model_only,TSS,CT,2198.3776432902764,mean_of_replicate_annual_plot_totals,False,"2198 (2372, 4355)"
ML,full_record_model_only,TSS,MT,1400.391906251075,mean_of_replicate_annual_plot_totals,True,"1400 (1393, 3273)"
ML,full_record_model_only,TSS,ST,1430.894764401305,mean_of_replicate_annual_plot_totals,False,"1431 (1476, 2987)"
