Method,Scenario,Analyte,Treatment,PointCumulativeLoad_kg
ML,full_record_model_only,NH4,CT,1.2949486411218936
ML,full_record_model_only,NH4,MT,1.12843728081979
ML,full_record_model_only,NH4,ST,1.0671104984079527
ML,full_record_model_only,NO2,CT,0.7484080660220509
ML,full_record_model_only,NO2,MT,0.638898229727715
ML,full_record_model_only,NO2,ST,0.5799622709207863
ML,full_record_model_only,NO3,CT,11.417927520959978
ML,full_record_model_only,NO3,MT,8.760821267411762
ML,full_record_model_only,NO3,ST,8.298430556101598
ML,full_record_model_only,OP,CT,0.29250859768353643
ML,full_record_model_only,OP,MT,0.29704157788389407
ML,full_record_model_only,OP,ST,0.2859495260740843
ML,full_record_model_only,Se,CT,0.7144864963146123
ML,full_record_model_only,Se,MT,0.664672823501991
ML,full_record_model_only,Se,ST,0.6425422940071103
ML,full_record_model_only,TDS,CT,597.9547132199849
ML,full_record_model_only,TDS,MT,625.5384757768231
ML,full_record_model_only,TDS,ST,642.7804936721478
ML,full_record_model_only,TKN,CT,5.208122287410413
ML,full_record_model_only,TKN,MT,4.230966272683008
ML,full_record_model_only,TKN,ST,3.630506256241276
ML,full_record_model_only,TN,CT,13.55496877371161
ML,full_record_model_only,TN,MT,9.286275664202712
ML,full_record_model_only,TN,ST,9.051971506307178
ML,full_record_model_only,TP,CT,1.6381132859414398
ML,full_record_model_only,TP,MT,1.6746598044694296
ML,full_record_model_only,TP,ST,1.625440110927648
ML,full_record_model_only,TSS,CT,2198.3776432902764
ML,full_record_model_only,TSS,MT,1400.391906251075
ML,full_record_model_only,TSS,ST,1430.894764401305
