Method,Scenario,Analyte,ComparisonTreatment,mean,median,lower_95,upper_95,n_draws,absolute_mean_kg,absolute_median_kg,absolute_lower_95_kg,absolute_upper_95_kg,n_absolute_draws,n_total_draws,n_valid_percent_draws,probability_treatment_lower_than_ct,n_invalid_percent_draws,fraction_invalid_percent_draws,definition,PointPercentDifference,primary_center,primary_center_type,primary_center_within_draw_interval
Bayes,model_only,TSS,MT,6.369586795916706,7.784018682160986,-34.602084042613534,36.78738236638794,1500,171.52563377302482,146.9018707126986,-483.10070608731706,945.4696812342484,1500,1500,1500,0.6813333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,7.784018682160986,posterior_median,True
Bayes,model_only,TSS,ST,9.163543928753985,10.534358793164875,-27.537540724853454,39.85552178587896,1500,200.3439390250898,191.88204310941435,-429.5066577149764,878.8699756156891,1500,1500,1500,0.722,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,10.534358793164875,posterior_median,True
ML,full_record_model_only,TSS,MT,36.11568665921161,38.904495477365074,-11.098210787905735,61.31846598144188,2000,1152.7455361769353,1131.7535118752803,-307.36463834733297,2530.8684668612727,2000,2000,2000,0.9625,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",36.29884699176931,36.29884699176931,mean_of_replicate_annual_plot_totals,True
ML,full_record_model_only,TSS,ST,34.54268190656519,36.72275911931366,-3.1923496273981864,59.69397832952047,2000,1104.0259554329784,1066.054649597694,-95.17710454481852,2531.562960317286,2000,2000,2000,0.97,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",34.911330236250585,34.911330236250585,mean_of_replicate_annual_plot_totals,True
Bayes,model_only,TP,MT,-41.08360391897957,-31.3138855094807,-155.95124045504457,11.822074750805998,1500,-0.4422141963261833,-0.4492384349245235,-1.1603015528725722,0.2769872540706058,1500,1500,1500,0.0946666666666666,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,-31.3138855094807,posterior_median,True
Bayes,model_only,TP,ST,-25.316991473829795,-21.20508190119645,-97.22106721760736,19.70800572281917,1500,-0.3119782309059083,-0.2991760524596158,-1.0202853286911269,0.3090966055294289,1500,1500,1500,0.166,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,-21.20508190119645,posterior_median,True
ML,full_record_model_only,TP,MT,-2.02108064246054,3.476343580652756,-88.88798913086997,40.45622389314842,2000,0.0160670651445552,0.0804640268213385,-1.9657402420550647,1.4261205053773218,2000,2000,2000,0.5655,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",-2.2310128879142934,-2.2310128879142934,mean_of_replicate_annual_plot_totals,True
ML,full_record_model_only,TP,ST,1.6567442742913685,4.973033666030783,-60.137826449441896,43.297717768333776,2000,0.1041033242821481,0.1149696930097312,-1.3919072313146852,1.5102040728384805,2000,2000,2000,0.592,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",0.7736446021502377,0.7736446021502377,mean_of_replicate_annual_plot_totals,True
Bayes,model_only,TN,MT,6.565388037583459,6.917077502068288,-17.782982733345914,29.043872289210544,1500,0.9321807030384324,0.9800312146561884,-2.5477617071143213,4.222109209370816,1500,1500,1500,0.7446666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,6.917077502068288,posterior_median,True
Bayes,model_only,TN,ST,4.052649190233775,4.202763415756989,-20.325591265272458,26.28341604501376,1500,0.5622182956132192,0.6018822647883928,-2.825300085682681,3.6946323607954334,1500,1500,1500,0.6413333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,4.202763415756989,posterior_median,True
ML,full_record_model_only,TN,MT,31.222868893723764,31.997378538826936,2.836672345097236,53.4936735485579,2000,6.199207329805451,5.854812584917903,0.4622080193030526,13.635358563525262,2000,2000,2000,0.984,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",31.491722192584938,31.491722192584938,mean_of_replicate_annual_plot_totals,True
ML,full_record_model_only,TN,ST,32.717450490829776,33.73456234988144,5.4419983920397295,55.04593121816406,2000,6.48359189178756,6.164652722830735,0.8270595952412892,14.36737148941555,2000,2000,2000,0.989,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",33.22027031251821,33.22027031251821,mean_of_replicate_annual_plot_totals,True
