Target,feature,Importance_mean_sd,interpretation
Concentration,Analyte,60.6 (6.75),Descriptive CatBoost importance; noncausal.
Concentration,Inflow_Result_mg_L,11.8 (4.7),Descriptive CatBoost importance; noncausal.
Concentration,RL_mg_L,6.04 (4.66),Descriptive CatBoost importance; noncausal.
Concentration,MDL_mg_L,5.24 (3.17),Descriptive CatBoost importance; noncausal.
Concentration,residue_prop,1.73 (0.297),Descriptive CatBoost importance; noncausal.
Concentration,RLMDL_Method,1.48 (1.73),Descriptive CatBoost importance; noncausal.
Concentration,DaysUntilHarvest,1.02 (0.284),Descriptive CatBoost importance; noncausal.
Concentration,Volume,0.983 (0.19),Descriptive CatBoost importance; noncausal.
Concentration,DaysSincePlant,0.852 (0.166),Descriptive CatBoost importance; noncausal.
Concentration,MeasureMethod,0.754 (0.259),Descriptive CatBoost importance; noncausal.
Concentration,SampleMethod,0.694 (0.164),Descriptive CatBoost importance; noncausal.
Concentration,CumAll_STIR_toDate,0.689 (0.238),Descriptive CatBoost importance; noncausal.
Concentration,Year,0.666 (0.216),Descriptive CatBoost importance; noncausal.
Concentration,Residue_DryMass_kg_m2,0.66 (0.167),Descriptive CatBoost importance; noncausal.
Concentration,Season_STIR_toDate,0.641 (0.137),Descriptive CatBoost importance; noncausal.
Concentration,SeasonYear,0.571 (0.412),Descriptive CatBoost importance; noncausal.
Concentration,DayOfYear,0.562 (0.132),Descriptive CatBoost importance; noncausal.
Concentration,Inflow_Volume,0.523 (0.142),Descriptive CatBoost importance; noncausal.
Concentration,IrrMethod,0.439 (0.458),Descriptive CatBoost importance; noncausal.
Concentration,Irrigation,0.395 (0.0923),Descriptive CatBoost importance; noncausal.
Concentration,Rep,0.388 (0.0814),Descriptive CatBoost importance; noncausal.
Concentration,RLMDL_Source,0.356 (0.202),Descriptive CatBoost importance; noncausal.
Concentration,Crop,0.349 (0.151),Descriptive CatBoost importance; noncausal.
Concentration,previous_crop,0.349 (0.216),Descriptive CatBoost importance; noncausal.
Concentration,Treatment,0.315 (0.116),Descriptive CatBoost importance; noncausal.
Concentration,FF,0.261 (0.0632),Descriptive CatBoost importance; noncausal.
Concentration,RLMDL_Assumed,0.249 (0.241),Descriptive CatBoost importance; noncausal.
Concentration,Lab,0.246 (0.0913),Descriptive CatBoost importance; noncausal.
Concentration,TSSMethod,0.206 (0.153),Descriptive CatBoost importance; noncausal.
Concentration,Duplicate,0.203 (0.0869),Descriptive CatBoost importance; noncausal.
Concentration,Inflow_Flag,0.172 (0.0742),Descriptive CatBoost importance; noncausal.
Concentration,FlumeMethod,0.168 (0.0598),Descriptive CatBoost importance; noncausal.
Concentration,FurrowTireCompaction,0.158 (0.0863),Descriptive CatBoost importance; noncausal.
Concentration,Composite,0.158 (0.0809),Descriptive CatBoost importance; noncausal.
Concentration,Flag,0.0727 (0.0223),Descriptive CatBoost importance; noncausal.
Volume,DaysSincePlant,22 (11.4),Descriptive CatBoost importance; noncausal.
Volume,DayOfYear,15.3 (7.4),Descriptive CatBoost importance; noncausal.
Volume,CumAll_STIR_toDate,8 (3.57),Descriptive CatBoost importance; noncausal.
Volume,MeasureMethod,7.91 (1.67),Descriptive CatBoost importance; noncausal.
Volume,Inflow_Volume,7.79 (2.62),Descriptive CatBoost importance; noncausal.
Volume,FlumeMethod,6.71 (1.99),Descriptive CatBoost importance; noncausal.
Volume,Irrigation,4.45 (2.27),Descriptive CatBoost importance; noncausal.
Volume,previous_crop,4.23 (1.14),Descriptive CatBoost importance; noncausal.
Volume,Crop,4.17 (1.82),Descriptive CatBoost importance; noncausal.
Volume,Treatment,4.16 (1.53),Descriptive CatBoost importance; noncausal.
Volume,Season_STIR_toDate,3.87 (1.72),Descriptive CatBoost importance; noncausal.
Volume,residue_prop,2.25 (1.76),Descriptive CatBoost importance; noncausal.
Volume,SeasonYear,2.11 (1.3),Descriptive CatBoost importance; noncausal.
Volume,Residue_DryMass_kg_m2,1.95 (0.527),Descriptive CatBoost importance; noncausal.
Volume,IrrMethod,1.79 (2.87),Descriptive CatBoost importance; noncausal.
Volume,Year,1.73 (1.02),Descriptive CatBoost importance; noncausal.
Volume,Rep,1.27 (0.867),Descriptive CatBoost importance; noncausal.
Volume,FurrowTireCompaction,0.352 (0.479),Descriptive CatBoost importance; noncausal.
