Method,Target,Year,n,IntervalCoverage
ML,Result_mg_L,2011,108,0.9166666666666666
ML,Result_mg_L,2012,163,0.901840490797546
ML,Result_mg_L,2013,72,0.8333333333333334
ML,Result_mg_L,2014,224,0.6919642857142857
ML,Result_mg_L,2015,372,0.9086021505376344
ML,Result_mg_L,2016,168,0.9523809523809523
ML,Result_mg_L,2017,324,0.8395061728395061
ML,Result_mg_L,2018,0,
ML,Result_mg_L,2019,0,
ML,Result_mg_L,2020,246,0.9390243902439024
ML,Result_mg_L,2021,539,0.8831168831168831
ML,Result_mg_L,2022,574,0.8101045296167247
ML,Result_mg_L,2023,928,0.7920258620689655
ML,Result_mg_L,2024,646,0.9071207430340558
ML,Result_mg_L,2025,1003,0.8614157527417746
ML,Volume_L,2011,27,0.7407407407407407
ML,Volume_L,2012,49,0.7755102040816326
ML,Volume_L,2013,32,1.0
ML,Volume_L,2014,23,0.9130434782608695
ML,Volume_L,2015,36,1.0
ML,Volume_L,2016,12,0.5833333333333334
ML,Volume_L,2017,36,0.9166666666666666
ML,Volume_L,2018,0,
ML,Volume_L,2019,0,
ML,Volume_L,2020,9,1.0
ML,Volume_L,2021,18,0.8888888888888888
ML,Volume_L,2022,0,
ML,Volume_L,2023,30,1.0
ML,Volume_L,2024,27,0.3333333333333333
ML,Volume_L,2025,73,0.9863013698630136
